ds001_id,spotify_id,song,artist,release,duration_ms,popularity,danceability,energy,key,mode,valence,tempo,genres,tags,lang,matched_event_count,interaction_count_sum,preference_weight_sum,preference_weight_max,source_types,spotify_track_ids,interaction_types
0SZzDlqkVto82lT8,3DK6m7It6Pw857FcQftMds,Runaway,Kanye West,2010,547733,68.000000,0.571000,0.568000,1,0,0.109000,86.986000,"hip hop,rap,rap,hip hop","hip-hop,hip hop,rap,kanye west,kanye,hip-hop,rap,hip hop",en,3,35,3.500000,1.500000,top_tracks,3DK6m7It6Pw857FcQftMds|50HCj9kEXIonBwRLXFWCr8,history
0cQdObcXUyY1tLkj,20VuO95A8RxUPlShnfYArW,My Song,Labi Siffre,1975,395373,51.000000,0.476000,0.604000,0,0,0.583000,87.304000,soul,"piano,soul,70s,english",en,2,16,1.600000,1.000000,saved_tracks|top_tracks,2EQWbkcNoKPOXQtJM7nqRV,history
0f5VsyaVnlGiaFKU,3YKptz29AsOlm7WAVnztBh,Kiss from a Rose,Seal,1994,288427,68.000000,0.583000,0.532000,10,0,0.223000,131.741000,"pop,soul,soundtrack,soul,pop","pop,90s,soul,ballad,soundtrack,soul,pop,90s",en,2,16,1.600000,1.000000,saved_tracks|top_tracks,3YKptz29AsOlm7WAVnztBh,history
0h1DZxZGq5dT1g0I,62KZRwymXq9Rgm8Cm5UCfx,The World We Knew (Over And Over),Frank Sinatra,1967,167053,33.000000,0.283000,0.411000,10,0,0.532000,93.457000,swing,"swing,jazz vocal,oldies,soft,1967,eddie",en,3,31,3.100000,1.500000,saved_tracks|top_tracks,62KZRwymXq9Rgm8Cm5UCfx,history
0h8G1bhVFVP6G9Km,33ZJkoSI4m9RzT4rZUthGn,Suffocation,Crystal Castles,2011,240627,38.000000,0.557000,0.709000,1,0,0.154000,119.959000,"electronic,new rave","poptron,electronic,new rave",en,2,25,2.500000,1.500000,top_tracks,12oxsGACfwMozi4nK9noGQ,history
0h9H6j3eKLXdIy9B,52DKGPMQ21DauCR19pQ0BK,That Smell,Lynyrd Skynyrd,1977,348240,55.000000,0.455000,0.573000,9,0,0.644000,117.252000,"classic rock,southern rock,rock","classic rock,southern rock,rock,70s,lynyrd skynyrd",en,1,10,1.000000,1.000000,top_tracks,52DKGPMQ21DauCR19pQ0BK,history
0kLmYF9ryiLpl4Ik,67cdrrKC32SfLTcYMPDfcK,Violent Youth,Crystal Castles,2012,261653,36.000000,0.713000,0.739000,6,1,0.823000,130.954000,"electronic,experimental,new rave","electronic,experimental,new rave,dreamy",en,3,31,3.100000,1.500000,saved_tracks|top_tracks,5Gy6XmBcmCZ6xQ4p729ldE|67cdrrKC32SfLTcYMPDfcK,history
0nWfiiw6TgdCNuYe,4NtUY5IGzHCaqfZemmAu56,Dancing Queen,ABBA,1976,230693,70.000000,0.539000,0.884000,9,1,0.752000,100.812000,"disco,pop","disco,pop,70s,abba,dance",en,4,60,6.000000,2.500000,top_tracks,0GjEhVFGZW8afUYGChu3Rr|1rMfDvE2C8ne8UZj847rKM,history
109IXnS5xSfF7I3I,19Shlms2uTnOjIUg50TXzd,Never Going Back Again,Fleetwood Mac,1977,134400,61.000000,0.654000,0.336000,6,1,0.947000,176.083000,"classic rock,rock","classic rock,70s,rock,fleetwood mac",en,2,25,2.500000,1.500000,top_tracks,19Shlms2uTnOjIUg50TXzd,history
11J7t26d1VAPstc2,2ZRo7axmMPeSVUvDbGkJah,HOPE,XXXTentacion,2018,110886,76.000000,0.592000,0.457000,9,0,0.225000,146.040000,"rap,emo","hip-hop,rap,emo,xxxtentacion,post-nerdcore",en,1,10,1.000000,1.000000,top_tracks,2ZRo7axmMPeSVUvDbGkJah,history
