score_rank,track_id,lead_genre,final_score,decision,playlist_position,exclusion_reason
1,phL12CBijBqwQ9qB,pop,0.72367,included,1,
2,2rf5nW2Fb8gMnz9l,pop,0.717868,included,2,
3,SlF31W7VgEooOonD,pop,0.71265,excluded,,consecutive_genre_run
4,OOG1uzYoXXQnOIpL,pop,0.704792,excluded,,consecutive_genre_run
5,ZBzCrWWH35yTPv8P,pop,0.698507,excluded,,consecutive_genre_run
6,2ulpfcMJfaKiFqZr,pop,0.698314,excluded,,consecutive_genre_run
7,Ja6sG7NsgUKEI63U,pop,0.698225,excluded,,consecutive_genre_run
8,7dYk0TCGZqev3LJD,pop,0.693674,excluded,,consecutive_genre_run
9,lOFidX8Jxs0ViNRG,pop,0.692969,excluded,,consecutive_genre_run
10,9jb6ZoImYLfUL8hu,pop,0.692644,excluded,,consecutive_genre_run
11,Unm2k636mJk61Zcx,pop,0.691867,excluded,,consecutive_genre_run
12,smJCxhAszKPO80Bi,pop,0.689381,excluded,,consecutive_genre_run
13,6k1oC4EwLjQjUFz7,pop,0.68817,excluded,,consecutive_genre_run
14,uzzXWHcGTzC3ipD4,pop,0.68677,excluded,,consecutive_genre_run
15,SVB49vvsyAQChbrb,pop,0.685887,excluded,,consecutive_genre_run
16,zyxOCKcXX1RmWpm0,pop,0.68586,excluded,,consecutive_genre_run
17,1FEjhaXK2amCXXzT,pop,0.68583,excluded,,consecutive_genre_run
18,lGnkOkQSUQO175Qg,pop,0.68566,excluded,,consecutive_genre_run
19,5c9fu0pBIl9QUmed,pop,0.685391,excluded,,consecutive_genre_run
20,CavT1tWCp1sJDnbQ,pop,0.684176,excluded,,consecutive_genre_run
21,qWKJFJO5nFfEQuZM,pop,0.681834,excluded,,consecutive_genre_run
22,vCVgdkzSvubDpTLS,pop,0.681602,excluded,,consecutive_genre_run
23,NQbNKyYkv5MxNeQy,pop,0.680544,excluded,,consecutive_genre_run
24,7fLQBYLIBDBiCENj,pop,0.680013,excluded,,consecutive_genre_run
25,V1h2Q8uHtnIqbahp,pop,0.679634,excluded,,consecutive_genre_run
26,ALtYCqP0WNXBuQGi,pop,0.677357,excluded,,consecutive_genre_run
27,8fDlJsjie4DoFMV0,pop,0.674559,excluded,,consecutive_genre_run
28,Q9gkoBFLwjMyFgfm,pop,0.674018,excluded,,consecutive_genre_run
29,JjRXUBWaA0I7JZ4t,pop,0.673983,excluded,,consecutive_genre_run
30,ODcj49nwgvXhA46v,pop,0.67358,excluded,,consecutive_genre_run
31,d9cweSJbo8aseKCE,pop,0.67261,excluded,,consecutive_genre_run
32,oeKwh2lrTJigBR9I,pop,0.672066,excluded,,consecutive_genre_run
33,EYfH7hlkwLa5ZYav,pop,0.671104,excluded,,consecutive_genre_run
34,op7gT9GOpqOk7wc8,pop,0.670771,excluded,,consecutive_genre_run
35,CaR8UnowNJUR5Dib,pop,0.670198,excluded,,consecutive_genre_run
36,MiS8jiW75eCQr620,pop,0.66955,excluded,,consecutive_genre_run
37,C9oA7Glm1TItxpQA,pop,0.669371,excluded,,consecutive_genre_run
38,gEFF7fGcjjuJDwxj,pop,0.669135,excluded,,consecutive_genre_run
39,WAbTyx902fLAd8Q5,pop,0.669109,excluded,,consecutive_genre_run
40,SjizDRrg3ZWU97wK,pop,0.668352,excluded,,consecutive_genre_run
41,891C45L5wh1jWB8k,pop,0.666324,excluded,,consecutive_genre_run
42,Keuox6QeZE3Su469,pop,0.664989,excluded,,consecutive_genre_run
43,r2RGegcvs7MeJpy7,pop,0.664668,excluded,,consecutive_genre_run
44,dmXJIr99KdvwkYxe,pop,0.664193,excluded,,consecutive_genre_run
45,gSsZrpJsp2iHHP8W,pop,0.661488,excluded,,consecutive_genre_run
46,YQf74IiKzUIRUfCR,pop,0.660456,excluded,,consecutive_genre_run
47,VUurPvItLJT0Xl2o,pop,0.660392,excluded,,consecutive_genre_run
48,QwMeRrGC5WeHekZo,pop,0.659145,excluded,,consecutive_genre_run
49,rX7qhjhfQlLsJC4M,pop,0.658685,excluded,,consecutive_genre_run
50,0KrfpITRYCMTHZno,pop,0.65721,excluded,,consecutive_genre_run
51,6JvsoRF2a3K3nK1t,pop,0.657011,excluded,,consecutive_genre_run
52,0KmsAtX56jWKceiy,pop,0.656958,excluded,,consecutive_genre_run
53,mdv92N2XyKdHBtF4,pop,0.656355,excluded,,consecutive_genre_run
54,36zZsq0r6BMf2VfX,pop,0.655336,excluded,,consecutive_genre_run
55,I1VjOMPpRdhwzhWk,pop,0.65507,excluded,,consecutive_genre_run
56,mIqRigooD5HtuP23,pop,0.653888,excluded,,consecutive_genre_run
57,I2K0KDtgE2eZhPRw,pop,0.652038,excluded,,consecutive_genre_run
58,yo4mM5hQwk4OVGB5,pop,0.651732,excluded,,consecutive_genre_run
59,ByNQnjuJW39vypt7,pop,0.650481,excluded,,consecutive_genre_run
60,2Xdf7hbgYtckzeS7,pop,0.650438,excluded,,consecutive_genre_run
61,FCcGTwPlHQIeZOva,pop,0.649223,excluded,,consecutive_genre_run
62,tfwno3DpGAPEk9b9,pop,0.648345,excluded,,consecutive_genre_run
63,eWJkdrJDNm0LBqqe,pop,0.648099,excluded,,consecutive_genre_run
64,uVxM9hFVNvaFrJ1w,pop,0.648065,excluded,,consecutive_genre_run
65,Vs9sf1AxIDRnVsZ5,pop,0.646892,excluded,,consecutive_genre_run
66,NygzjG4eKOyPE0MK,pop,0.646744,excluded,,consecutive_genre_run
