score_rank,track_id,lead_genre,final_score,decision,playlist_position,exclusion_reason
1,phL12CBijBqwQ9qB,pop,0.771314,included,1,
2,2rf5nW2Fb8gMnz9l,pop,0.74749,included,2,
3,CavT1tWCp1sJDnbQ,pop,0.735876,excluded,,consecutive_genre_run
4,7VDI0wKUupDGhZHo,classic rock,0.732152,included,3,
5,CZOYJJKuyuUosACw,classic rock,0.730631,included,4,
6,qWKJFJO5nFfEQuZM,pop,0.719508,included,5,
7,SlF31W7VgEooOonD,pop,0.718832,excluded,,genre_cap_exceeded
8,rX7qhjhfQlLsJC4M,pop,0.711863,excluded,,genre_cap_exceeded
9,5c9fu0pBIl9QUmed,pop,0.709343,excluded,,genre_cap_exceeded
10,Keuox6QeZE3Su469,pop,0.705661,excluded,,genre_cap_exceeded
11,3ltMH5jik02hVLDF,classic rock,0.705261,included,6,
12,0KrfpITRYCMTHZno,pop,0.702798,excluded,,genre_cap_exceeded
13,vAULotbx5RBKgmA0,classic rock,0.700309,excluded,,genre_cap_exceeded
14,oeKwh2lrTJigBR9I,pop,0.699624,excluded,,genre_cap_exceeded
15,4MsjH1TyTwZuZuOK,classic rock,0.6973,excluded,,genre_cap_exceeded
16,VPoN4aAgiWcagYy3,classic rock,0.6973,excluded,,genre_cap_exceeded
17,PZVW1IbNypbxdfwM,pop,0.696793,excluded,,genre_cap_exceeded
18,NygzjG4eKOyPE0MK,pop,0.6934,excluded,,genre_cap_exceeded
19,IVDSXkSWMOTFJDte,classic rock,0.693349,excluded,,genre_cap_exceeded
20,ohx8jv81KisDt8d0,pop,0.692586,excluded,,genre_cap_exceeded
21,JjRXUBWaA0I7JZ4t,pop,0.690609,excluded,,genre_cap_exceeded
22,ihPmCWpnMSun0Smp,classic rock,0.688928,excluded,,genre_cap_exceeded
23,9t5V6KNdF2HTdY2v,pop,0.685988,excluded,,genre_cap_exceeded
24,uzzXWHcGTzC3ipD4,pop,0.684526,excluded,,genre_cap_exceeded
25,vUHDxEdaTTeT94e1,classic rock,0.682239,excluded,,genre_cap_exceeded
26,B5N9Vxq8JsmiX6Gn,classic rock,0.681827,excluded,,genre_cap_exceeded
27,WFSJ2w6bs3g8X9Vz,classic rock,0.681786,excluded,,genre_cap_exceeded
28,zyzILCQvVeUFIINi,pop,0.681773,excluded,,genre_cap_exceeded
29,1GngSVshm9HPaMVa,classic rock,0.681125,excluded,,genre_cap_exceeded
30,kSDPUwWDCOkb8wOX,pop,0.681122,excluded,,genre_cap_exceeded
31,ecu5hWLfBTsu5fIt,classic rock,0.680661,excluded,,genre_cap_exceeded
32,5IKM3soDe7kBhm4n,pop,0.680511,excluded,,genre_cap_exceeded
33,kDIheYzp2bFdKzZx,classic rock,0.679789,excluded,,genre_cap_exceeded
34,05kPnJrEqt4aSFwt,pop,0.679352,excluded,,genre_cap_exceeded
35,P8FUnTbhyI18KU3M,pop,0.67856,excluded,,genre_cap_exceeded
36,mqLs8Z7IOzeqhnZ3,pop,0.678318,excluded,,genre_cap_exceeded
37,EYfH7hlkwLa5ZYav,pop,0.676791,excluded,,genre_cap_exceeded
38,h39L9fjzfyCQHw5h,classic rock,0.67634,excluded,,genre_cap_exceeded
39,p24zC9IIlDXj6DN0,pop,0.676227,excluded,,genre_cap_exceeded
40,SfpTRUz3LCr1Hiaq,pop,0.676196,excluded,,genre_cap_exceeded
41,D8u1nCspnPIixiZa,classic rock,0.675426,excluded,,genre_cap_exceeded
42,p3GD7pKlqqgeWUAg,pop,0.674659,excluded,,genre_cap_exceeded
43,SjizDRrg3ZWU97wK,pop,0.674543,excluded,,genre_cap_exceeded
44,iUcyvVWtHhpX0kyd,rock,0.673131,included,7,
45,0KmsAtX56jWKceiy,pop,0.671461,excluded,,genre_cap_exceeded
46,DpKUvb15CWL7SKqn,classic rock,0.671014,excluded,,genre_cap_exceeded
47,tfwno3DpGAPEk9b9,pop,0.670371,excluded,,genre_cap_exceeded
48,6JvsoRF2a3K3nK1t,pop,0.670136,excluded,,genre_cap_exceeded
49,CkNeHYFBJMqQkGm6,pop,0.669524,excluded,,genre_cap_exceeded
50,TP9nKzg6RJ48oYlZ,pop,0.668367,excluded,,genre_cap_exceeded
51,vCMtou9JWlsx5c6B,rock,0.66777,included,8,
52,MKV08gvgtZ0DroRG,pop,0.667769,excluded,,genre_cap_exceeded
53,I2s6dN6WZVhQ9cSy,pop,0.667635,excluded,,genre_cap_exceeded
54,ghjUEz5JNVbVTC89,rock,0.667522,excluded,,consecutive_genre_run
55,oXS2cewKOlDfmKZH,pop,0.666683,excluded,,genre_cap_exceeded
56,LOOLjgYbn5mW2r35,pop,0.666679,excluded,,genre_cap_exceeded
57,f0WAGPqj2WksdyBE,pop,0.666652,excluded,,genre_cap_exceeded
58,TwM4lpYdQEiDGoNl,pop,0.666436,excluded,,genre_cap_exceeded
59,pj4i2c5OmthxRh77,pop,0.66519,excluded,,genre_cap_exceeded
60,3T4Lqe9Flc1bhF3O,pop,0.664253,excluded,,genre_cap_exceeded
61,w8dxIt6aQtLnXvTh,pop,0.66412,excluded,,genre_cap_exceeded
62,kDMYFkunXnqmbzz2,pop,0.663938,excluded,,genre_cap_exceeded
63,0ULNOWrSXcsIofDc,pop,0.663693,excluded,,genre_cap_exceeded
64,hSqEJfpbdJM6nhi0,classic rock,0.663205,excluded,,genre_cap_exceeded
65,kcQ9fuxMxtBSpG3q,classic rock,0.663205,excluded,,genre_cap_exceeded
66,oJ2IfPXmKULUzEPw,classic rock,0.663146,excluded,,genre_cap_exceeded
67,yE5furqfLpGTlvKj,pop,0.662341,excluded,,genre_cap_exceeded
68,NJMSoOoNATVxxraw,pop,0.662154,excluded,,genre_cap_exceeded
69,WAbTyx902fLAd8Q5,pop,0.661984,excluded,,genre_cap_exceeded
70,rwEYIRiTqyrusWd0,pop,0.661718,excluded,,genre_cap_exceeded
71,Unm2k636mJk61Zcx,pop,0.661335,excluded,,genre_cap_exceeded
72,VuxuIYhqE7UwGGPF,rock,0.661132,excluded,,consecutive_genre_run
73,xjRMCbptE3XqPpW4,pop,0.659838,excluded,,genre_cap_exceeded
74,xwJc7oM2dkbh17Sy,pop,0.659487,excluded,,genre_cap_exceeded
75,YMnq5R0AkyPTOFhE,pop,0.658795,excluded,,genre_cap_exceeded
76,yhhqIy18C7PRuoPR,pop,0.657808,excluded,,genre_cap_exceeded
77,Ha9EdV4sQhxFJgo1,pop,0.657553,excluded,,genre_cap_exceeded
78,7FZ2R36AlGe6iTw1,rock,0.65735,excluded,,consecutive_genre_run
79,uCS0MPcrmrtDMbgr,pop,0.657177,excluded,,genre_cap_exceeded
80,2OOlw2broNTpkhFn,classic rock,0.656995,excluded,,genre_cap_exceeded
81,Xxtpr3xWO2fyLaKr,pop,0.656761,excluded,,genre_cap_exceeded
82,9NKs5hUZnbPVvrAE,pop,0.656704,excluded,,genre_cap_exceeded
83,2PW5Sut3iCaRpdkS,pop,0.65651,excluded,,genre_cap_exceeded
84,XQgn7Aj6sSSoX51L,pop,0.655841,excluded,,genre_cap_exceeded
85,VuswjrFaLItbf6z5,classic rock,0.655727,excluded,,genre_cap_exceeded
86,9qnvNN9Z5r7dLkvW,classic rock,0.655676,excluded,,genre_cap_exceeded
87,4RAT3ehTJnXCtPpL,classic rock,0.655381,excluded,,genre_cap_exceeded
88,rC2mh4Aej8Ym23qB,pop,0.65505,excluded,,genre_cap_exceeded
89,btzE9uD80B8USfXt,classic rock,0.655015,excluded,,genre_cap_exceeded
90,eWJkdrJDNm0LBqqe,pop,0.654663,excluded,,genre_cap_exceeded
91,qFl1BeXDCoRg6D7G,classic rock,0.654194,excluded,,genre_cap_exceeded
92,LqeJ6YtImxR8UnlT,pop,0.654114,excluded,,genre_cap_exceeded
93,qob8Z8qGt0UR4JAs,rock,0.653921,excluded,,consecutive_genre_run
94,5ElsQrERvWhY32iG,pop,0.65331,excluded,,genre_cap_exceeded
95,svfySXHFlcf0m1Os,pop,0.653134,excluded,,genre_cap_exceeded
96,8zwGc6VeJd7OMBnc,pop,0.653126,excluded,,genre_cap_exceeded
97,eopH4ylUlvTQyTNX,pop,0.651609,excluded,,genre_cap_exceeded
98,dmXJIr99KdvwkYxe,pop,0.65151,excluded,,genre_cap_exceeded
99,LSxG5DLm6HDlQpiX,pop,0.651401,excluded,,genre_cap_exceeded
100,U7vZRy9ULsBz4WKH,pop,0.650424,excluded,,genre_cap_exceeded
101,xx7AjP300BpGG3CX,classic rock,0.649948,excluded,,genre_cap_exceeded
102,IRQFQPaxVydgYG8c,pop,0.649392,excluded,,genre_cap_exceeded
103,64og4fFPCHlEVTEv,rock,0.64925,excluded,,consecutive_genre_run
104,KHKALxGZrCIcxPlB,classic rock,0.648952,excluded,,genre_cap_exceeded
105,RXMnciThx5sREHod,rock,0.64891,excluded,,consecutive_genre_run
106,Ja6sG7NsgUKEI63U,pop,0.648825,excluded,,genre_cap_exceeded
107,8r0CP0DgHx376urL,pop,0.648738,excluded,,genre_cap_exceeded
108,Z8rvaQETzAn67i2Q,pop,0.648286,excluded,,genre_cap_exceeded
109,h9v2D2DH7s9BEW6R,pop,0.648062,excluded,,genre_cap_exceeded
110,lWjtU92XY4GjZlCs,pop,0.647597,excluded,,genre_cap_exceeded
111,iXObPxEaDqF5opud,pop,0.64726,excluded,,genre_cap_exceeded
112,8emtw5w4gqtNVod3,classic rock,0.646848,excluded,,genre_cap_exceeded
113,CqXdsCASBdfn6JTf,classic rock,0.64654,excluded,,genre_cap_exceeded
114,9kvacaCzzcavD7Ud,pop,0.646276,excluded,,genre_cap_exceeded
115,zgqCahzGTxn675I6,pop,0.646115,excluded,,genre_cap_exceeded
116,hojud4bsUrwCo9wB,pop,0.646089,excluded,,genre_cap_exceeded
117,N694ShHsLVXTSDqd,pop,0.645856,excluded,,genre_cap_exceeded
118,7GMSGEpv9bSNugvX,classic rock,0.645723,excluded,,genre_cap_exceeded
119,cmj8XchkQHpORRVu,pop,0.645072,excluded,,genre_cap_exceeded
120,v3c0pGBvfoPorVeL,pop,0.645072,excluded,,genre_cap_exceeded
121,S5zDJUO7LgDHDuwV,classic rock,0.644942,excluded,,genre_cap_exceeded
122,nS4n68d0NljwwD5w,pop,0.644816,excluded,,genre_cap_exceeded
123,yHKZF6ws51jUmLx8,pop,0.644723,excluded,,genre_cap_exceeded
124,5FUG19xvBF8iRCke,pop,0.644696,excluded,,genre_cap_exceeded
125,kKWP97rna5MLID9k,pop,0.644627,excluded,,genre_cap_exceeded
126,eiaPnb6b6hfoPGjW,classic rock,0.644394,excluded,,genre_cap_exceeded
127,a7wc50gbFoAswwyJ,classic rock,0.644375,excluded,,genre_cap_exceeded
128,6IDnoIFZyWIs4nSd,classic rock,0.644342,excluded,,genre_cap_exceeded
129,Q5Aq849BIB8U7AwN,pop,0.644318,excluded,,genre_cap_exceeded
130,EonalxrIZUcgiAER,pop,0.644058,excluded,,genre_cap_exceeded
131,228ZbxcKIj7uE1ol,pop,0.643818,excluded,,genre_cap_exceeded
132,pEl65ctTg2SZidzP,pop,0.64324,excluded,,genre_cap_exceeded
133,y1q68W8MpwlTGiWf,pop,0.643026,excluded,,genre_cap_exceeded
134,vWPsf84gF2QmUGgD,classic rock,0.642607,excluded,,genre_cap_exceeded
135,2nhfOZaO9RhVdsth,classic rock,0.642267,excluded,,genre_cap_exceeded
136,0p2OMNas5oXDNC6b,pop,0.642209,excluded,,genre_cap_exceeded
137,BDiA9MPcnVIeHMGQ,pop,0.641789,excluded,,genre_cap_exceeded
138,NfprqhbIsJHxnora,pop,0.641772,excluded,,genre_cap_exceeded
139,vWd2wHbLV4UE2qWB,pop,0.641203,excluded,,genre_cap_exceeded
140,TnVeSlJnKl5zoTLL,classic rock,0.640967,excluded,,genre_cap_exceeded
141,dZG90iuYYFIuksa2,rock,0.640564,excluded,,consecutive_genre_run
142,PBiTOtvjsFaVMPJ1,classic rock,0.640135,excluded,,genre_cap_exceeded
143,sWsei8U1DXTgn4sG,pop,0.639918,excluded,,genre_cap_exceeded
144,9j4UhqzJ3xUWevOV,pop,0.639523,excluded,,genre_cap_exceeded
145,ebsr6NShYvKqDsgl,pop,0.638872,excluded,,genre_cap_exceeded
146,4pVnBhlIFSZk3BMc,pop,0.638352,excluded,,genre_cap_exceeded
147,UPGfiQCZHEDLRkFv,classic rock,0.637488,excluded,,genre_cap_exceeded
148,jtpDAf3hJr3sC91U,pop,0.637108,excluded,,genre_cap_exceeded
149,4SGfp7L2i816KaXE,classic rock,0.636933,excluded,,genre_cap_exceeded
150,E4MuEtOJZDOkDWej,rock,0.636603,excluded,,consecutive_genre_run
151,inPn9t48JSYRoxjp,classic rock,0.635261,excluded,,genre_cap_exceeded
152,gMJwS3clbFlH1uKU,pop,0.634047,excluded,,genre_cap_exceeded
153,So3dzpizPDbByg2S,pop,0.633978,excluded,,genre_cap_exceeded
154,5d38ni9bItYSXuFk,pop,0.633805,excluded,,genre_cap_exceeded
155,8k1ieYzpx591rVeU,classic rock,0.633691,excluded,,genre_cap_exceeded
156,16Hz1Pdate9ZTzs6,pop,0.633489,excluded,,genre_cap_exceeded
157,sscaq8VXU14Cy2Y0,pop,0.633013,excluded,,genre_cap_exceeded
158,3CvIJyxv0fBaeB5b,classic rock,0.633007,excluded,,genre_cap_exceeded
159,cEVud23BQpHEL36v,classic rock,0.632822,excluded,,genre_cap_exceeded
160,h4FVkBtXFDQSrlbX,pop,0.632662,excluded,,genre_cap_exceeded
161,ga4tSpAxBpx0iz4q,classic rock,0.632657,excluded,,genre_cap_exceeded
162,pDiU5vXvL50BJcPu,pop,0.632619,excluded,,genre_cap_exceeded
163,Ef3oLqIwwzyW6udv,pop,0.632289,excluded,,genre_cap_exceeded
164,rHbIqvGfTL1vtZTa,pop,0.632072,excluded,,genre_cap_exceeded
165,rgsB9R6H66hgZsog,pop,0.632072,excluded,,genre_cap_exceeded
166,ABaL80MkB6F1CRdU,pop,0.631936,excluded,,genre_cap_exceeded
167,LyLTecjT5fiEnsLE,pop,0.631719,excluded,,genre_cap_exceeded
168,JJhNYKJJcAAV8Uye,pop,0.630885,excluded,,genre_cap_exceeded
169,5eiriBDa3Ae9OFuU,pop,0.629789,excluded,,genre_cap_exceeded
170,KarI5N2HGS3wgLrc,classic rock,0.629602,excluded,,genre_cap_exceeded
171,7j7SswQrxInGXWGq,classic rock,0.629453,excluded,,genre_cap_exceeded
172,UI4WEnWb5QEwqWgD,classic rock,0.629256,excluded,,genre_cap_exceeded
173,2PD5vNEwybS1jfHz,pop,0.629217,excluded,,genre_cap_exceeded
174,smJCxhAszKPO80Bi,pop,0.629182,excluded,,genre_cap_exceeded
175,THh1SSLCct7uuwxZ,pop,0.629119,excluded,,genre_cap_exceeded
176,72oF7JMSo2GFZNtk,pop,0.629074,excluded,,genre_cap_exceeded
177,7QiwRwX4TqQKxDSv,pop,0.628973,excluded,,genre_cap_exceeded
178,OHL9g8xBuemsbv8L,classic rock,0.628959,excluded,,genre_cap_exceeded
179,gkEVpV5Kvt3ggxxY,classic rock,0.62887,excluded,,genre_cap_exceeded
180,0mVqFXLovr9XQvgV,pop,0.62868,excluded,,genre_cap_exceeded
181,qSEy5OiW84jPqQb5,classic rock,0.628502,excluded,,genre_cap_exceeded
182,fxKmIHBc6Vf2rQjZ,pop,0.628242,excluded,,genre_cap_exceeded
183,tHye6jQNg1419tmI,pop,0.627904,excluded,,genre_cap_exceeded
184,hculIF5VdJACpdwb,pop,0.627797,excluded,,genre_cap_exceeded
185,fUiFoCNzTFb1ZO39,pop,0.627281,excluded,,genre_cap_exceeded
186,V0pU3mECMOiQHssw,pop,0.627234,excluded,,genre_cap_exceeded
187,vCVgdkzSvubDpTLS,pop,0.626407,excluded,,genre_cap_exceeded
188,SVB49vvsyAQChbrb,pop,0.626196,excluded,,genre_cap_exceeded
189,i36oCmq2SzF3VrQw,pop,0.625763,excluded,,genre_cap_exceeded
190,JRc9hFrPHBOuhEE4,pop,0.625528,excluded,,genre_cap_exceeded
191,i70BILkFCdQgixje,classic rock,0.624894,excluded,,genre_cap_exceeded
192,gSsZrpJsp2iHHP8W,pop,0.623954,excluded,,genre_cap_exceeded
193,qiW5mU03bj7e4qXJ,pop,0.62395,excluded,,genre_cap_exceeded
194,N73SWTe8wMSYSr3F,classic rock,0.623943,excluded,,genre_cap_exceeded
195,4Fe4T4jcEeWO0mau,classic rock,0.622674,excluded,,genre_cap_exceeded
196,PZtSwYYJvoDpOTxs,pop,0.622552,excluded,,genre_cap_exceeded
197,3n5fLmvKFGjPtGQq,pop,0.622504,excluded,,genre_cap_exceeded
198,pTle20sjv0uVIr2o,pop,0.622458,excluded,,genre_cap_exceeded
199,NSiTBLQbxwDf7b1O,classic rock,0.622291,excluded,,genre_cap_exceeded
200,Hseuo3G6TyErbkmt,pop,0.621874,excluded,,genre_cap_exceeded
201,y0rnnSG9znktbLQ2,pop,0.621659,excluded,,genre_cap_exceeded
202,M22yW5GgspUHRW92,classic rock,0.621579,excluded,,genre_cap_exceeded
203,War6iQw317sovTzq,classic rock,0.621579,excluded,,genre_cap_exceeded
204,327bFnAxc4uPHfFo,pop,0.621282,excluded,,genre_cap_exceeded
205,6KTrHDAg80J7kmOl,classic rock,0.62114,excluded,,genre_cap_exceeded
206,DG1W3TEu2Ah32LnT,classic rock,0.621011,excluded,,genre_cap_exceeded
207,ds4JldkkhUhcGETs,classic rock,0.620891,excluded,,genre_cap_exceeded
208,eABMD16TVN5rb4KT,pop,0.620722,excluded,,genre_cap_exceeded
209,zp0LFbOG09bow7VL,classic rock,0.620532,excluded,,genre_cap_exceeded
210,BKB7hTxg4qbCvKtT,pop,0.620075,excluded,,genre_cap_exceeded
211,0qJTWsBGBzmx77dM,pop,0.620045,excluded,,genre_cap_exceeded
212,tkkrehVtWSlMS6RW,pop,0.619828,excluded,,genre_cap_exceeded
213,LSmR4tkD8IA7gTBp,pop,0.61942,excluded,,genre_cap_exceeded
