event_id,track_id,interaction_type,signal_source,seed_rank,interaction_count,preference_weight,effective_weight,lead_genre,top_tag,candidate_playcount_sum,candidate_listener_rows
ds001_seed_000016,15ukFL1GV2TKixoZ,history,ds001_seed_table,6,6,0.6,0.6,pop,80s,0,0
ds001_seed_000018,1E4zW8q8ix7FmfMF,history,ds001_seed_table,6,6,0.6,0.6,folk,2018 single,0,0
ds001_seed_000022,1PJMQl1maBvOGwlj,history,ds001_seed_table,6,6,0.6,0.6,electronic,electronic,0,0
ds001_seed_000068,4HbLZP6EW7KTGuP8,history,ds001_seed_table,6,6,0.6,0.6,folk,folk,0,0
ds001_seed_000106,6Pqz6EiSPFD4XS8x,history,ds001_seed_table,6,6,0.6,0.6,rap,hip-hop,0,0
ds001_seed_000127,7Qumm8N7qnP1Rh91,history,ds001_seed_table,6,6,0.6,0.6,rock,rnb,0,0
ds001_seed_000149,8uL4F1dwK5MUzJk3,history,ds001_seed_table,6,6,0.6,0.6,electronic,electronic,0,0
ds001_seed_000155,9G2z6hHoL7Wsvmg4,history,ds001_seed_table,6,6,0.6,0.6,britpop,britpop,0,0
ds001_seed_000167,9fK9nmH8yEB93qkx,history,ds001_seed_table,6,6,0.6,0.6,minimal,minimal,0,0
ds001_seed_000191,AslhT7HVUd7KOt4q,history,ds001_seed_table,6,6,0.6,0.6,rap,hip-hop,0,0
ds001_seed_000230,DMbVAwi6MBqaxMfO,history,ds001_seed_table,6,6,0.6,0.6,pop,pop,0,0
ds001_seed_000274,GVwBGyqqwyQPW5UV,history,ds001_seed_table,6,6,0.6,0.6,folk,folk,0,0
ds001_seed_000345,L2OBrPwbO2hupXEc,history,ds001_seed_table,6,6,0.6,0.6,pop,pop,0,0
ds001_seed_000384,MwnVtpCds5ncb4zO,history,ds001_seed_table,6,6,0.6,0.6,rap,rap,0,0
ds001_seed_000390,NH4vTKclgyLaA6F5,history,ds001_seed_table,6,6,0.6,0.6,pop,70s,0,0
ds001_seed_000407,OCM57tsHAvVxlaGM,history,ds001_seed_table,6,6,0.6,0.6,rock,alternative,0,0
ds001_seed_000434,Q5FpbLUBcj52MXJc,history,ds001_seed_table,6,6,0.6,0.6,britpop,britpop,0,0
ds001_seed_000486,TYzCbdIvKp1R4pBm,history,ds001_seed_table,6,6,0.6,0.6,electronic,lovestep,0,0
ds001_seed_000489,TdOSAiEwVoEMLjuw,history,ds001_seed_table,6,6,0.6,0.6,techno,techno,0,0
ds001_seed_000547,WjVTbCVNOO69M3j5,history,ds001_seed_table,6,6,0.6,0.6,indie rock,indie rock,0,0
ds001_seed_000548,WmXXcoyZSKAYNRY3,history,ds001_seed_table,6,6,0.6,0.6,classic rock,classic rock,0,0
ds001_seed_000552,Wz8GjjsF8VpLtkTf,history,ds001_seed_table,6,6,0.6,0.6,indie rock,alternative,0,0
ds001_seed_000563,Xb2hM65vVEGzBn6y,history,ds001_seed_table,6,6,0.6,0.6,pop,dance,0,0
ds001_seed_000586,ZxermC14QeOkLzuY,history,ds001_seed_table,6,6,0.6,0.6,dream pop,dream pop,0,0
