score_rank,track_id,lead_genre,final_score,decision,playlist_position,exclusion_reason
1,CaR8UnowNJUR5Dib,pop,0.853982,included,1,
2,yEz9rqTTulkiDDm7,classic rock,0.802193,included,2,
3,M3ApGs7RGZwXHqs4,pop,0.774769,included,3,
4,rqeIltq5ixzHA5EG,pop,0.760832,included,4,
5,s0Qo4gihN9Rzx8we,classic rock,0.758173,included,5,
6,qob8Z8qGt0UR4JAs,rock,0.742888,included,6,
7,Xh9f0R2Q7wJMaxhy,classic rock,0.738827,included,7,
8,HheoXQPQtBis2mmJ,pop,0.734392,included,8,
9,M1aGgogF0dGiRiXA,rock,0.7193,included,9,
10,YEWH2dMDiRCIJy7F,pop,0.718355,excluded,,genre_cap_exceeded
11,CZOYJJKuyuUosACw,classic rock,0.718002,included,10,
12,hU7yckCKoiTkHjwi,pop,0.71732,excluded,,length_cap_reached
13,doj2jXOmBHGD7NII,pop,0.715151,excluded,,length_cap_reached
14,TRZgjsKVk0axtCVv,pop,0.713524,excluded,,length_cap_reached
15,8WnHV12FDAeaQwkd,classic rock,0.709594,excluded,,length_cap_reached
16,slOlXgD05qwTT9Lz,pop,0.705163,excluded,,length_cap_reached
17,y6QD3MSUPdC87Pgb,pop,0.705012,excluded,,length_cap_reached
18,A8Q9gX4RokaFDMOP,classic rock,0.701673,excluded,,length_cap_reached
19,tRp8VCIw9QTt1xBi,classic rock,0.698151,excluded,,length_cap_reached
20,kmf0zZTbUrcYquF8,rock,0.696858,excluded,,length_cap_reached
21,7VyDFH8YE7yoRv3I,classic rock,0.693454,excluded,,length_cap_reached
22,CXBUm6ld01AsgLUT,pop,0.685422,excluded,,length_cap_reached
23,3ID2IPzUnjPeYkT7,pop,0.682007,excluded,,length_cap_reached
24,OExUfFZ05lwM1gcT,pop,0.680832,excluded,,length_cap_reached
25,XCYQhEAVQVN6yVfG,pop,0.676808,excluded,,length_cap_reached
26,QHPkSWuoH1x5rGr2,pop,0.675174,excluded,,length_cap_reached
27,ry7KVHYQ10CXYDmE,classic rock,0.675169,excluded,,length_cap_reached
