event_id,track_id,interaction_type,signal_source,seed_rank,interaction_count,preference_weight,effective_weight,lead_genre,top_tag,candidate_playcount_sum,candidate_listener_rows
ds001_seed_000009,22YI5YceDuG0QoOj,history,ds001_seed_table,5,5,0.5,0.5,electronic,electronic,0,0
ds001_seed_000052,JHJusOYsaL3zLGtA,history,ds001_seed_table,5,5,0.5,0.5,electronic,chillout,0,0
ds001_seed_000115,bbRubPkT5bxwLQpH,history,ds001_seed_table,5,5,0.5,0.5,electronic,electronic,0,0
ds001_seed_000151,l05MaeKgw6wjJxLs,history,ds001_seed_table,5,5,0.5,0.5,electronic,electronic,0,0
ds001_seed_000175,rI5G12llOXXzgocS,history,ds001_seed_table,5,5,0.5,0.5,ambient,ambient,0,0
ds001_seed_000200,wYoJBT9Lg1bBf8Nd,history,ds001_seed_table,5,5,0.5,0.5,electronic,electronic,0,0
ds001_seed_000208,xsAC7LEsEv3vlz4p,history,ds001_seed_table,5,5,0.5,0.5,electronic,electronic,0,0
ds001_seed_000001,0SZzDlqkVto82lT8,history,ds001_seed_table,25,25,2.5,2.5,hip hop,hip-hop,0,0
ds001_seed_000002,0qV2T61m2AvCSw88,history,ds001_seed_table,25,25,2.5,2.5,soul,soul,0,0
ds001_seed_000003,12jXnbQrbvSWYgp7,history,ds001_seed_table,25,25,2.5,2.5,folk,folk,0,0
ds001_seed_000004,15CxeKsD9DvqCVhY,history,ds001_seed_table,25,25,2.5,2.5,classic rock,classic rock,0,0
ds001_seed_000005,166TJqR8YtaoibkS,history,ds001_seed_table,25,25,2.5,2.5,soundtrack,soundtrack,0,0
ds001_seed_000006,1EhoPstBUguE4Btf,history,ds001_seed_table,25,25,2.5,2.5,swing,swing,0,0
ds001_seed_000007,1GngSVshm9HPaMVa,history,ds001_seed_table,25,25,2.5,2.5,classic rock,classic rock,0,0
ds001_seed_000010,2PflxozrqQJVQchQ,history,ds001_seed_table,25,25,2.5,2.5,progressive rock,progressive rock,0,0
ds001_seed_000011,2UbyfJ2ads4YvskN,history,ds001_seed_table,25,25,2.5,2.5,pop,80s,0,0
ds001_seed_000012,2eQ2zwD8LOR5Oj9m,history,ds001_seed_table,25,25,2.5,2.5,classic rock,classic rock,0,0
ds001_seed_000013,3UfIu7IgRBza12y2,history,ds001_seed_table,25,25,2.5,2.5,classic rock,classic rock,0,0
ds001_seed_000014,4xYdj1WQYnfLCl11,history,ds001_seed_table,25,25,2.5,2.5,new wave,80s,0,0
ds001_seed_000015,4yJQAF5ZuAuzs24P,history,ds001_seed_table,25,25,2.5,2.5,swing,swing,0,0
ds001_seed_000016,5G6OktV6MQZjl2LQ,history,ds001_seed_table,25,25,2.5,2.5,progressive rock,progressive rock,0,0
ds001_seed_000017,5YjeA9RnddUgDFjI,history,ds001_seed_table,25,25,2.5,2.5,classic rock,classic rock,0,0
ds001_seed_000018,6M4XbtDIOtPeDA06,history,ds001_seed_table,25,25,2.5,2.5,classic rock,60s,0,0
ds001_seed_000019,6MJkge2anZHEYvjl,history,ds001_seed_table,25,25,2.5,2.5,new wave,80s,0,0
ds001_seed_000020,6Op0YXj5bEEcScnz,history,ds001_seed_table,25,25,2.5,2.5,disco,fip,0,0
ds001_seed_000021,6qNbHN2lGfuVydmr,history,ds001_seed_table,25,25,2.5,2.5,progressive rock,progressive rock,0,0
ds001_seed_000022,79gGvHv2KqAvswk8,history,ds001_seed_table,25,25,2.5,2.5,pop,pop,0,0
ds001_seed_000023,7LfUFSaaFyxcITaK,history,ds001_seed_table,25,25,2.5,2.5,pop,80s,0,0
ds001_seed_000024,8TauRq2Dzjuqlen8,history,ds001_seed_table,25,25,2.5,2.5,classic rock,classic rock,0,0
ds001_seed_000025,8amnHzBUPrdIQp6A,history,ds001_seed_table,25,25,2.5,2.5,progressive rock,progressive rock,0,0
ds001_seed_000026,8e1XAO305okHTnbt,history,ds001_seed_table,25,25,2.5,2.5,progressive rock,progressive rock,0,0
ds001_seed_000027,8xE82ySWCYSxN8TD,history,ds001_seed_table,25,25,2.5,2.5,soul,british,0,0
ds001_seed_000028,9CLTmq6Ps7WVseF2,history,ds001_seed_table,25,25,2.5,2.5,classic rock,classic rock,0,0
ds001_seed_000029,9PUnKxg2n1co5JI1,history,ds001_seed_table,25,25,2.5,2.5,classic rock,classic rock,0,0
ds001_seed_000030,9S6X7coXdb927q9L,history,ds001_seed_table,25,25,2.5,2.5,soul,soul,0,0
ds001_seed_000031,9emO9FRFYFQesS1g,history,ds001_seed_table,25,25,2.5,2.5,new wave,80s,0,0
ds001_seed_000032,AeEKbcGeUG3kIp41,history,ds001_seed_table,25,25,2.5,2.5,singer-songwriter,piano,0,0
ds001_seed_000034,BoDfJUleKTckWpiW,history,ds001_seed_table,25,25,2.5,2.5,classic rock,psychedelic peppermint,0,0
ds001_seed_000035,BurkN8hwXKYLo8xS,history,ds001_seed_table,25,25,2.5,2.5,folk,folk,0,0
ds001_seed_000036,CV1cYS3ulclC2pwO,history,ds001_seed_table,25,25,2.5,2.5,rock,60s,0,0
ds001_seed_000037,D6fkJpDr6KTNzDpL,history,ds001_seed_table,25,25,2.5,2.5,swing,swing,0,0
ds001_seed_000038,EP4cXLGgw90hzP3O,history,ds001_seed_table,25,25,2.5,2.5,classic rock,rock n roll,0,0
ds001_seed_000039,EluJPZ1gvKeMbf3X,history,ds001_seed_table,25,25,2.5,2.5,baroque pop,baroque pop,0,0
ds001_seed_000040,EoM9b6SAT1D9Ytq1,history,ds001_seed_table,25,25,2.5,2.5,rock,rock,0,0
ds001_seed_000041,F8vAvaC1LW5E8DOU,history,ds001_seed_table,25,25,2.5,2.5,reggae,reggae,0,0
ds001_seed_000042,FKCVBKj4lauIUFna,history,ds001_seed_table,25,25,2.5,2.5,classic rock,rock n roll,0,0
ds001_seed_000043,FeRInaEhXdfN0VZv,history,ds001_seed_table,25,25,2.5,2.5,classical,piano,0,0
ds001_seed_000044,FrjEAGwfV6qohKmJ,history,ds001_seed_table,25,25,2.5,2.5,progressive rock,progressive rock,0,0
ds001_seed_000045,FvmUxqDYcskY1E1q,history,ds001_seed_table,25,25,2.5,2.5,classic rock,rock n roll,0,0
ds001_seed_000046,GGVEhXe864IozrMK,history,ds001_seed_table,25,25,2.5,2.5,progressive rock,progressive rock,0,0
ds001_seed_000047,GbbYeHso7KMaXXZk,history,ds001_seed_table,25,25,2.5,2.5,pop,pop,0,0
ds001_seed_000048,HNN3N9MY2Okf4kfQ,history,ds001_seed_table,25,25,2.5,2.5,pop,pop,0,0
ds001_seed_000049,HhnTUIZ040LnpSZm,history,ds001_seed_table,25,25,2.5,2.5,pop,80s,0,0
ds001_seed_000050,IAzZGYyHfsmexzGi,history,ds001_seed_table,25,25,2.5,2.5,pop,pop,0,0
ds001_seed_000051,IQHIVdQXeQ7dk3So,history,ds001_seed_table,25,25,2.5,2.5,classic rock,classic rock,0,0
ds001_seed_000053,JTbvJI8lNUTib1O5,history,ds001_seed_table,25,25,2.5,2.5,progressive rock,progressive rock,0,0
ds001_seed_000054,JZrvucFQ56izpI9f,history,ds001_seed_table,25,25,2.5,2.5,classic rock,classic rock,0,0
ds001_seed_000055,K01Mxf5XW4k9jAIt,history,ds001_seed_table,25,25,2.5,2.5,classic rock,classic rock,0,0
ds001_seed_000056,K2InLHoJqZgf5Opi,history,ds001_seed_table,25,25,2.5,2.5,classic rock,60s,0,0
ds001_seed_000057,LP8SxUB1bOG1Ra3P,history,ds001_seed_table,25,25,2.5,2.5,classic rock,60s,0,0
