track_id,is_seed_track,lead_genre,semantic_score,lead_genre_match,genre_overlap_count,tag_overlap_count,numeric_pass_count,bpm_distance,danceability_distance,loudness_distance,V_mean_distance,A_mean_distance,D_mean_distance,decision,decision_reason
0ng9VQtWuSjd0arq,1,indie rock,3,1,2,6,6,17.164526,0.268352,2.097643,0.156485,0.129585,0.509753,reject,reject: seed track excluded from retrieval output
lJKIbZNzpS6IsNgh,1,indie pop,3,1,1,5,5,8.812689,0.372534,3.744337,0.024955,0.907318,0.144116,reject,reject: seed track excluded from retrieval output
yfm7RER1PWTqgjIp,1,electronic,3,1,2,6,4,34.288888,0.121153,8.169462,0.130519,0.070468,0.09273,reject,reject: seed track excluded from retrieval output
io7RYSOjKB4YpBKy,1,trip hop,3,1,2,1,5,21.217439,0.026357,3.943348,0.014135,0.577612,0.004673,reject,reject: seed track excluded from retrieval output
L4lGOjfg9lTLXh3U,1,alternative rock,3,1,3,3,5,36.867133,0.17606,0.231052,0.369538,0.317688,0.497065,reject,reject: seed track excluded from retrieval output
zp4zYVjiH2Tm3gTM,1,pop,3,1,1,2,5,3.708093,0.282883,7.117703,0.455919,0.197566,0.36002,reject,reject: seed track excluded from retrieval output
lZDk11KaRskQqhWf,1,indie rock,3,1,2,6,5,30.612237,0.236139,0.276838,0.407108,0.014198,0.05202,reject,reject: seed track excluded from retrieval output
wQ4RdMXUKj1ry4p6,1,indie rock,3,1,1,7,5,23.680502,0.131577,5.418488,0.409787,0.228089,0.072419,reject,reject: seed track excluded from retrieval output
cDf6FcmbzmqAMZXB,0,indie pop,3,1,2,4,5,35.262132,0.224469,5.340545,0.399304,0.225622,0.356585,keep,"keep: semantic_score=3, numeric_pass_count=5"
KxryDZFfi0mkMMiM,0,alternative rock,3,1,2,5,6,1.129462,0.301741,0.593041,0.213982,0.011138,0.212621,keep,"keep: semantic_score=3, numeric_pass_count=6"
o2LcK38b4mFLa55g,0,alternative rock,3,1,2,5,6,16.98699,0.365617,0.94393,0.151851,0.069835,0.498768,keep,"keep: semantic_score=3, numeric_pass_count=6"
axdv4kGugNPl0G69,0,alternative rock,3,1,2,4,4,8.644858,0.829741,7.384785,0.67638,0.111164,0.119232,keep,"keep: semantic_score=3, numeric_pass_count=4"
Nyb0YqqyaSvWThIG,0,indie pop,3,1,3,7,5,19.661765,0.952147,1.492235,0.013038,0.208125,0.083027,keep,"keep: semantic_score=3, numeric_pass_count=5"
hn1Z3OcZ4HM3hcIi,0,indie rock,3,1,2,5,5,7.064073,0.186265,6.137718,0.147518,0.114168,0.119991,keep,"keep: semantic_score=3, numeric_pass_count=5"
