rank,track_id,lead_genre,matched_genres,matched_tags,final_score,bpm_similarity,bpm_contribution,danceability_similarity,danceability_contribution,loudness_similarity,loudness_contribution,V_mean_similarity,V_mean_contribution,A_mean_similarity,A_mean_contribution,D_mean_similarity,D_mean_contribution,lead_genre_similarity,lead_genre_contribution,genre_overlap_similarity,genre_overlap_contribution,tag_overlap_similarity,tag_overlap_contribution
1,jPv1Tj4Mgo4l2Oue,indie rock,indie rock|rock,indie rock|rock|indie|alternative|alternative rock,0.741196,0.943984,0.094398,0.856704,0.08567,0.585428,0.046834,0.978531,0.117424,0.419903,0.033592,0.869807,0.069585,1.0,0.12,0.376117,0.060179,0.709465,0.113514
2,POdgTSLBnoFJaj2x,indie rock,indie rock|rock,indie rock|indie|rock|alternative|alternative rock,0.719758,0.940295,0.09403,0.50787,0.050787,0.978428,0.078274,0.679,0.08148,0.695551,0.055644,0.82313,0.06585,1.0,0.12,0.376117,0.060179,0.709465,0.113514
3,PvGcoMH6vGWBaoXh,indie rock,indie rock|rock,indie|rock|alternative|alternative rock,0.648397,0.0,0.0,0.929437,0.092944,0.715085,0.057207,0.793114,0.095174,0.918775,0.073502,0.642382,0.051391,1.0,0.12,0.376117,0.060179,0.612499,0.098
4,hn1Z3OcZ4HM3hcIi,indie rock,indie rock|rock,indie rock|indie|rock|alternative|alternative rock,0.647532,0.646796,0.06468,0.534338,0.053434,0.0,0.0,0.815603,0.097872,0.873147,0.069852,0.850012,0.068001,1.0,0.12,0.376117,0.060179,0.709465,0.113514
5,1XZP3bEawLbWfSkM,indie rock,indie rock|alternative rock|rock,indie rock|indie|rock|alternative|alternative rock,0.640671,0.335315,0.033531,0.339001,0.0339,0.352974,0.028238,0.842621,0.101115,0.910768,0.072861,0.872786,0.069823,1.0,0.12,0.423054,0.067689,0.709465,0.113514
6,nlgMHNZ0qCS2vdmV,indie rock,indie rock|rock,indie|alternative|rock|alternative rock|pop,0.64047,0.0,0.0,0.725033,0.072503,0.745961,0.059677,0.82725,0.09927,0.867997,0.06944,0.549357,0.043949,1.0,0.12,0.376117,0.060179,0.721572,0.115452
7,j8qrlsfqWAPqzqD9,indie rock,indie rock|rock,indie|indie rock|alternative|rock|alternative rock,0.640292,0.084821,0.008482,0.6568,0.06568,0.529888,0.042391,0.831297,0.099756,0.629263,0.050341,0.99936,0.079949,1.0,0.12,0.376117,0.060179,0.709465,0.113514
8,yUa5uu5wFCGwl2PK,indie pop,indie pop|indie rock|electronic,indie|indie pop|electronic|indie rock|alternative|rock,0.617834,0.538689,0.053869,0.937578,0.093758,0.0,0.0,0.727749,0.08733,0.692807,0.055425,0.947654,0.075812,0.374868,0.044984,0.533695,0.085391,0.757909,0.121265
9,xr1HkbplUycZcEZX,indie rock,indie rock|rock,indie rock|indie|rock|alternative,0.604422,0.635073,0.063507,0.513554,0.051355,0.000632,5.1e-05,0.722765,0.086732,0.876079,0.070086,0.605387,0.048431,1.0,0.12,0.376117,0.060179,0.650504,0.104081
10,KxryDZFfi0mkMMiM,alternative rock,alternative rock|rock,alternative rock|rock|alternative|indie|indie rock,0.593906,0.943527,0.094353,0.245647,0.024565,0.90116,0.072093,0.732522,0.087903,0.987625,0.07901,0.734224,0.058738,0.303926,0.036471,0.17037,0.027259,0.709465,0.113514
11,8keAhBJumHlc8qe9,indie rock,indie rock|rock|alternative rock,rock|indie|alternative|alternative rock,0.587562,0.0,0.0,0.651831,0.065183,0.0,0.0,0.812183,0.097462,0.813764,0.065101,0.926585,0.074127,1.0,0.12,0.423054,0.067689,0.612499,0.098
12,Nyb0YqqyaSvWThIG,indie pop,indie pop|indie rock|electronic,indie|indie pop|electronic|indie rock|rock|pop|alternative,0.582128,0.016912,0.001691,0.0,0.0,0.751294,0.060104,0.983703,0.118044,0.76875,0.0615,0.896217,0.071697,0.374868,0.044984,0.533695,0.085391,0.866982,0.138717
