event_id,track_id,interaction_type,signal_source,seed_rank,interaction_count,preference_weight,effective_weight,lead_genre,top_tag,candidate_playcount_sum,candidate_listener_rows
ds001_seed_000056,22YI5YceDuG0QoOj,history,ds001_seed_table,5,5,0.5,0.5,electronic,electronic,0,0
ds001_seed_000233,9PB0ewyDzJTklpIQ,history,ds001_seed_table,5,5,0.5,0.5,electronic,electronic,0,0
ds001_seed_000277,BGbgzYmOTZ3udByO,history,ds001_seed_table,5,5,0.5,0.5,ambient,ambient,0,0
ds001_seed_000471,JHJusOYsaL3zLGtA,history,ds001_seed_table,5,5,0.5,0.5,electronic,chillout,0,0
ds001_seed_000474,JLJS9OAC2UnkSSUO,history,ds001_seed_table,5,5,0.5,0.5,electronic,electronic,0,0
ds001_seed_000860,YgEh62KLk46uZxd8,history,ds001_seed_table,5,5,0.5,0.5,electronic,electronic,0,0
ds001_seed_000929,bbRubPkT5bxwLQpH,history,ds001_seed_table,5,5,0.5,0.5,electronic,electronic,0,0
ds001_seed_001176,l05MaeKgw6wjJxLs,history,ds001_seed_table,5,5,0.5,0.5,electronic,electronic,0,0
ds001_seed_001328,rI5G12llOXXzgocS,history,ds001_seed_table,5,5,0.5,0.5,ambient,ambient,0,0
ds001_seed_001462,wYoJBT9Lg1bBf8Nd,history,ds001_seed_table,5,5,0.5,0.5,electronic,electronic,0,0
ds001_seed_001499,xsAC7LEsEv3vlz4p,history,ds001_seed_table,5,5,0.5,0.5,electronic,electronic,0,0
ds001_seed_001098,hPmVSv4sM1gizWUF,history,ds001_seed_table,6,6,0.6,0.6,soundtrack,soundtrack,0,0
ds001_seed_000005,0BNhHXgSf5vdt8Zz,history,ds001_seed_table,10,10,1.0,1.0,new wave,new wave,0,0
ds001_seed_000007,0DdUB31Xhf8a86aS,history,ds001_seed_table,10,10,1.0,1.0,latin pop,italian,0,0
ds001_seed_000009,0JOPhC8RaJBnAFGw,history,ds001_seed_table,10,10,1.0,1.0,classic rock,classic rock,0,0
ds001_seed_000011,0QWzfbnOiufNKHUw,history,ds001_seed_table,10,10,1.0,1.0,classic rock,classic rock,0,0
ds001_seed_000014,0Xi1IjpiylZGEimy,history,ds001_seed_table,10,10,1.0,1.0,pop,pop,0,0
ds001_seed_000016,0ghonUYl8g4OVlME,history,ds001_seed_table,10,10,1.0,1.0,hard rock,hard rock,0,0
