score_rank,track_id,lead_genre,final_score,decision,playlist_position,exclusion_reason
1,yEz9rqTTulkiDDm7,classic rock,0.779817,included,1,
2,ru7tTgHQ3Pn5sFku,classic rock,0.761923,included,2,
3,65Mp5rxG0Bjd0Fpr,classic rock,0.744492,excluded,,consecutive_genre_run
4,ry7KVHYQ10CXYDmE,classic rock,0.743806,excluded,,consecutive_genre_run
5,Kj5SnfDEQl2M7Xm9,classic rock,0.743521,excluded,,consecutive_genre_run
6,o27WwIo8F6fMirMs,classic rock,0.739049,excluded,,consecutive_genre_run
7,4P9s3Ny397GUNITy,classic rock,0.735876,excluded,,consecutive_genre_run
8,phL12CBijBqwQ9qB,pop,0.735196,included,3,
9,KZR6R3ipwAKSCdA0,classic rock,0.730162,included,4,
10,dv1r49qWV1haZtYv,classic rock,0.7134,included,5,
11,s0Qo4gihN9Rzx8we,classic rock,0.7134,excluded,,genre_cap_exceeded
12,zPfrQD3GStA0tQyJ,classic rock,0.712557,excluded,,genre_cap_exceeded
13,7Wtv58F77XFSGy7b,classic rock,0.711171,excluded,,genre_cap_exceeded
14,A5JfD3gB0dTbFkU9,classic rock,0.705163,excluded,,genre_cap_exceeded
15,7VyDFH8YE7yoRv3I,classic rock,0.704524,excluded,,genre_cap_exceeded
16,c7CeSmnsVeJSYvN4,pop,0.694147,included,6,
17,a1xCAjhxC6IVbAAr,classic rock,0.693469,excluded,,genre_cap_exceeded
18,4oTCBnBQ389wmbQN,rock,0.692927,included,7,
19,5JEVYxcLzt4zrcKp,classic rock,0.69128,excluded,,genre_cap_exceeded
20,0dUzaNgp1pENO3CP,pop,0.689772,included,8,
21,XTRwIewVzsauqyRk,classic rock,0.688785,excluded,,genre_cap_exceeded
22,JlStFnlsINXsMLne,classic rock,0.687739,excluded,,genre_cap_exceeded
23,htmgabdgLy99IU32,classic rock,0.687698,excluded,,genre_cap_exceeded
24,BF8YWsPEMO6MRe8q,classic rock,0.686115,excluded,,genre_cap_exceeded
25,hdEki8Zexfq9MTmF,classic rock,0.684595,excluded,,genre_cap_exceeded
26,jnGV1itbgjMZorgK,classic rock,0.684194,excluded,,genre_cap_exceeded
