rank,track_id,lead_genre,matched_genres,matched_tags,final_score,bpm_similarity,bpm_contribution,danceability_similarity,danceability_contribution,loudness_similarity,loudness_contribution,V_mean_similarity,V_mean_contribution,A_mean_similarity,A_mean_contribution,D_mean_similarity,D_mean_contribution,lead_genre_similarity,lead_genre_contribution,genre_overlap_similarity,genre_overlap_contribution,tag_overlap_similarity,tag_overlap_contribution
1,jPv1Tj4Mgo4l2Oue,indie rock,indie rock|rock,indie rock|rock|indie|alternative|alternative rock,0.74273,0.871775,0.08072,0.763441,0.070689,0.638824,0.04732,0.972885,0.180164,0.404281,0.029947,0.877224,0.064979,1.0,0.111111,0.34871,0.051661,0.71644,0.106139
2,POdgTSLBnoFJaj2x,indie rock,indie rock|rock,indie rock|indie|rock|alternative|alternative rock,0.697104,0.987497,0.091435,0.414608,0.03839,0.925032,0.068521,0.630416,0.116744,0.711174,0.05268,0.815714,0.060423,1.0,0.111111,0.34871,0.051661,0.71644,0.106139
3,PvGcoMH6vGWBaoXh,indie rock,indie rock|rock,indie|rock|alternative|alternative rock,0.681956,0.061927,0.005734,0.9773,0.090491,0.768481,0.056924,0.841698,0.15587,0.903153,0.0669,0.649798,0.048133,1.0,0.111111,0.34871,0.051661,0.64214,0.095132
4,1XZP3bEawLbWfSkM,indie rock,indie rock|alternative rock|rock,indie rock|indie|rock|alternative|alternative rock,0.673704,0.407524,0.037734,0.432263,0.040025,0.406369,0.030101,0.794037,0.147044,0.895146,0.066307,0.880203,0.0652,1.0,0.111111,0.472789,0.070043,0.71644,0.106139
5,hn1Z3OcZ4HM3hcIi,indie rock,indie rock|rock,indie rock|indie|rock|alternative|alternative rock,0.663826,0.719005,0.066575,0.627601,0.058111,0.030443,0.002255,0.767019,0.14204,0.857525,0.06352,0.842596,0.062414,1.0,0.111111,0.34871,0.051661,0.71644,0.106139
6,nlgMHNZ0qCS2vdmV,indie rock,indie rock|rock,indie|alternative|rock|alternative rock|pop,0.656527,0.0,0.0,0.818295,0.075768,0.799357,0.059212,0.778666,0.144197,0.852375,0.063139,0.541941,0.040144,1.0,0.111111,0.34871,0.051661,0.751243,0.111295
7,yUa5uu5wFCGwl2PK,indie pop,indie pop|indie rock|electronic,indie|indie pop|electronic|indie rock|alternative|rock,0.64607,0.610898,0.056565,0.96916,0.089737,0.0,0.0,0.679165,0.125771,0.708429,0.052476,0.95507,0.070746,0.67165,0.074628,0.462188,0.068472,0.726808,0.107675
8,j8qrlsfqWAPqzqD9,indie rock,indie rock|rock,indie|indie rock|alternative|rock|alternative rock,0.642716,0.15703,0.01454,0.563537,0.05218,0.583284,0.043206,0.782714,0.144947,0.61364,0.045455,0.991944,0.073477,1.0,0.111111,0.34871,0.051661,0.71644,0.106139
9,Nyb0YqqyaSvWThIG,indie pop,indie pop|indie rock|electronic,indie|indie pop|electronic|indie rock|rock|pop|alternative,0.620564,0.0,0.0,0.0,0.0,0.697898,0.051696,0.967714,0.179206,0.753128,0.055787,0.903633,0.066936,0.67165,0.074628,0.462188,0.068472,0.835911,0.123839
10,8keAhBJumHlc8qe9,indie rock,indie rock|rock|alternative rock,rock|indie|alternative|alternative rock,0.617724,0.0,0.0,0.745093,0.06899,0.036913,0.002734,0.763599,0.141407,0.798142,0.059122,0.934002,0.069185,1.0,0.111111,0.472789,0.070043,0.64214,0.095132
11,xr1HkbplUycZcEZX,indie rock,indie rock|rock,indie rock|indie|rock|alternative,0.614885,0.707282,0.065489,0.420292,0.038916,0.054028,0.004002,0.771349,0.142842,0.860457,0.063737,0.612804,0.045393,1.0,0.111111,0.34871,0.051661,0.619205,0.091734
12,CiLFjUJvYWGmyr2d,indie rock,indie rock|rock,indie|alternative|rock|indie rock|alternative rock,0.591852,0.270858,0.02508,0.309535,0.028661,0.221427,0.016402,0.691358,0.128029,0.739887,0.054806,0.944507,0.069963,1.0,0.111111,0.34871,0.051661,0.71644,0.106139
13,0X9aluHlz6iKWBMR,alternative rock,alternative rock|rock,rock|alternative|alternative rock|electronic,0.586143,0.0,0.0,0.482983,0.044721,0.27287,0.020213,0.918617,0.170114,0.954068,0.070672,0.940427,0.069661,0.897489,0.099721,0.278681,0.041286,0.470844,0.069755
14,ez35sBpNVUuM6emD,indie rock,indie rock,indie|alternative|indie rock|electronic|rock,0.55918,0.0,0.0,0.635434,0.058837,0.0,0.0,0.873989,0.16185,0.59663,0.044195,0.771863,0.057175,1.0,0.111111,0.194107,0.028757,0.656469,0.097255
15,ql2191d6uNCVM932,alternative rock,alternative rock|rock,rock|alternative rock|alternative|indie,0.554311,0.0,0.0,0.636136,0.058902,0.52088,0.038584,0.629907,0.116649,0.629803,0.046652,0.774694,0.057385,0.897489,0.099721,0.278681,0.041286,0.64214,0.095132
16,UD0DWvRMwWe8Swiw,indie rock,indie rock|rock,indie rock|rock|indie|alternative|alternative rock|pop,0.552397,0.0,0.0,0.124225,0.011502,0.160087,0.011858,0.803232,0.148747,0.433577,0.032117,0.851823,0.063098,1.0,0.111111,0.34871,0.051661,0.825544,0.122303
17,yKSK3z6kBv2YJfjx,indie rock,indie rock|rock,indie rock|rock|alternative|alternative rock|indie,0.550781,0.0,0.0,0.603992,0.055925,0.421337,0.03121,0.458246,0.08486,0.819546,0.060707,0.663774,0.049168,1.0,0.111111,0.34871,0.051661,0.71644,0.106139
18,PZEgbQhTHMMrKRLv,folk,indie rock,indie|indie rock|indie pop|female vocalists|pop,0.54246,0.818617,0.075798,0.50848,0.047082,0.02364,0.001751,0.936749,0.173472,0.91705,0.06793,0.99829,0.073947,0.0,0.0,0.194107,0.028757,0.497633,0.073723
19,9ZtfD8gBZXonrJKX,pop,pop,pop|female vocalists,0.539603,0.651349,0.06031,0.525562,0.048663,0.98933,0.073284,0.798899,0.147944,0.968262,0.071723,0.845016,0.062594,0.306301,0.034033,0.132668,0.019654,0.144435,0.021398
20,SezvoI7y9p6mDvB3,pop,pop|indie pop,indie|indie pop|pop|female vocalists|alternative,0.534282,0.014584,0.00135,0.586513,0.054307,0.070225,0.005202,0.976464,0.180826,0.781418,0.057883,0.890243,0.065944,0.306301,0.034033,0.316782,0.046931,0.592693,0.087806
21,B7SJXdcP0HhDMyfm,indie rock,indie rock,indie|indie rock|alternative,0.534208,0.0,0.0,0.362325,0.033549,0.514831,0.038136,0.863596,0.159925,0.392057,0.029041,0.900373,0.066694,1.0,0.111111,0.194107,0.028757,0.45222,0.066995
22,GB9LkV8pTLXCCvX6,folk,indie rock,indie|indie rock|rock|alternative|indie pop,0.499551,0.32012,0.029641,0.819382,0.075869,0.46166,0.034197,0.450808,0.083483,0.972467,0.072035,0.991092,0.073414,0.0,0.0,0.194107,0.028757,0.689544,0.102155
