playlist_id,playlist_name,owner_id,collaborative,public,tracks_total,snapshot_id,uri
3GmuvhTvSNQSnY2CTPNRNd,Gladiator,214f23jw73wgv4vdpcjabds2a,False,False,,AAAABBYEJ3xBBOuO4vwuQY1DV3cwsuWz,spotify:playlist:3GmuvhTvSNQSnY2CTPNRNd
7qfJGoY6KEUiZEerJ7V0oL,Goodbye Stranger,kirarunkle,False,True,,AAAAWjL9Wpr8XCF0CVxHPezkina1VQoD,spotify:playlist:7qfJGoY6KEUiZEerJ7V0oL
2aSj2VEcz8EXnxm8BpnTJe,Don't Speak Playlist,klaredesteenlimyapty,False,True,,AAAAJyxNMssv1L/6ROtDbd8wQcxEPT62,spotify:playlist:2aSj2VEcz8EXnxm8BpnTJe
5oGbdReSVWXnzMcr5DeeJ1,Overstimulated,214f23jw73wgv4vdpcjabds2a,False,True,,AAAACbVyMboD8RnWFNHAIi7LtnyLAVNX,spotify:playlist:5oGbdReSVWXnzMcr5DeeJ1
1KGaBzVFzJysJkJ4fzvbWQ,Nic,214f23jw73wgv4vdpcjabds2a,False,True,,AAAABFc5NNHJ4Wnl5XQJQskFYAavuvmy,spotify:playlist:1KGaBzVFzJysJkJ4fzvbWQ
7l07TzcSZcqEEBMKG08JcF,ooooh it's hard to see you but I wish you were right heree ooooh it's hard to leave you,f4o5y1u3buavow97cunq4rgyo,False,True,,AAAAfy4ngyZ41sRrZ4rkWjA1kBXzP3IE,spotify:playlist:7l07TzcSZcqEEBMKG08JcF
4EHk6Don83UsPaUZBuke4s,Hard Techno Hits - TOP 100 🔥 Nico Moreno | Alignment | Holy Priest | ⛓️,wisebandmusic,False,True,,AAAFBAcwx3eXZcF1kfN8KVhIUDwGXkyE,spotify:playlist:4EHk6Don83UsPaUZBuke4s
2cZCEHK7iWNoMCSx1OcmrX,Hard Techno Release Radar,yhrq0f0axkf1j66a60c3djshu,False,True,,AAAI4FvcS5NyA23JkohKMrasHFP6w67J,spotify:playlist:2cZCEHK7iWNoMCSx1OcmrX
0phNRuofdBmYCZUR4E46QI,Vol2,214f23jw73wgv4vdpcjabds2a,False,True,,AAAACvDN5hZpc0rvfdlZHPWKXcXG8EHu,spotify:playlist:0phNRuofdBmYCZUR4E46QI
4mdEQdTdcd4NVSgY85AWnK,Looksmaxing playlist ,hfqja7662avvbbbv3vcuvqmg6,False,True,,AAAGT+yEUZbOP9/P4AtTCpV6pVwDJ0Rw,spotify:playlist:4mdEQdTdcd4NVSgY85AWnK
34z2LhbkzVZ59EsvDWqq40,Indie,214f23jw73wgv4vdpcjabds2a,False,False,,AAAAAg64PPk7qVtU5Nwq8RofHPow0r8z,spotify:playlist:34z2LhbkzVZ59EsvDWqq40
5F37qnyuLrUebASpqWD12d,Jumpstyle,214f23jw73wgv4vdpcjabds2a,False,False,,AAAAAlf9P0DmDJTnK4Oe/m68GkVatztM,spotify:playlist:5F37qnyuLrUebASpqWD12d
1esUBBoDInjc4RQcm4MXZd,//,214f23jw73wgv4vdpcjabds2a,False,False,,AAAAAlQwojiEnIqO6ifJ1fES/e407SLT,spotify:playlist:1esUBBoDInjc4RQcm4MXZd
2OsxmRmME6QVbxBcdDqjxA,Vol1,214f23jw73wgv4vdpcjabds2a,False,True,,AAAAExBHMSLg0r6Do1gbXVXFjnPf40G/,spotify:playlist:2OsxmRmME6QVbxBcdDqjxA
1Iv2DZUrMnXzIjUiqzOVr6,јеби ме јако у дупе,katdeguara,False,True,,AAAA8EUOkL8simUs4AiaqPKMmViOLDKx,spotify:playlist:1Iv2DZUrMnXzIjUiqzOVr6
1TnWqIdRJ4r6LUMujGK29f,DnB,214f23jw73wgv4vdpcjabds2a,False,False,,AAAABwjYj3GKLg1OtMVRZL+8HaWMQ/WO,spotify:playlist:1TnWqIdRJ4r6LUMujGK29f
4OtQodt5SewNPkGQHgTkPg,SPED UP PHONK 💀 Fast Speed Up Brazilian Phonk 🇧🇷 Super Sped Up,315ggmrctlty6apemau66fofwbva,False,True,,AAAD4Z6TdV4WTwGRZ3Ppe6qbihc35m0D,spotify:playlist:4OtQodt5SewNPkGQHgTkPg
0bGafq7rkLV7c6quoNvd0v,v2,21jynlg3f2cl7bhukbmrslnha,False,True,,AAAALkCDCphzq7jtrzOlmJrPP+rlXcbk,spotify:playlist:0bGafq7rkLV7c6quoNvd0v
0kwD7x8myfPCwsKaVDHFAb,LATE NIGHT CHILL ROCK,22uoogw4buuo4dacluhpfmgda,False,True,,AAABtHyCjG+GqJ6SB5kG38cfwbHDL+dI,spotify:playlist:0kwD7x8myfPCwsKaVDHFAb
6KZ6wZ9E55LIEvEe7iMuzl,majestic ahhh songs💫,c3cwiwh870n64dcam4wy6b25n,False,True,,AAACEc9eU7LdEz7Vj1t3PBBBQEg0/X2f,spotify:playlist:6KZ6wZ9E55LIEvEe7iMuzl
5w0pllEWe25mGCScXcY3jo,L3,je3irfdy25h1pr435kd8i0fph,False,True,,AAABK/XtnJFZnLtlk6DWtl/zuuXhtKkU,spotify:playlist:5w0pllEWe25mGCScXcY3jo
49sro0CgqIvHQJrWboBcPi,🐁,je3irfdy25h1pr435kd8i0fph,False,True,,AAAAkuWZu/svZwiRcUQ+bcAaHWSiIffO,spotify:playlist:49sro0CgqIvHQJrWboBcPi
0WmWyj5atNavJo2DtBsqxS,freaks - surf curse vibes,miaboewering,False,True,,AAAAKp9E+yQDE02eP9uDJpvvqgHDb6qz,spotify:playlist:0WmWyj5atNavJo2DtBsqxS
0coY9GU6r0RzcE6UpN82Iq,Relax reading shid,214f23jw73wgv4vdpcjabds2a,False,True,,AAAAMJAVAA0BPRNRSrpczXTL9A5fYQKC,spotify:playlist:0coY9GU6r0RzcE6UpN82Iq
4JFZr7xTTjXOJB22yR62KR,My Shazam Tracks,214f23jw73wgv4vdpcjabds2a,False,True,,AAAAl3y0kMnzxN5O0iYXf4my9oh7VDI0,spotify:playlist:4JFZr7xTTjXOJB22yR62KR
0coY9GU6r0RzcE6UpN82Iq,Relax reading shid,214f23jw73wgv4vdpcjabds2a,False,True,,AAAAMJAVAA0BPRNRSrpczXTL9A5fYQKC,spotify:playlist:0coY9GU6r0RzcE6UpN82Iq
4JFZr7xTTjXOJB22yR62KR,My Shazam Tracks,214f23jw73wgv4vdpcjabds2a,False,True,,AAAAl3y0kMnzxN5O0iYXf4my9oh7VDI0,spotify:playlist:4JFZr7xTTjXOJB22yR62KR
