played_at,context_type,context_uri,track_id,track_uri,track_name,artist_ids,artist_names,album_id,album_name,release_date,release_date_precision,duration_ms,duration_seconds,popularity,explicit,is_playable,restriction_reason,linked_from_track_id,isrc,track_href,track_external_url
2026-03-24T15:40:46.246Z,artist,spotify:artist:3OsRAKCvk37zwYcnzRf5XF,08hBmJsQarUreIlbhT1GJ0,spotify:track:08hBmJsQarUreIlbhT1GJ0,The Whispering Wind,3OsRAKCvk37zwYcnzRf5XF,Moby,6vcm3ltupPkA4zt82auiKh,Play: The Complete Recordings,1999-05-17,day,362666,362.666,,False,,,,,https://api.spotify.com/v1/tracks/08hBmJsQarUreIlbhT1GJ0,https://open.spotify.com/track/08hBmJsQarUreIlbhT1GJ0
2026-03-24T15:34:45.817Z,artist,spotify:artist:3OsRAKCvk37zwYcnzRf5XF,3KdNyeEZPSND2Eii1O2lNf,spotify:track:3KdNyeEZPSND2Eii1O2lNf,Everloving,3OsRAKCvk37zwYcnzRf5XF,Moby,4KZWx8zo5ym89aopr0dBIb,Play,1999-05-17,day,205560,205.56,,False,,,,,https://api.spotify.com/v1/tracks/3KdNyeEZPSND2Eii1O2lNf,https://open.spotify.com/track/3KdNyeEZPSND2Eii1O2lNf
2026-03-24T15:31:15.644Z,artist,spotify:artist:3OsRAKCvk37zwYcnzRf5XF,2PhictGwt3fvU1uqqMXIZ6,spotify:track:2PhictGwt3fvU1uqqMXIZ6,Retreat,3OsRAKCvk37zwYcnzRf5XF,Moby,4383uHOn6d0N0zyV0mZ1uQ,Future Quiet,2026-02-20,day,404430,404.43,,False,,,,,https://api.spotify.com/v1/tracks/2PhictGwt3fvU1uqqMXIZ6,https://open.spotify.com/track/2PhictGwt3fvU1uqqMXIZ6
2026-03-24T15:24:47.475Z,artist,spotify:artist:3OsRAKCvk37zwYcnzRf5XF,7EXMu7qI9Hv5PlMgtmfjES,spotify:track:7EXMu7qI9Hv5PlMgtmfjES,We Are All Made of Stars,3OsRAKCvk37zwYcnzRf5XF,Moby,200xhXQBPc2OWPsZ3koxTc,18,2002-05-13,day,273213,273.213,,False,,,,,https://api.spotify.com/v1/tracks/7EXMu7qI9Hv5PlMgtmfjES,https://open.spotify.com/track/7EXMu7qI9Hv5PlMgtmfjES
2026-03-24T15:20:15.707Z,artist,spotify:artist:3OsRAKCvk37zwYcnzRf5XF,1YmF9PvLhIISIANoMLIYGq,spotify:track:1YmF9PvLhIISIANoMLIYGq,A$AP Forever (feat. Moby),13ubrt8QOOCPljQ2FL1Kca | 3OsRAKCvk37zwYcnzRf5XF,A$AP Rocky | Moby,67Em0g7VkNZGzICh4SZQdY,A$AP Forever (feat. Moby),2018-04-05,day,233061,233.061,,True,,,,,https://api.spotify.com/v1/tracks/1YmF9PvLhIISIANoMLIYGq,https://open.spotify.com/track/1YmF9PvLhIISIANoMLIYGq
2026-03-24T15:16:34.908Z,artist,spotify:artist:3OsRAKCvk37zwYcnzRf5XF,0c6XBVz2evmzERhch4Diew,spotify:track:0c6XBVz2evmzERhch4Diew,Oh My (feat. Moby),20cmhoGvN0eyzhmsHJH1Mg | 5QrV5Vr4KdsyKtifvD6X1U | 3OsRAKCvk37zwYcnzRf5XF,Luude | Issey Cross | Moby,4OTve5gpkJVmmRltUEXkT0,Oh My (feat. Moby),2023-01-12,day,160116,160.116,,False,,,,,https://api.spotify.com/v1/tracks/0c6XBVz2evmzERhch4Diew,https://open.spotify.com/track/0c6XBVz2evmzERhch4Diew
2026-03-24T15:13:16.632Z,artist,spotify:artist:3OsRAKCvk37zwYcnzRf5XF,1mVd372eD1BYzf8NvJd9jr,spotify:track:1mVd372eD1BYzf8NvJd9jr,Mott St 1992,3OsRAKCvk37zwYcnzRf5XF,Moby,4383uHOn6d0N0zyV0mZ1uQ,Future Quiet,2026-02-20,day,348437,348.437,,False,,,,,https://api.spotify.com/v1/tracks/1mVd372eD1BYzf8NvJd9jr,https://open.spotify.com/track/1mVd372eD1BYzf8NvJd9jr
2026-03-24T15:07:46.878Z,artist,spotify:artist:3OsRAKCvk37zwYcnzRf5XF,2UoxRLlTWbVnH1xvXOKfrE,spotify:track:2UoxRLlTWbVnH1xvXOKfrE,One of These Mornings,3OsRAKCvk37zwYcnzRf5XF,Moby,200xhXQBPc2OWPsZ3koxTc,18,2002-05-13,day,192693,192.693,,False,,,,,https://api.spotify.com/v1/tracks/2UoxRLlTWbVnH1xvXOKfrE,https://open.spotify.com/track/2UoxRLlTWbVnH1xvXOKfrE
2026-03-24T15:04:16.025Z,artist,spotify:artist:3OsRAKCvk37zwYcnzRf5XF,5YKh3YV7d5SC7T6rdX73OM,spotify:track:5YKh3YV7d5SC7T6rdX73OM,Memory Gospel,3OsRAKCvk37zwYcnzRf5XF,Moby,6vcm3ltupPkA4zt82auiKh,Play: The Complete Recordings,1999-05-17,day,402066,402.066,,False,,,,,https://api.spotify.com/v1/tracks/5YKh3YV7d5SC7T6rdX73OM,https://open.spotify.com/track/5YKh3YV7d5SC7T6rdX73OM
2026-03-24T14:57:46.288Z,artist,spotify:artist:3OsRAKCvk37zwYcnzRf5XF,0FBdKYYhoKxtpPU1WETW46,spotify:track:0FBdKYYhoKxtpPU1WETW46,When It's Cold I'd Like to Die - Moby's Remix 7,3OsRAKCvk37zwYcnzRf5XF | 6dm2qCTCfqv1fqrow7UOcj,Moby | Jacob Lusk,5rXSVcJdzwe9Jt2VIK663v,When It's Cold I'd Like to Die (Remixes),2026-03-13,day,427868,427.868,,False,,,,,https://api.spotify.com/v1/tracks/0FBdKYYhoKxtpPU1WETW46,https://open.spotify.com/track/0FBdKYYhoKxtpPU1WETW46
