added_at,track_id,track_uri,track_name,artist_ids,artist_names,album_id,album_name,release_date,release_date_precision,duration_ms,duration_seconds,popularity,explicit,is_playable,restriction_reason,linked_from_track_id,isrc,track_href,track_external_url
2026-03-22T17:58:42Z,6obvDIn53TeuLmaK6O463v,spotify:track:6obvDIn53TeuLmaK6O463v,"Toccata & Fugue in D Minor, BWV 565 (Transc. I. Friedman): Fugue",5aIqB5nVVvmFsvSdExz408 | 37dxbWxQuagnuoz1RvMO26,Johann Sebastian Bach | Roberto Cominati,0TJcSkjVqhBtd0G7C9YBau,Bach & Handel: Transcriptions for Piano,2016-04-01,day,316746,316.746,,False,True,,,DELE21612408,https://api.spotify.com/v1/tracks/6obvDIn53TeuLmaK6O463v,https://open.spotify.com/track/6obvDIn53TeuLmaK6O463v
2026-03-20T16:28:26Z,1Owa3Ic2vpcfRCLSqa73NZ,spotify:track:1Owa3Ic2vpcfRCLSqa73NZ,"Sarasate: Zigeunerweisen, Op. 20",3L1iFJfRzE7yzilr2yGl6t | 0hIG9FXgjQxT8fKaYceFbA | 1C5HAMTwDavVaC1zguCp0g,Pablo de Sarasate | Itzhak Perlman | Abbey Road Ensemble,2TuE4bck8GYdiXPAiGWTYh,Paganini: Violin Concerto No.1 / Sarasate: Carmen Fantasy etc.,2003-09-01,day,517706,517.706,,False,True,,,GBAYC9503392,https://api.spotify.com/v1/tracks/1Owa3Ic2vpcfRCLSqa73NZ,https://open.spotify.com/track/1Owa3Ic2vpcfRCLSqa73NZ
2026-03-20T16:28:14Z,04dmviXw9I8K4zsJ4bQCyo,spotify:track:04dmviXw9I8K4zsJ4bQCyo,"Sarasate: Danzas españolas: Zapateado, Op. 23 No. 2",3L1iFJfRzE7yzilr2yGl6t | 0hIG9FXgjQxT8fKaYceFbA | 1n8c6hHrMJPPnM99Ih1vqH,Pablo de Sarasate | Itzhak Perlman | Samuel Sanders,5s9qnNSHj1rYEx0FLzPzUD,Encores,2015-08-28,day,201480,201.48,,False,True,,,GBAYC1500757,https://api.spotify.com/v1/tracks/04dmviXw9I8K4zsJ4bQCyo,https://open.spotify.com/track/04dmviXw9I8K4zsJ4bQCyo
2026-03-20T16:18:05Z,0zHc9jVOLmAONeZfUtqQ6H,spotify:track:0zHc9jVOLmAONeZfUtqQ6H,"La Campanella from the Violin Concerto No 2 in B Minor, Op. 7",39FC9x5PaTNYHp5hwlaY4q | 0desZpwDxanX957yN3UWAj | 1aqLI7gjDeOBCIUyQRGuwB,Niccolò Paganini | Roman Kim | Jure Gorucan,6tdK5wQonzv7L10FYay6ga,KIMPOSSIBLE,2018-09-14,day,392000,392.0,,False,True,,,KRB461800289,https://api.spotify.com/v1/tracks/0zHc9jVOLmAONeZfUtqQ6H,https://open.spotify.com/track/0zHc9jVOLmAONeZfUtqQ6H
2026-03-20T11:09:52Z,7zMUCLm1TN9o9JlLISztxO,spotify:track:7zMUCLm1TN9o9JlLISztxO,Burning Love,43ZHCT0cAZBISjO8DG9PnE,Elvis Presley,3gpHiNAmT5oXVxe6ewTGuN,Elvis (Fool),1973-07-16,day,171533,171.533,,False,True,,,USRC18705934,https://api.spotify.com/v1/tracks/7zMUCLm1TN9o9JlLISztxO,https://open.spotify.com/track/7zMUCLm1TN9o9JlLISztxO
2026-03-18T14:31:52Z,2A6yzRGMgSQCUapR2ptm6A,spotify:track:2A6yzRGMgSQCUapR2ptm6A,True Colors,2BTZIqw0ntH9MvilQ3ewNY,Cyndi Lauper,31TRqoVBTQi0lzlPLtvINn,True Colors,1986-10-14,day,227590,227.59,,False,True,,,USSM18600632,https://api.spotify.com/v1/tracks/2A6yzRGMgSQCUapR2ptm6A,https://open.spotify.com/track/2A6yzRGMgSQCUapR2ptm6A
2026-03-18T13:10:23Z,0oE6A9bCTnQsT5lXFJxVzb,spotify:track:0oE6A9bCTnQsT5lXFJxVzb,"Married Life (from ""Up"")",7aKABlGTdOJkSML40kD64b,Jacob's Piano,39OqBoA7B602RiHEKbRsJp,"Married Life (from ""Up"")",2022-09-28,day,166622,166.622,,False,True,,,QZPLR2253103,https://api.spotify.com/v1/tracks/0oE6A9bCTnQsT5lXFJxVzb,https://open.spotify.com/track/0oE6A9bCTnQsT5lXFJxVzb
2026-03-14T09:37:42Z,5jFr0DzRfDI9QcQ9NG4ltE,spotify:track:5jFr0DzRfDI9QcQ9NG4ltE,"Le nozze di Figaro, K. 492, Act II: No. 12, Voi che sapete",4NJhFmfw43RLBLjQvxDuRS | 3uw6GzeL10NfFrcikMo9Na | 003f4bk13c6Q3gAUXv7dGJ | 6HclTVD03WSY6GUpN16BkP,Wolfgang Amadeus Mozart | Cecilia Bartoli | Wiener Philharmoniker | Claudio Abbado,2R5fWlCJhxNEWtv8431Nfa,Mozart: Le Nozze di Figaro (Highlights),1994-01-01,day,147000,147.0,,False,True,,,DEF059430527,https://api.spotify.com/v1/tracks/5jFr0DzRfDI9QcQ9NG4ltE,https://open.spotify.com/track/5jFr0DzRfDI9QcQ9NG4ltE
2026-03-09T15:39:23Z,6jBUP2KCe821yqf1hiBqPR,spotify:track:6jBUP2KCe821yqf1hiBqPR,Broken Strings,3LpLGlgRS1IKPPwElnpW35 | 2jw70GZXlAI8QzWeY2bgRc,James Morrison | Nelly Furtado,4gbQkXljzPRUvYtqQscMO7,"Songs For You, Truths For Me (International Exclusive Bundle)",2008-01-01,day,250453,250.453,,False,True,,,GBUM70810083,https://api.spotify.com/v1/tracks/6jBUP2KCe821yqf1hiBqPR,https://open.spotify.com/track/6jBUP2KCe821yqf1hiBqPR
2026-03-08T17:58:45Z,5NdzToomqRRxNSR0F0nUHg,spotify:track:5NdzToomqRRxNSR0F0nUHg,Music Box Dancer,1rlNSO7W5SWGspO6fgrHPS,Frank Mills,2fcngsscxnVlJdbGgXmBlt,Music Box Dancer,1978-01-01,day,192360,192.36,,False,True,,,GBBLY0606398,https://api.spotify.com/v1/tracks/5NdzToomqRRxNSR0F0nUHg,https://open.spotify.com/track/5NdzToomqRRxNSR0F0nUHg
2026-03-08T17:09:48Z,6k6ofp1C5zMdYDfN36glGp,spotify:track:6k6ofp1C5zMdYDfN36glGp,In Dulce Jubilo (For Maureen),562Od3CffWedyz2BbeYWVn,Mike Oldfield,1VvB8ygrV7cREvzpkqQWFG,Hergest Ridge (Deluxe Edition),1974-08-28,day,166066,166.066,,False,True,,,GBUM71001044,https://api.spotify.com/v1/tracks/6k6ofp1C5zMdYDfN36glGp,https://open.spotify.com/track/6k6ofp1C5zMdYDfN36glGp
2026-03-06T09:01:44Z,3lLvfaaU1ARbxAB2qhtIym,spotify:track:3lLvfaaU1ARbxAB2qhtIym,"Così fan tutte, K.588, Act I: Sextetto. ""Alla bella Despinetta""",4NJhFmfw43RLBLjQvxDuRS | 3joPdNn5q3oU6MpDXqQsu7 | 3Xyr46anTBdukjErlpKfXH | 7FEmj9qSKT3kICy6tSVyda | 06sdqsM0f4kRRX9WhLUmYR | 01T1QIbN9MiKPjuctahED1 | 3X8cLsr9R5R2qOAFCLxUoI | 474AkWC1QevrUDqy0anUZv | 2Re80B9wpELsZWHkmZnn3T,Wolfgang Amadeus Mozart | Golda Schultz | Kammerakademie Potsdam | Antonello Manacorda | Julie Roset | Amitai Pati | Ashley Dixon Santelli | Milan Siljanov | Samuel Dale Johnson,7Fihci5cxHW2Fsq1XeG23Q,"Mozart, You Drive Me Crazy!",2024-04-12,day,268880,268.88,,False,True,,,FR50X2302612,https://api.spotify.com/v1/tracks/3lLvfaaU1ARbxAB2qhtIym,https://open.spotify.com/track/3lLvfaaU1ARbxAB2qhtIym
2026-02-28T11:33:42Z,4ypudCmFDkvLrj5DY6VJzj,spotify:track:4ypudCmFDkvLrj5DY6VJzj,The Mission,1nIUhcKHnK6iyumRyoV68C,Ennio Morricone,2fOlcWrSR032MxwMCQe9LA,The Mission: Music From The Motion Picture,1986,year,169240,169.24,,False,True,,,GBAAA8600011,https://api.spotify.com/v1/tracks/4ypudCmFDkvLrj5DY6VJzj,https://open.spotify.com/track/4ypudCmFDkvLrj5DY6VJzj
2026-02-12T14:27:34Z,3U5JVgI2x4rDyHGObzJfNf,spotify:track:3U5JVgI2x4rDyHGObzJfNf,Unwritten,7o95ZoZt5ZYn31e9z1Hc0a,Natasha Bedingfield,3PEzTAuPW5IjLJ58FzwQeL,Unwritten,2004-08-30,day,259333,259.333,,False,True,,,GBARL0400707,https://api.spotify.com/v1/tracks/3U5JVgI2x4rDyHGObzJfNf,https://open.spotify.com/track/3U5JVgI2x4rDyHGObzJfNf
2026-02-06T19:58:54Z,0AQSMyOpBCHCAW0IdO3m01,spotify:track:0AQSMyOpBCHCAW0IdO3m01,River Flows in You,0fauHpmSHwodVYIjTqOGHz,Yiruma,1ftwxxaiW7JzyDzgukCTiW,Best Of,2012-05-11,day,218293,218.293,,False,True,,,KRA031103194,https://api.spotify.com/v1/tracks/0AQSMyOpBCHCAW0IdO3m01,https://open.spotify.com/track/0AQSMyOpBCHCAW0IdO3m01
2026-02-05T16:38:48Z,254poIi2T5QaPnxgbDg3Qb,spotify:track:254poIi2T5QaPnxgbDg3Qb,Audio Calibration,3WhX44SKaLW1Fu9xZLnklr,Audio Test Pink Noise,6bre3FtVu1OaDrQs5EVqM2,For Calibration,2023-11-30,day,222168,222.168,,False,True,,,GX5MY2303488,https://api.spotify.com/v1/tracks/254poIi2T5QaPnxgbDg3Qb,https://open.spotify.com/track/254poIi2T5QaPnxgbDg3Qb
2026-01-28T15:29:55Z,4mPfHzRQ8R8N2QwuPdHlvf,spotify:track:4mPfHzRQ8R8N2QwuPdHlvf,The Deer Hunter - Cavatina,6l6NgkV6IWYKlRN7jHCQmt,Stanley Myers,5nSJtnINXkI3KCjnnGLLYs,The Deer Hunter and Other Themes,2001-07-10,day,213013,213.013,,False,True,,,US5940901433,https://api.spotify.com/v1/tracks/4mPfHzRQ8R8N2QwuPdHlvf,https://open.spotify.com/track/4mPfHzRQ8R8N2QwuPdHlvf
2026-01-28T15:22:27Z,4IUtEp3alstvClUa5UIhkE,spotify:track:4IUtEp3alstvClUa5UIhkE,Fawlty Towers,2v4LI3E9FWXQBAuDmbgPDs,The London Ensemble,3xPCfIcINiV90Lm0v9g2d4,100 Greatest TV Themes Vol. 2,2007-08-24,day,51346,51.346,,False,True,,,GBAJC0700098,https://api.spotify.com/v1/tracks/4IUtEp3alstvClUa5UIhkE,https://open.spotify.com/track/4IUtEp3alstvClUa5UIhkE
2026-01-28T15:20:57Z,4kjvZ1uizpvwjjJZIu2gnK,spotify:track:4kjvZ1uizpvwjjJZIu2gnK,Por Una Cabeza,05Q9xndTxhXhD5trpmTtfU,Carlos Gardel,1H7KN5JZrKH1wGsDt5DTwQ,Las Canciones de Carlos Gardel,2024-08-02,day,325653,325.653,,False,True,,,DEUE22314558,https://api.spotify.com/v1/tracks/4kjvZ1uizpvwjjJZIu2gnK,https://open.spotify.com/track/4kjvZ1uizpvwjjJZIu2gnK
2026-01-21T17:36:46Z,28fI85MOgzcIPWpS4NNMYP,spotify:track:28fI85MOgzcIPWpS4NNMYP,Marathon - Live In Birmingham England/1988,2Hkut4rAAyrQxRdof7FVJq,Rush,4eincR3Zin4t2s4Mu342Mt,A Show Of Hands,1989-01-10,day,399666,399.666,,False,True,,,USMR18930344,https://api.spotify.com/v1/tracks/28fI85MOgzcIPWpS4NNMYP,https://open.spotify.com/track/28fI85MOgzcIPWpS4NNMYP
2026-01-21T14:40:15Z,1V15l05snHYHYVxerjMFGo,spotify:track:1V15l05snHYHYVxerjMFGo,King Of Pain,5NGO30tJxFlKixkPSgXcFE,The Police,5W9OT0a5iZlBr83a9WMKFY,Synchronicity (Remastered 2003),1983-06-17,day,299040,299.04,,False,True,,,GBAAM0201111,https://api.spotify.com/v1/tracks/1V15l05snHYHYVxerjMFGo,https://open.spotify.com/track/1V15l05snHYHYVxerjMFGo
2026-01-21T09:25:02Z,0XHGKdViVybbZKqEZ2tXqV,spotify:track:0XHGKdViVybbZKqEZ2tXqV,Beds Are Burning,72KyoXzp0NOQij6OcmZUxk,Midnight Oil,50uAGUoLjDf15dcmP8xsqK,Diesel And Dust,1986,year,254626,254.626,,False,True,,,AUSM09800190,https://api.spotify.com/v1/tracks/0XHGKdViVybbZKqEZ2tXqV,https://open.spotify.com/track/0XHGKdViVybbZKqEZ2tXqV
2026-01-19T14:17:06Z,0hOTaB243O0209f6TxVu3s,spotify:track:0hOTaB243O0209f6TxVu3s,Passacaglia,16yfDDyqcKrVaPo6B3voIl | 1SxuCNdY7ORzXwgyZFXpaF,Handel/Halvorsen | Pianist Daisy,1S4YmnR25Wm3Al3YsflKXh,Passacaglia,2022-04-30,day,194000,194.0,,False,True,,,QZHN82237720,https://api.spotify.com/v1/tracks/0hOTaB243O0209f6TxVu3s,https://open.spotify.com/track/0hOTaB243O0209f6TxVu3s
2026-01-19T14:16:15Z,2o5SPSGOtBr0XMx2V8cgGO,spotify:track:2o5SPSGOtBr0XMx2V8cgGO,Toccata in A Major,6OHWRhTGGZfY8Q2BNLfjgE | 6WCMZPvyaZ9FY5R6M2ol5X | 0PhAoxJ5J8PZFVkMrfnDUt,Paradisi | Pietro Paradisi | Boris Apostolov,1ZI5BqczC02NXmursgrkl8,Baroque Piano for Children Volume1,2022-03-18,day,84630,84.63,,False,True,,,QZDA82225324,https://api.spotify.com/v1/tracks/2o5SPSGOtBr0XMx2V8cgGO,https://open.spotify.com/track/2o5SPSGOtBr0XMx2V8cgGO
2026-01-19T13:23:31Z,7IVkyo8IVhPsRuZwdfpoLo,spotify:track:7IVkyo8IVhPsRuZwdfpoLo,"Violin Partita No. 2 in D Minor, BWV 1004: V. Ciaccona",5aIqB5nVVvmFsvSdExz408 | 5JdT0LYJdlPbTC58p60WTX,Johann Sebastian Bach | Hilary Hahn,2GLJLkriVbdfDi5W5e3LJM,Hilary Hahn Plays Bach,1997,year,1067026,1067.026,,False,True,,,USSM10502921,https://api.spotify.com/v1/tracks/7IVkyo8IVhPsRuZwdfpoLo,https://open.spotify.com/track/7IVkyo8IVhPsRuZwdfpoLo
2026-01-13T11:48:41Z,1gjz3IiVj73kiJnuqUwXxt,spotify:track:1gjz3IiVj73kiJnuqUwXxt,"Mass In B Minor, BWV 232 / Credo: Crucifixus",5aIqB5nVVvmFsvSdExz408 | 38hliKqnaGCbRmZcLNoDvX | 3iamDPaou6RYgX0C43Qm6j | 6Pyf6PjVrPkzOkXJDgvX6x,Johann Sebastian Bach | Münchener Bach-Orchester | Karl Richter | Münchener Bach-Chor,4CkuyiKkaOYFqKyPEGxXnU,Bach: Mass in B minor,1962-01-01,day,183666,183.666,,False,True,,,DEF056130205,https://api.spotify.com/v1/tracks/1gjz3IiVj73kiJnuqUwXxt,https://open.spotify.com/track/1gjz3IiVj73kiJnuqUwXxt
2026-01-12T15:12:31Z,7Btod71e87vQVXjGi6yUbU,spotify:track:7Btod71e87vQVXjGi6yUbU,"The Nutcracker, Op. 71, Act II: No. 12, Divertissement: e. Dance of the Reed-Pipes",3MKCzCnpzw3TjUYs2v7vDA | 2rRUfv2w535SEUV1YO5SP6 | 2LxnoYPOe0FCLC82R3xgO2,Pyotr Ilyich Tchaikovsky | Mariinsky Orchestra | Valery Gergiev,67F6hVa1GWOqQrLCE5sFWR,Tchaikovsky: The Nutcracker,1998-10-05,day,133800,133.8,,False,True,,,NLA509802817,https://api.spotify.com/v1/tracks/7Btod71e87vQVXjGi6yUbU,https://open.spotify.com/track/7Btod71e87vQVXjGi6yUbU
2026-01-12T14:46:47Z,2UQaaIJqGD3k2FYV4mjt9Z,spotify:track:2UQaaIJqGD3k2FYV4mjt9Z,Chaconne,5aIqB5nVVvmFsvSdExz408 | 5X8DsciT6TRp5IlcdG5eT2,Johann Sebastian Bach | Nathan Milstein,2FFw30wSfovVFWrhvqtvUB,Bach: Sonatas & Partitas,1993-01-01,day,829053,829.053,,False,True,,,USAR29301259,https://api.spotify.com/v1/tracks/2UQaaIJqGD3k2FYV4mjt9Z,https://open.spotify.com/track/2UQaaIJqGD3k2FYV4mjt9Z
2026-01-12T09:56:50Z,4BixGe6AcqJU2etTzeh2cN,spotify:track:4BixGe6AcqJU2etTzeh2cN,Such a Shame,7Fo8TAyGJr4VmhE68QamMf,Talk Talk,1yOxV9lKsPgj1QvDsc46rQ,Natural History - The Very Best of Talk Talk,1990-05-21,day,257626,257.626,,False,True,,,GBAYE8400233,https://api.spotify.com/v1/tracks/4BixGe6AcqJU2etTzeh2cN,https://open.spotify.com/track/4BixGe6AcqJU2etTzeh2cN
2026-01-11T09:32:31Z,4eyl6CaFdDW0jWAQiYyP6E,spotify:track:4eyl6CaFdDW0jWAQiYyP6E,Familiarity,4gFssfOmWNY3LfIZ3zyoy4,Punch Brothers,3cdqpjwuTvDeLe3RYIGb0j,The Phosphorescent Blues,2015-01-23,day,622973,622.973,,False,True,,,USNO11401244,https://api.spotify.com/v1/tracks/4eyl6CaFdDW0jWAQiYyP6E,https://open.spotify.com/track/4eyl6CaFdDW0jWAQiYyP6E
2026-01-11T08:54:14Z,4cRmzbAXOuvE2GxOUaQ24C,spotify:track:4cRmzbAXOuvE2GxOUaQ24C,"Requiem, K. 626: Sequentia: Dies irae",4NJhFmfw43RLBLjQvxDuRS | 0TrG2LSot4KhaXqdf5K2zE | 00RYuiBTDk8MuLKIsmUjIY | 3VqRvmqol6junQB7O4qROM | 3mkJJGg5f3wkaZ70zsyWdx | 40uS8bQwZnLykIvMOwifxj,Wolfgang Amadeus Mozart | Sir Colin Davis | Angela Maria Blasi | Marjana Lipovsek | Uwe Heilmann | Jan-Hendrik Rootering,32XpKHrx4T8wTfQs74mCi9,Mozart: Requiem / Choral Works,1991,year,104906,104.906,,False,True,,,USBC19100211,https://api.spotify.com/v1/tracks/4cRmzbAXOuvE2GxOUaQ24C,https://open.spotify.com/track/4cRmzbAXOuvE2GxOUaQ24C
2026-01-11T08:53:47Z,67kZlVD8tuQQ6Zx4erA9Jm,spotify:track:67kZlVD8tuQQ6Zx4erA9Jm,"Requiem, K. 626: IIIa. Dies irae",4NJhFmfw43RLBLjQvxDuRS | 35QSympF887CO8h5eZHme2 | 003f4bk13c6Q3gAUXv7dGJ | 5zCaQxjl110XTrm4LQ1CxY,Wolfgang Amadeus Mozart | Wiener Singverein | Wiener Philharmoniker | Herbert von Karajan,7zUp1kFOMEMiRFoFKcJhZB,Mozart: Requiem,1987-01-01,day,113000,113.0,,False,True,,,DEF058630101,https://api.spotify.com/v1/tracks/67kZlVD8tuQQ6Zx4erA9Jm,https://open.spotify.com/track/67kZlVD8tuQQ6Zx4erA9Jm
