score_rank,track_id,lead_genre,final_score,decision,playlist_position,exclusion_reason
1,8WnHV12FDAeaQwkd,classic rock,0.817654,included,1,
2,9B6dNFjeE90pp4x6,classic rock,0.78014,included,2,
3,C0mhpBhouqyLmYSK,pop,0.774292,included,3,
4,m17iB8yxNZn3tqdE,classic rock,0.771257,included,4,
5,df0JOlTEeZCAVz1W,pop,0.755859,included,5,
6,9qCc2lNrSBbmtjCj,classic rock,0.737008,included,6,
7,CaR8UnowNJUR5Dib,pop,0.730006,included,7,
8,YfV01HfNXWAFfgtm,rock,0.725523,included,8,
9,A8Q9gX4RokaFDMOP,classic rock,0.723613,excluded,,genre_cap_exceeded
10,N1yOEQ8Rf8ljdHmf,pop,0.720878,included,9,
11,0p2OMNas5oXDNC6b,pop,0.718887,excluded,,genre_cap_exceeded
12,99hTU3f4heHEcEuG,classic rock,0.715528,excluded,,genre_cap_exceeded
13,PbeJpzOytm2qNbDd,rock,0.71218,included,10,
14,c62ACsvNzKEQQXfy,classic rock,0.707257,excluded,,length_cap_reached
15,gc9LBQeOy3F51gk4,pop,0.706807,excluded,,length_cap_reached
16,rZL9jXtTHHqJ49D7,rock,0.703525,excluded,,length_cap_reached
17,YP2V8yQHXIz9TxZn,classic rock,0.700775,excluded,,length_cap_reached
18,8wFjbX1Vy6qy7x20,pop,0.69942,excluded,,length_cap_reached
19,BJhnQVy4CRzfHBed,classic rock,0.698152,excluded,,length_cap_reached
20,J7GCAMRMaRZZsveJ,rock,0.69742,excluded,,length_cap_reached
21,zq3uSJcXX8epamIk,rock,0.69742,excluded,,length_cap_reached
22,pkOCpx5g6SNMa9z5,rock,0.696682,excluded,,length_cap_reached
23,DmoNempu05Jn2zy0,pop,0.696658,excluded,,length_cap_reached
24,XTKjxdE7YnSTKOuN,classic rock,0.696604,excluded,,length_cap_reached
25,bffZiz8TR0MiQOD3,rock,0.695608,excluded,,length_cap_reached
26,Iu1nEgLVY3DLIVef,rock,0.693118,excluded,,length_cap_reached
27,dY2AJiQss0ux9PUm,pop,0.692233,excluded,,length_cap_reached
28,b3kq353wNaJyOBli,rock,0.692056,excluded,,length_cap_reached
29,pnRwovyqg9Gkzrzr,classic rock,0.691133,excluded,,length_cap_reached
30,3w0KNRj07Ncclzq7,pop,0.690187,excluded,,length_cap_reached
31,qqL6FZK6eKuypAXo,pop,0.690078,excluded,,length_cap_reached
32,wnJOcV4h9R4zpMkP,pop,0.689575,excluded,,length_cap_reached
33,R5QTSwYR0IDQ6w6c,classic rock,0.689261,excluded,,length_cap_reached
34,pJPxZH6dbYwiBE21,classic rock,0.688571,excluded,,length_cap_reached
35,aRYwPcx71m3D1LAx,pop,0.687858,excluded,,length_cap_reached
36,1OM5El3UXnKVVTtN,pop,0.687292,excluded,,length_cap_reached
37,AUqyqV0WiHC7JB0Z,rock,0.686229,excluded,,length_cap_reached
38,rHbIqvGfTL1vtZTa,pop,0.685695,excluded,,length_cap_reached
39,rgsB9R6H66hgZsog,pop,0.685695,excluded,,length_cap_reached
