rank,track_id,lead_genre,matched_genres,matched_tags,final_score,tempo_similarity,tempo_contribution,loudness_similarity,loudness_contribution,key_similarity,key_contribution,mode_similarity,mode_contribution,lead_genre_similarity,lead_genre_contribution,genre_overlap_similarity,genre_overlap_contribution,tag_overlap_similarity,tag_overlap_contribution
1,TRBFMTO128F9322AE7,classic rock,classic rock|rock|80s|hard rock|pop|progressive rock,classic rock|rock|80s|hard rock|pop|progressive rock,0.770977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.764323,0.277936,0.806114,0.249163,0.745183,0.243878
2,TRAOPRI12903C9FC25,classic rock,classic rock|rock|pop|80s|progressive rock,classic rock|rock|singer-songwriter|pop|80s|progressive rock,0.752611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.764323,0.277936,0.755522,0.233525,0.736847,0.24115
3,TRARYCL128F1456224,classic rock,classic rock|progressive rock|rock|pop|80s,classic rock|progressive rock|rock|pop|80s,0.740033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.764323,0.277936,0.755522,0.233525,0.698415,0.228572
4,TRBGRIP128F147FCA6,pop,pop|80s|rock|classic rock|hard rock|new wave|progressive rock,pop|80s|rock|singer-songwriter|classic rock|hard rock|new wave|progressive rock,0.722814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.512987,0.186541,0.856233,0.264654,0.829946,0.271619
5,TRACNAS128F14567C6,classic rock,classic rock|rock|80s|hard rock|pop,classic rock|rock|80s|singer-songwriter|hard rock|pop,0.718082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.764323,0.277936,0.699067,0.216075,0.68466,0.224071
6,TRAADLN128F14832E9,classic rock,classic rock|rock|hard rock|pop|80s,classic rock|rock|hard rock|pop|80s,0.705504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.764323,0.277936,0.699067,0.216075,0.646228,0.211493
7,TRAZISI128E078EE2F,classic rock,classic rock|hard rock|rock|80s|pop,classic rock|hard rock|rock|80s|pop,0.705504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.764323,0.277936,0.699067,0.216075,0.646228,0.211493
8,TRACTUH128F92C93A3,classic rock,classic rock|80s|rock|pop,classic rock|80s|rock|pop,0.674561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.764323,0.277936,0.648475,0.200438,0.599459,0.196187
9,TRAHDJL128F9305B80,classic rock,classic rock|rock|hard rock|pop,classic rock|rock|singer-songwriter|hard rock|pop,0.658452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.764323,0.277936,0.601574,0.185941,0.594536,0.194575
10,TRAPNDJ128F427AB8A,classic rock,classic rock|rock|hard rock|pop,classic rock|rock|singer-songwriter|hard rock|pop,0.658452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.764323,0.277936,0.601574,0.185941,0.594536,0.194575
11,TRAERPT128F931103E,classic rock,classic rock|rock|pop|hard rock,classic rock|rock|pop|hard rock,0.645874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.764323,0.277936,0.601574,0.185941,0.556103,0.181997
12,TRASCWR12903CCC575,classic rock,classic rock|rock|hard rock|pop,classic rock|rock|hard rock|pop,0.645874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.764323,0.277936,0.601574,0.185941,0.556103,0.181997
13,TRASOUI128E078F152,classic rock,classic rock|rock|hard rock|pop,classic rock|rock|hard rock|pop,0.645874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.764323,0.277936,0.601574,0.185941,0.556103,0.181997
14,TRAWWQM128F148C796,classic rock,classic rock|hard rock|rock|pop,classic rock|hard rock|rock|pop,0.645874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.764323,0.277936,0.601574,0.185941,0.556103,0.181997
15,TRAJDHN128F92C2EEF,pop,pop|80s|rock|hard rock|classic rock,pop|80s|rock|hard rock|singer-songwriter|classic rock,0.626687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.512987,0.186541,0.699067,0.216075,0.68466,0.224071
16,TRALIHL128E0791C9A,classic rock,classic rock|hard rock|rock|progressive rock,classic rock|hard rock|rock|progressive rock,0.617938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.764323,0.277936,0.555897,0.171823,0.513879,0.168179
17,TRAMHJH128E0793259,classic rock,classic rock|rock|progressive rock|hard rock,classic rock|rock|progressive rock|hard rock,0.617938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.764323,0.277936,0.555897,0.171823,0.513879,0.168179
