playlist_id,playlist_name,owner_id,collaborative,public,tracks_total,snapshot_id,uri
3GmuvhTvSNQSnY2CTPNRNd,Gladiator,214f23jw73wgv4vdpcjabds2a,False,False,,AAAABBYEJ3xBBOuO4vwuQY1DV3cwsuWz,spotify:playlist:3GmuvhTvSNQSnY2CTPNRNd
7qfJGoY6KEUiZEerJ7V0oL,Goodbye Stranger,kirarunkle,False,True,,AAAAWjL9Wpr8XCF0CVxHPezkina1VQoD,spotify:playlist:7qfJGoY6KEUiZEerJ7V0oL
2aSj2VEcz8EXnxm8BpnTJe,Don't Speak Playlist,klaredesteenlimyapty,False,True,,AAAAJyxNMssv1L/6ROtDbd8wQcxEPT62,spotify:playlist:2aSj2VEcz8EXnxm8BpnTJe
5oGbdReSVWXnzMcr5DeeJ1,Overstimulated,214f23jw73wgv4vdpcjabds2a,False,True,,AAAACbVyMboD8RnWFNHAIi7LtnyLAVNX,spotify:playlist:5oGbdReSVWXnzMcr5DeeJ1
1KGaBzVFzJysJkJ4fzvbWQ,Nic,214f23jw73wgv4vdpcjabds2a,False,True,,AAAABFc5NNHJ4Wnl5XQJQskFYAavuvmy,spotify:playlist:1KGaBzVFzJysJkJ4fzvbWQ
7l07TzcSZcqEEBMKG08JcF,ooooh it's hard to see you but I wish you were right heree ooooh it's hard to leave you,f4o5y1u3buavow97cunq4rgyo,False,True,,AAAAfy4ngyZ41sRrZ4rkWjA1kBXzP3IE,spotify:playlist:7l07TzcSZcqEEBMKG08JcF
4EHk6Don83UsPaUZBuke4s,Hard Techno Hits - TOP 100 🔥 Nico Moreno | Alignment | Holy Priest | ⛓️,wisebandmusic,False,True,,AAAFCB53l3/xjlQP4xdStLqv8A3gLoLp,spotify:playlist:4EHk6Don83UsPaUZBuke4s
2cZCEHK7iWNoMCSx1OcmrX,Hard Techno Release Radar,yhrq0f0axkf1j66a60c3djshu,False,True,,AAAI5iJ3Am+Nm3JQYzkS1kThpv7tjwo9,spotify:playlist:2cZCEHK7iWNoMCSx1OcmrX
0phNRuofdBmYCZUR4E46QI,Vol2,214f23jw73wgv4vdpcjabds2a,False,True,,AAAACvDN5hZpc0rvfdlZHPWKXcXG8EHu,spotify:playlist:0phNRuofdBmYCZUR4E46QI
4mdEQdTdcd4NVSgY85AWnK,Looksmaxing playlist ,hfqja7662avvbbbv3vcuvqmg6,False,True,,AAAGT+yEUZbOP9/P4AtTCpV6pVwDJ0Rw,spotify:playlist:4mdEQdTdcd4NVSgY85AWnK
34z2LhbkzVZ59EsvDWqq40,Indie,214f23jw73wgv4vdpcjabds2a,False,False,,AAAAAg64PPk7qVtU5Nwq8RofHPow0r8z,spotify:playlist:34z2LhbkzVZ59EsvDWqq40
5F37qnyuLrUebASpqWD12d,Jumpstyle,214f23jw73wgv4vdpcjabds2a,False,False,,AAAAAlf9P0DmDJTnK4Oe/m68GkVatztM,spotify:playlist:5F37qnyuLrUebASpqWD12d
