event_id,track_id,spotify_track_id,spotify_artist,spotify_title,interaction_type,signal_source,seed_rank,interaction_count,preference_weight,effective_weight,lead_genre,top_tag,numeric_feature_coverage,lastfm_status
ds001_seed_000001,0SZzDlqkVto82lT8,3DK6m7It6Pw857FcQftMds,Kanye West,Runaway,history,ds001_seed_table,1,35,3.5,3.5,hip hop,hip-hop,1,not_applicable_ds001
ds001_seed_000002,0cQdObcXUyY1tLkj,2EQWbkcNoKPOXQtJM7nqRV,Labi Siffre,My Song,history,ds001_seed_table,2,10,1.0,1.0,soul,piano,1,not_applicable_ds001
ds001_seed_000003,0f5VsyaVnlGiaFKU,3YKptz29AsOlm7WAVnztBh,Seal,Kiss from a Rose,history,ds001_seed_table,3,10,1.0,1.0,pop,pop,1,not_applicable_ds001
ds001_seed_000004,0h1DZxZGq5dT1g0I,62KZRwymXq9Rgm8Cm5UCfx,Frank Sinatra,The World We Knew (Over And Over),history,ds001_seed_table,4,31,3.1,3.1,swing,swing,1,not_applicable_ds001
ds001_seed_000005,0h8G1bhVFVP6G9Km,12oxsGACfwMozi4nK9noGQ,Crystal Castles,Suffocation,history,ds001_seed_table,5,25,2.5,2.5,electronic,poptron,1,not_applicable_ds001
ds001_seed_000006,0h9H6j3eKLXdIy9B,52DKGPMQ21DauCR19pQ0BK,Lynyrd Skynyrd,That Smell,history,ds001_seed_table,6,10,1.0,1.0,classic rock,classic rock,1,not_applicable_ds001
ds001_seed_000007,0kLmYF9ryiLpl4Ik,5Gy6XmBcmCZ6xQ4p729ldE,Crystal Castles,Violent Youth,history,ds001_seed_table,7,31,3.1,3.1,electronic,electronic,1,not_applicable_ds001
ds001_seed_000008,0nWfiiw6TgdCNuYe,0GjEhVFGZW8afUYGChu3Rr,ABBA,Dancing Queen,history,ds001_seed_table,8,60,6.0,6.0,disco,disco,1,not_applicable_ds001
ds001_seed_000009,109IXnS5xSfF7I3I,19Shlms2uTnOjIUg50TXzd,Fleetwood Mac,Never Going Back Again,history,ds001_seed_table,9,25,2.5,2.5,classic rock,classic rock,1,not_applicable_ds001
ds001_seed_000010,11J7t26d1VAPstc2,2ZRo7axmMPeSVUvDbGkJah,XXXTentacion,HOPE,history,ds001_seed_table,10,10,1.0,1.0,rap,hip-hop,1,not_applicable_ds001
ds001_seed_000011,12SaUULMCYJRudhD,7068X4wz4hhlhzj0cTlXU4,Mandy Moore,Cry,history,ds001_seed_table,11,25,2.5,2.5,pop,pop,1,not_applicable_ds001
ds001_seed_000012,12etOXoBRGtTNOHE,2fiMQ44VojtY1IODTpRlnh,The Isley Brothers,Summer Breeze,history,ds001_seed_table,12,10,1.0,1.0,soul,soul,1,not_applicable_ds001
ds001_seed_000013,140Y8sFnpDCyMd3d,77xZFu9TwwYnX7JNWfbavn,alt-J,Matilda,history,ds001_seed_table,13,10,1.0,1.0,indie rock,alternative,1,not_applicable_ds001
ds001_seed_000014,15CxeKsD9DvqCVhY,3KfbEIOC7YIv90FIfNSZpo,The Beatles,In My Life,history,ds001_seed_table,14,25,2.5,2.5,classic rock,classic rock,1,not_applicable_ds001
ds001_seed_000015,15FubSjThciWXy1G,31JwK4iHCf75rnQWoMPU5t,Jason Derulo,Talk Dirty (feat. 2 Chainz),history,ds001_seed_table,15,10,1.0,1.0,pop,rnb,1,not_applicable_ds001
ds001_seed_000016,15ukFL1GV2TKixoZ,4jDmJ51x1o9NZB5Nxxc7gY,George Michael,Careless Whisper,history,ds001_seed_table,16,6,0.6,0.6,pop,80s,1,not_applicable_ds001
ds001_seed_000017,1AJJKAWvMLhJbr4V,4mzI0FX6EsfATmFNoKXkpR,Giuseppe Verdi,Dies irae,history,ds001_seed_table,17,10,1.0,1.0,classical,classical,1,not_applicable_ds001
ds001_seed_000018,1LVCIU4fWhE8ms3W,63Pi2NAx5yCgeLhCTOrEou,Imogen Heap,Headlock,history,ds001_seed_table,18,25,2.5,2.5,electronic,lush,1,not_applicable_ds001
ds001_seed_000019,1LXzq4JEYjTGVAu3,1iWgFnhR0oW5Mup8yXDAPW,Otherwise,Soldiers,history,ds001_seed_table,19,50,5.0,5.0,rock,rock,1,not_applicable_ds001
