rank,track_id,lead_genre,matched_genres,matched_tags,final_score,tempo_similarity,tempo_contribution,key_similarity,key_contribution,mode_similarity,mode_contribution,duration_ms_similarity,duration_ms_contribution,lead_genre_similarity,lead_genre_contribution,genre_overlap_similarity,genre_overlap_contribution,tag_overlap_similarity,tag_overlap_contribution
1,CaR8UnowNJUR5Dib,pop,pop|rock|classic rock,pop|80s|rock|classic rock,0.730538,0.992643,0.119117,0.769917,0.061593,0.271408,0.018999,0.221885,0.017751,1.0,0.23,0.724211,0.1376,0.632513,0.145478
2,yEz9rqTTulkiDDm7,classic rock,classic rock|rock|pop,classic rock|80s|rock|pop,0.721925,0.85291,0.102349,0.769917,0.061593,0.271408,0.018999,0.667685,0.053415,0.880395,0.202491,0.724211,0.1376,0.632513,0.145478
3,hU7yckCKoiTkHjwi,pop,pop|rock,pop|rock|female vocalists,0.707407,0.93651,0.112381,0.769917,0.061593,0.271408,0.018999,0.961019,0.076882,1.0,0.23,0.532203,0.101119,0.462754,0.106433
4,C9oA7Glm1TItxpQA,pop,pop|rock|classic rock,pop|rock|classic rock,0.702624,0.901576,0.108189,0.0,0.0,0.271408,0.018999,0.992119,0.07937,1.0,0.23,0.724211,0.1376,0.558548,0.128466
5,M3ApGs7RGZwXHqs4,pop,pop|rock,pop|80s|rock|female vocalists,0.693926,0.921224,0.110547,0.769917,0.061593,0.271408,0.018999,0.602785,0.048223,1.0,0.23,0.532203,0.101119,0.536719,0.123445
6,lGnkOkQSUQO175Qg,pop,pop|rock|singer-songwriter,pop|indie|rock|alternative,0.687222,0.81011,0.097213,0.563416,0.045073,0.271408,0.018999,0.757648,0.060612,1.0,0.23,0.596704,0.113374,0.53022,0.121951
7,rqeIltq5ixzHA5EG,pop,pop|rock,pop|80s|rock,0.684934,0.905624,0.108675,0.769917,0.061593,0.271408,0.018999,0.664119,0.05313,1.0,0.23,0.532203,0.101119,0.484427,0.111418
8,kJa0UEVtgRvCJiXS,pop,pop|rock,pop|alternative|female vocalists|rock,0.675549,0.76689,0.092027,0.563416,0.045073,0.271408,0.018999,0.823152,0.065852,1.0,0.23,0.532203,0.101119,0.532518,0.122479
9,CZOYJJKuyuUosACw,classic rock,classic rock|rock|pop,classic rock|80s|rock|pop,0.67218,0.88349,0.106019,0.769917,0.061593,0.271408,0.018999,0.0,0.0,0.880395,0.202491,0.724211,0.1376,0.632513,0.145478
10,o27WwIo8F6fMirMs,classic rock,classic rock|rock,classic rock|rock|80s,0.669722,0.929157,0.111499,0.769917,0.061593,0.271408,0.018999,0.956119,0.07649,0.880395,0.202491,0.494403,0.093937,0.455274,0.104713
11,phL12CBijBqwQ9qB,pop,pop|classic rock|rock,pop|classic rock|rock,0.666952,0.77091,0.092509,0.103251,0.00826,0.271408,0.018999,0.638981,0.051118,1.0,0.23,0.724211,0.1376,0.558548,0.128466
12,c5qNyFeeXepXU6Mx,pop,pop|rock,pop|rock|dance|female vocalists,0.664563,0.48809,0.058571,0.769917,0.061593,0.271408,0.018999,0.946548,0.075724,1.0,0.23,0.532203,0.101119,0.515466,0.118557
13,1X4o7EXEj1waNaWF,pop,pop|rock,pop|rock|female vocalists,0.658044,0.765643,0.091877,0.563416,0.045073,0.271408,0.018999,0.806785,0.064543,1.0,0.23,0.532203,0.101119,0.462754,0.106433
14,I2K0KDtgE2eZhPRw,pop,pop|rock,pop|rock|70s|80s|female vocalists,0.655999,0.710357,0.085243,0.0,0.0,0.271408,0.018999,0.977648,0.078212,1.0,0.23,0.532203,0.101119,0.619243,0.142426
15,8WnHV12FDAeaQwkd,classic rock,classic rock|rock|pop,classic rock|70s|rock|pop,0.650675,0.93529,0.112235,0.0,0.0,0.271408,0.018999,0.398785,0.031903,0.880395,0.202491,0.724211,0.1376,0.641072,0.147447
16,zoLWuPgEIOCbNHt7,pop,pop|rock,pop|rock|dance|female vocalists,0.649439,0.77451,0.092941,0.769917,0.061593,0.271408,0.018999,0.327881,0.02623,1.0,0.23,0.532203,0.101119,0.515466,0.118557
17,c7CeSmnsVeJSYvN4,pop,pop|rock,pop|rock,0.648777,0.972176,0.116661,0.103251,0.00826,0.271408,0.018999,0.991652,0.079332,1.0,0.23,0.532203,0.101119,0.410462,0.094406
18,mt4lcmxfRqLxWF0U,pop,pop|rock,pop|rock|female vocalists|dance,0.647853,0.875843,0.105101,0.563416,0.045073,0.271408,0.018999,0.362548,0.029004,1.0,0.23,0.532203,0.101119,0.515466,0.118557
19,dv1r49qWV1haZtYv,classic rock,classic rock|rock,classic rock|rock|80s,0.647567,0.846757,0.101611,0.769917,0.061593,0.271408,0.018999,0.802785,0.064223,0.880395,0.202491,0.494403,0.093937,0.455274,0.104713
20,s0Qo4gihN9Rzx8we,classic rock,classic rock|rock,classic rock|rock|80s,0.647567,0.846757,0.101611,0.769917,0.061593,0.271408,0.018999,0.802785,0.064223,0.880395,0.202491,0.494403,0.093937,0.455274,0.104713
21,PZVW1IbNypbxdfwM,pop,pop|rock,pop|rock,0.647528,0.941176,0.112941,0.769917,0.061593,0.271408,0.018999,0.355881,0.02847,1.0,0.23,0.532203,0.101119,0.410462,0.094406
22,6JvsoRF2a3K3nK1t,pop,pop|folk|rock|singer-songwriter,pop|female vocalists|rock,0.64541,0.989357,0.118723,0.0,0.0,0.271408,0.018999,0.630981,0.050478,1.0,0.23,0.635667,0.120777,0.462754,0.106433
