score_rank,track_id,lead_genre,final_score,decision,playlist_position,exclusion_reason
1,CaR8UnowNJUR5Dib,pop,0.730538,included,1,
2,yEz9rqTTulkiDDm7,classic rock,0.721925,included,2,
3,hU7yckCKoiTkHjwi,pop,0.707407,included,3,
4,C9oA7Glm1TItxpQA,pop,0.702624,included,4,
5,M3ApGs7RGZwXHqs4,pop,0.693926,excluded,,consecutive_genre_run
6,lGnkOkQSUQO175Qg,pop,0.687222,excluded,,consecutive_genre_run
7,rqeIltq5ixzHA5EG,pop,0.684934,excluded,,consecutive_genre_run
8,kJa0UEVtgRvCJiXS,pop,0.675549,excluded,,consecutive_genre_run
9,CZOYJJKuyuUosACw,classic rock,0.67218,included,5,
10,o27WwIo8F6fMirMs,classic rock,0.669722,included,6,
11,phL12CBijBqwQ9qB,pop,0.666952,included,7,
12,c5qNyFeeXepXU6Mx,pop,0.664563,excluded,,genre_cap_exceeded
13,1X4o7EXEj1waNaWF,pop,0.658044,excluded,,genre_cap_exceeded
14,I2K0KDtgE2eZhPRw,pop,0.655999,excluded,,genre_cap_exceeded
15,8WnHV12FDAeaQwkd,classic rock,0.650675,included,8,
16,zoLWuPgEIOCbNHt7,pop,0.649439,excluded,,genre_cap_exceeded
17,c7CeSmnsVeJSYvN4,pop,0.648777,excluded,,genre_cap_exceeded
18,mt4lcmxfRqLxWF0U,pop,0.647853,excluded,,genre_cap_exceeded
19,dv1r49qWV1haZtYv,classic rock,0.647567,excluded,,genre_cap_exceeded
20,s0Qo4gihN9Rzx8we,classic rock,0.647567,excluded,,genre_cap_exceeded
21,PZVW1IbNypbxdfwM,pop,0.647528,excluded,,genre_cap_exceeded
22,6JvsoRF2a3K3nK1t,pop,0.64541,excluded,,genre_cap_exceeded
23,dQUNiihhNbCIbtOF,pop,0.644977,excluded,,genre_cap_exceeded
24,1uM2zNX1mQzPfdGC,pop,0.644358,excluded,,genre_cap_exceeded
25,3T4Lqe9Flc1bhF3O,pop,0.642956,excluded,,genre_cap_exceeded
26,EYfH7hlkwLa5ZYav,pop,0.641452,excluded,,genre_cap_exceeded
27,0p2OMNas5oXDNC6b,pop,0.640647,excluded,,genre_cap_exceeded
