event_id,track_id,spotify_track_id,spotify_artist,spotify_title,interaction_type,signal_source,seed_rank,interaction_count,preference_weight,effective_weight,lead_genre,top_tag,numeric_feature_coverage,lastfm_status
ds001_seed_000001,0247XD85scrr19o0,6jWx7mD5oblxybTaWpiPZN,Kate Bush,Hounds of Love,history,ds001_seed_table,1,25,2.5,2.5,pop,female vocalists,1,not_applicable_ds001
ds001_seed_000002,035ncL0cjsGJjdlA,3DyDoJibN4Cx2zvvtIVQqE,Supertramp,From Now On,history,ds001_seed_table,2,25,2.5,2.5,progressive rock,progressive rock,1,not_applicable_ds001
ds001_seed_000003,08dDspNuBDh8GOqV,0IYFL0GhTSOWPuOalV6SQA,Rush,Rivendell,history,ds001_seed_table,3,25,2.5,2.5,progressive rock,progressive rock,1,not_applicable_ds001
ds001_seed_000004,0B82E0puRgXxxPTn,2ZfALE4EncKJFqsEwDkrl9,Simply Red,The Right Thing,history,ds001_seed_table,4,25,2.5,2.5,pop,pop,1,not_applicable_ds001
ds001_seed_000005,0BNhHXgSf5vdt8Zz,3Mw3lZoplwJrVE5Qz7XRUx,Simple Minds,Waterfront,history,ds001_seed_table,5,10,1.0,1.0,new wave,new wave,1,not_applicable_ds001
ds001_seed_000006,0CMMiPxaZGFeoumH,1q8VMNy2RTTl7dZhVIU6hk,Rush,Here Again,history,ds001_seed_table,6,25,2.5,2.5,progressive rock,progressive rock,1,not_applicable_ds001
ds001_seed_000007,0DdUB31Xhf8a86aS,1EZypwk0xcj64ZLAglhLs2,Eros Ramazzotti,La cosa mas bella,history,ds001_seed_table,7,10,1.0,1.0,latin pop,italian,1,not_applicable_ds001
ds001_seed_000008,0F5ITSxH0rBegwve,4vmTtO8qFF9StEVeQ1KftR,Electric Light Orchestra,It's Over,history,ds001_seed_table,8,25,2.5,2.5,classic rock,classic rock,1,not_applicable_ds001
ds001_seed_000009,0JOPhC8RaJBnAFGw,0fsj3HxzBHev6EJ7OLFE3r,Foreigner,Double Vision,history,ds001_seed_table,9,10,1.0,1.0,classic rock,classic rock,1,not_applicable_ds001
ds001_seed_000010,0JxOPeLv6rBhDdLJ,2bN58GareTPp89qlI9j0rk,James Blake,Limit to Your Love,history,ds001_seed_table,10,31,3.1,3.1,electronic,electronic,1,not_applicable_ds001
ds001_seed_000011,0QWzfbnOiufNKHUw,6Fl9MoM9BDk6vwbHqBBZeK,Queen,Ay-Oh - Live Aid,history,ds001_seed_table,11,10,1.0,1.0,classic rock,classic rock,1,not_applicable_ds001
ds001_seed_000012,0SZzDlqkVto82lT8,3DK6m7It6Pw857FcQftMds,Kanye West,Runaway,history,ds001_seed_table,12,50,5.0,5.0,hip hop,hip-hop,1,not_applicable_ds001
ds001_seed_000013,0Sc2RuEeQcZWzKko,28IPtBns9UUum8tE8EJlO8,Dido,Hurricanes,history,ds001_seed_table,13,25,2.5,2.5,singer-songwriter,british,1,not_applicable_ds001
ds001_seed_000014,0Xi1IjpiylZGEimy,5fmvZgUFuUq1SnzT3S6y4o,ABBA,Ring Ring,history,ds001_seed_table,14,10,1.0,1.0,pop,pop,1,not_applicable_ds001
ds001_seed_000015,0Y5TcGlWJnW7IVdK,1ZPlNanZsJSPK5h9YZZFbZ,Madonna,Like a Virgin,history,ds001_seed_table,15,25,2.5,2.5,pop,pop,1,not_applicable_ds001
ds001_seed_000016,0ghonUYl8g4OVlME,4viUMIPk61pIvWUNDl0u4M,Aerosmith,Deuces Are Wild,history,ds001_seed_table,16,10,1.0,1.0,hard rock,hard rock,1,not_applicable_ds001
ds001_seed_000017,0hZUKcZi4MxFSXHf,7Bz8yww6UMbTgTVLG6zbI4,War,Low Rider,history,ds001_seed_table,17,10,1.0,1.0,funk,funk,1,not_applicable_ds001
ds001_seed_000018,0nWfiiw6TgdCNuYe,0GjEhVFGZW8afUYGChu3Rr,ABBA,Dancing Queen,history,ds001_seed_table,18,35,3.5,3.5,disco,disco,1,not_applicable_ds001
ds001_seed_000019,0qJc0Vu1FslJrjFF,4VRTc5oeHT6Wtz0WzdArGJ,Electric Light Orchestra,Midnight Blue,history,ds001_seed_table,19,25,2.5,2.5,classic rock,classic rock,1,not_applicable_ds001
ds001_seed_000020,0qV2T61m2AvCSw88,1sCvAtHSqv2He2x2JBekQN,James Morrison,Precious Love,history,ds001_seed_table,20,50,5.0,5.0,soul,soul,1,not_applicable_ds001
ds001_seed_000021,0uyVX6LPixsFh00P,5hrsqusQlSqlWpvtjJpxPq,Robert Plant,29 Palms,history,ds001_seed_table,21,10,1.0,1.0,rock,rock,1,not_applicable_ds001
ds001_seed_000022,0xR4sDExAevvbuC1,3nJSydoaBqypzBtRcPcEWX,Leonard Cohen,Suzanne,history,ds001_seed_table,22,31,3.1,3.1,folk,folk,1,not_applicable_ds001
ds001_seed_000023,0xv6IleAhVh1A3tR,4TYk0Izd7pQLdXDYxGNvyq,Zucchero,Donne,history,ds001_seed_table,23,35,3.5,3.5,soft rock,italo pop,1,not_applicable_ds001
ds001_seed_000024,109IXnS5xSfF7I3I,19Shlms2uTnOjIUg50TXzd,Fleetwood Mac,Never Going Back Again,history,ds001_seed_table,24,25,2.5,2.5,classic rock,classic rock,1,not_applicable_ds001
