score_rank,track_id,lead_genre,final_score,decision,playlist_position,exclusion_reason
1,C9oA7Glm1TItxpQA,pop,0.757612,included,1,
2,7dYk0TCGZqev3LJD,pop,0.729966,included,2,
3,I2K0KDtgE2eZhPRw,pop,0.710987,excluded,,consecutive_genre_run
4,36zZsq0r6BMf2VfX,pop,0.696441,excluded,,consecutive_genre_run
5,3ltMH5jik02hVLDF,classic rock,0.69514,included,3,
6,D8u1nCspnPIixiZa,classic rock,0.692542,included,4,
7,op7gT9GOpqOk7wc8,pop,0.687446,included,5,
8,8fDlJsjie4DoFMV0,pop,0.687296,included,6,
9,ZBzCrWWH35yTPv8P,pop,0.686533,excluded,,genre_cap_exceeded
10,Oa3WjjG6GreWw3Bf,pop,0.684299,excluded,,genre_cap_exceeded
11,xx7AjP300BpGG3CX,classic rock,0.682747,included,7,
12,5c9fu0pBIl9QUmed,pop,0.676011,excluded,,genre_cap_exceeded
13,1FEjhaXK2amCXXzT,pop,0.674287,excluded,,genre_cap_exceeded
14,STQQY9CB4ccv4qWQ,classic rock,0.672779,included,8,
15,pTle20sjv0uVIr2o,pop,0.671146,excluded,,genre_cap_exceeded
16,CaR8UnowNJUR5Dib,pop,0.668945,excluded,,genre_cap_exceeded
17,h2e5nNsGSAuOyTfw,pop,0.661299,excluded,,genre_cap_exceeded
18,yEz9rqTTulkiDDm7,classic rock,0.660332,excluded,,genre_cap_exceeded
19,8YGNYJvOQ0Li0Mdn,pop,0.659681,excluded,,genre_cap_exceeded
20,phL12CBijBqwQ9qB,pop,0.658692,excluded,,genre_cap_exceeded
21,8WnHV12FDAeaQwkd,classic rock,0.650675,excluded,,genre_cap_exceeded
22,dQUNiihhNbCIbtOF,pop,0.646631,excluded,,genre_cap_exceeded
23,hU7yckCKoiTkHjwi,pop,0.645814,excluded,,genre_cap_exceeded
24,6JvsoRF2a3K3nK1t,pop,0.64541,excluded,,genre_cap_exceeded
25,1uM2zNX1mQzPfdGC,pop,0.644358,excluded,,genre_cap_exceeded
26,2ulpfcMJfaKiFqZr,pop,0.643182,excluded,,genre_cap_exceeded
27,EYfH7hlkwLa5ZYav,pop,0.643106,excluded,,genre_cap_exceeded
28,HdUv68biqGdrv08d,classic rock,0.642954,excluded,,genre_cap_exceeded
29,lGnkOkQSUQO175Qg,pop,0.642149,excluded,,genre_cap_exceeded
30,0p2OMNas5oXDNC6b,pop,0.640647,excluded,,genre_cap_exceeded
31,c7CeSmnsVeJSYvN4,pop,0.640517,excluded,,genre_cap_exceeded
32,yE5furqfLpGTlvKj,pop,0.639772,excluded,,genre_cap_exceeded
33,0KBJrLAvOGjlI8lQ,pop,0.637148,excluded,,genre_cap_exceeded
34,aRYwPcx71m3D1LAx,pop,0.63681,excluded,,genre_cap_exceeded
35,4OE3kMJMLR4HXwA0,classic rock,0.635946,excluded,,genre_cap_exceeded
36,96eWc0WjYKXrCoEq,classic rock,0.635813,excluded,,genre_cap_exceeded
37,htmgabdgLy99IU32,classic rock,0.635288,excluded,,genre_cap_exceeded
