rank,track_id,lead_genre,matched_genres,matched_tags,final_score,tempo_similarity,tempo_contribution,key_similarity,key_contribution,mode_similarity,mode_contribution,duration_ms_similarity,duration_ms_contribution,lead_genre_similarity,lead_genre_contribution,genre_overlap_similarity,genre_overlap_contribution,tag_overlap_similarity,tag_overlap_contribution
1,CaR8UnowNJUR5Dib,pop,pop|rock|classic rock,pop|80s|rock|classic rock,0.749954,0.992643,0.183823,0.769917,0.057031,0.271408,0.017591,0.221885,0.016436,1.0,0.212963,0.724211,0.127408,0.632513,0.134702
2,yEz9rqTTulkiDDm7,classic rock,classic rock|rock|pop,classic rock|80s|rock|pop,0.731628,0.85291,0.157946,0.769917,0.057031,0.271408,0.017591,0.667685,0.049458,0.880395,0.187492,0.724211,0.127408,0.632513,0.134702
3,hU7yckCKoiTkHjwi,pop,pop|rock,pop|rock|female vocalists,0.724377,0.93651,0.173428,0.769917,0.057031,0.271408,0.017591,0.961019,0.071187,1.0,0.212963,0.532203,0.093628,0.462754,0.098549
4,C9oA7Glm1TItxpQA,pop,pop|rock|classic rock,pop|rock|classic rock,0.71736,0.901576,0.166958,0.0,0.0,0.271408,0.017591,0.992119,0.07349,1.0,0.212963,0.724211,0.127408,0.558548,0.11895
5,M3ApGs7RGZwXHqs4,pop,pop|rock,pop|80s|rock|female vocalists,0.710762,0.921224,0.170597,0.769917,0.057031,0.271408,0.017591,0.602785,0.044651,1.0,0.212963,0.532203,0.093628,0.536719,0.114301
6,rqeIltq5ixzHA5EG,pop,pop|rock,pop|80s|rock,0.70128,0.905624,0.167708,0.769917,0.057031,0.271408,0.017591,0.664119,0.049194,1.0,0.212963,0.532203,0.093628,0.484427,0.103165
7,lGnkOkQSUQO175Qg,pop,pop|rock|singer-songwriter,pop|indie|rock|alternative,0.696323,0.81011,0.15002,0.563416,0.041734,0.271408,0.017591,0.757648,0.056122,1.0,0.212963,0.596704,0.104976,0.53022,0.112917
8,o27WwIo8F6fMirMs,classic rock,classic rock|rock,classic rock|rock|80s,0.688939,0.929157,0.172066,0.769917,0.057031,0.271408,0.017591,0.956119,0.070824,0.880395,0.187492,0.494403,0.086978,0.455274,0.096957
9,CZOYJJKuyuUosACw,classic rock,classic rock|rock|pop,classic rock|80s|rock|pop,0.687833,0.88349,0.163609,0.769917,0.057031,0.271408,0.017591,0.0,0.0,0.880395,0.187492,0.724211,0.127408,0.632513,0.134702
10,kJa0UEVtgRvCJiXS,pop,pop|rock,pop|alternative|female vocalists|rock,0.682314,0.76689,0.142017,0.563416,0.041734,0.271408,0.017591,0.823152,0.060974,1.0,0.212963,0.532203,0.093628,0.532518,0.113407
11,phL12CBijBqwQ9qB,pop,pop|classic rock|rock,pop|classic rock|rock,0.674653,0.77091,0.142761,0.103251,0.007648,0.271408,0.017591,0.638981,0.047332,1.0,0.212963,0.724211,0.127408,0.558548,0.11895
12,c7CeSmnsVeJSYvN4,pop,pop|rock,pop|rock,0.672731,0.972176,0.180032,0.103251,0.007648,0.271408,0.017591,0.991652,0.073456,1.0,0.212963,0.532203,0.093628,0.410462,0.087413
13,8WnHV12FDAeaQwkd,classic rock,classic rock|rock|pop,classic rock|70s|rock|pop,0.671758,0.93529,0.173202,0.0,0.0,0.271408,0.017591,0.398785,0.02954,0.880395,0.187492,0.724211,0.127408,0.641072,0.136525
14,6JvsoRF2a3K3nK1t,pop,pop|folk|rock|singer-songwriter,pop|female vocalists|rock,0.670886,0.989357,0.183214,0.0,0.0,0.271408,0.017591,0.630981,0.046739,1.0,0.212963,0.635667,0.11183,0.462754,0.098549
15,PZVW1IbNypbxdfwM,pop,pop|rock,pop|rock,0.66928,0.941176,0.174292,0.769917,0.057031,0.271408,0.017591,0.355881,0.026362,1.0,0.212963,0.532203,0.093628,0.410462,0.087413
16,EYfH7hlkwLa5ZYav,pop,pop|singer-songwriter|rock,pop|female vocalists|rock|indie,0.66631,0.977043,0.180934,0.0,0.0,0.271408,0.017591,0.548781,0.04065,1.0,0.212963,0.596704,0.104976,0.512748,0.109196
17,3ltMH5jik02hVLDF,classic rock,classic rock|rock|pop,classic rock|rock|70s|pop,0.666119,0.99071,0.183465,0.0,0.0,0.271408,0.017591,0.184119,0.013638,0.880395,0.187492,0.724211,0.127408,0.641072,0.136525
18,1X4o7EXEj1waNaWF,pop,pop|rock,pop|rock|female vocalists,0.666013,0.765643,0.141786,0.563416,0.041734,0.271408,0.017591,0.806785,0.059762,1.0,0.212963,0.532203,0.093628,0.462754,0.098549
19,dQUNiihhNbCIbtOF,pop,pop|rock|folk,pop|rock|alternative,0.665666,0.92429,0.171165,0.0,0.0,0.271408,0.017591,0.826115,0.061194,1.0,0.212963,0.571166,0.100483,0.480226,0.10227
20,1uM2zNX1mQzPfdGC,pop,pop|folk|rock,pop|rock|female vocalists,0.665018,0.92329,0.170979,0.0,0.0,0.271408,0.017591,0.870115,0.064453,1.0,0.212963,0.571166,0.100483,0.462754,0.098549
21,mt4lcmxfRqLxWF0U,pop,pop|rock,pop|rock|female vocalists|dance,0.664739,0.875843,0.162193,0.563416,0.041734,0.271408,0.017591,0.362548,0.026855,1.0,0.212963,0.532203,0.093628,0.515466,0.109775
22,ry7KVHYQ10CXYDmE,classic rock,classic rock|rock|singer-songwriter,classic rock|70s|rock,0.663317,0.95071,0.176057,0.769917,0.057031,0.271408,0.017591,0.378548,0.028041,0.880395,0.187492,0.558904,0.098326,0.463832,0.098779
23,dv1r49qWV1haZtYv,classic rock,classic rock|rock,classic rock|rock|80s,0.662321,0.846757,0.156807,0.769917,0.057031,0.271408,0.017591,0.802785,0.059465,0.880395,0.187492,0.494403,0.086978,0.455274,0.096957
24,s0Qo4gihN9Rzx8we,classic rock,classic rock|rock,classic rock|rock|80s,0.662321,0.846757,0.156807,0.769917,0.057031,0.271408,0.017591,0.802785,0.059465,0.880395,0.187492,0.494403,0.086978,0.455274,0.096957
25,0p2OMNas5oXDNC6b,pop,pop|folk|rock,pop|female vocalists|rock,0.661804,0.92629,0.171535,0.0,0.0,0.271408,0.017591,0.819219,0.060683,1.0,0.212963,0.571166,0.100483,0.462754,0.098549
26,I2K0KDtgE2eZhPRw,pop,pop|rock,pop|rock|70s|80s|female vocalists,0.660023,0.710357,0.131547,0.0,0.0,0.271408,0.017591,0.977648,0.072418,1.0,0.212963,0.532203,0.093628,0.619243,0.131876
27,zoLWuPgEIOCbNHt7,pop,pop|rock,pop|rock|dance|female vocalists,0.658703,0.77451,0.143428,0.769917,0.057031,0.271408,0.017591,0.327881,0.024287,1.0,0.212963,0.532203,0.093628,0.515466,0.109775
28,aRYwPcx71m3D1LAx,pop,pop|rock,pop|rock|dance,0.658285,0.926757,0.171621,0.0,0.0,0.271408,0.017591,0.861885,0.063843,1.0,0.212963,0.532203,0.093628,0.463174,0.098639
29,yE5furqfLpGTlvKj,pop,pop|rock,pop|80s|rock|female vocalists,0.654689,0.841157,0.15577,0.0,0.0,0.271408,0.017591,0.815881,0.060436,1.0,0.212963,0.532203,0.093628,0.536719,0.114301
30,dPlgVQdg1QmUhgh2,pop,pop|rock,pop|rock,0.652187,0.94811,0.175576,0.0,0.0,0.271408,0.017591,0.877715,0.065016,1.0,0.212963,0.532203,0.093628,0.410462,0.087413
31,2PEzaCUrxiYw8GPM,pop,pop|rock,pop|female vocalists|rock,0.652034,0.948243,0.1756,0.103251,0.007648,0.0,0.0,0.859219,0.063646,1.0,0.212963,0.532203,0.093628,0.462754,0.098549
32,c5qNyFeeXepXU6Mx,pop,pop|rock,pop|rock|dance|female vocalists,0.65149,0.48809,0.090387,0.769917,0.057031,0.271408,0.017591,0.946548,0.070115,1.0,0.212963,0.532203,0.093628,0.515466,0.109775
33,LkZWwOEg3ZVpQSt9,pop,pop|rock,pop|female vocalists|rock,0.651408,0.92689,0.171646,0.769917,0.057031,0.271408,0.017591,0.0,0.0,1.0,0.212963,0.532203,0.093628,0.462754,0.098549
34,rV4epaQxXmuc92jD,pop,pop|rock,pop|rock,0.651382,0.909376,0.168403,0.0,0.0,0.271408,0.017591,0.963685,0.071384,1.0,0.212963,0.532203,0.093628,0.410462,0.087413
35,IQnPmWIoIdxVwe8m,pop,pop|rock,pop|80s|rock|female vocalists,0.650685,0.92771,0.171798,0.0,0.0,0.271408,0.017591,0.545452,0.040404,1.0,0.212963,0.532203,0.093628,0.536719,0.114301
36,JH56KcmZczKnwbGN,pop,pop|rock,pop|rock,0.646333,0.803776,0.148847,0.563416,0.041734,0.271408,0.017591,0.596119,0.044157,1.0,0.212963,0.532203,0.093628,0.410462,0.087413
37,65Mp5rxG0Bjd0Fpr,classic rock,classic rock|rock,classic rock|rock,0.646296,0.81391,0.150724,0.769917,0.057031,0.271408,0.017591,0.881215,0.065275,0.880395,0.187492,0.494403,0.086978,0.381309,0.081205
38,3T4Lqe9Flc1bhF3O,pop,pop|rock|alternative rock,pop|rock,0.64421,0.65989,0.122202,0.563416,0.041734,0.271408,0.017591,0.822981,0.060961,1.0,0.212963,0.576069,0.101346,0.410462,0.087413
39,iy3UkkYzq0FvShwB,pop,pop|rock,pop|rock,0.643979,0.92129,0.170609,0.563416,0.041734,0.271408,0.017591,0.270548,0.020041,1.0,0.212963,0.532203,0.093628,0.410462,0.087413
40,Xh9f0R2Q7wJMaxhy,classic rock,classic rock|rock,classic rock|70s|rock,0.643853,0.90649,0.167868,0.769917,0.057031,0.0,0.0,0.617019,0.045705,0.880395,0.187492,0.494403,0.086978,0.463832,0.098779
41,ODcj49nwgvXhA46v,pop,pop|alternative rock|electronic|rock,pop|electronic|alternative|rock,0.643011,0.74171,0.137354,0.563416,0.041734,0.271408,0.017591,0.043219,0.003201,1.0,0.212963,0.654124,0.115077,0.540426,0.115091
42,Kj5SnfDEQl2M7Xm9,classic rock,classic rock|rock|pop,classic rock|rock|pop,0.640813,0.98131,0.181724,0.103251,0.007648,0.271408,0.017591,0.0,0.0,0.880395,0.187492,0.724211,0.127408,0.558548,0.11895
43,7Pg5wxB8YYtxIiT7,pop,pop|rock,pop|female vocalists|80s|dance|rock,0.640684,0.74171,0.137354,0.0,0.0,0.271408,0.017591,0.723881,0.053621,1.0,0.212963,0.532203,0.093628,0.589431,0.125527
44,BQIgXeFtTz3kN67J,pop,pop|rock,pop|80s|rock,0.640118,0.92229,0.170794,0.103251,0.007648,0.271408,0.017591,0.463448,0.034329,1.0,0.212963,0.532203,0.093628,0.484427,0.103165
