score_rank,track_id,lead_genre,final_score,decision,playlist_position,exclusion_reason
1,CaR8UnowNJUR5Dib,pop,0.749954,included,1,
2,yEz9rqTTulkiDDm7,classic rock,0.731628,included,2,
3,hU7yckCKoiTkHjwi,pop,0.724377,included,3,
4,C9oA7Glm1TItxpQA,pop,0.71736,included,4,
5,M3ApGs7RGZwXHqs4,pop,0.710762,excluded,,consecutive_genre_run
6,rqeIltq5ixzHA5EG,pop,0.70128,excluded,,consecutive_genre_run
7,lGnkOkQSUQO175Qg,pop,0.696323,excluded,,consecutive_genre_run
8,o27WwIo8F6fMirMs,classic rock,0.688939,included,5,
9,CZOYJJKuyuUosACw,classic rock,0.687833,included,6,
10,kJa0UEVtgRvCJiXS,pop,0.682314,included,7,
11,phL12CBijBqwQ9qB,pop,0.674653,excluded,,genre_cap_exceeded
12,c7CeSmnsVeJSYvN4,pop,0.672731,excluded,,genre_cap_exceeded
13,8WnHV12FDAeaQwkd,classic rock,0.671758,included,8,
14,6JvsoRF2a3K3nK1t,pop,0.670886,excluded,,genre_cap_exceeded
15,PZVW1IbNypbxdfwM,pop,0.66928,excluded,,genre_cap_exceeded
16,EYfH7hlkwLa5ZYav,pop,0.66631,excluded,,genre_cap_exceeded
17,3ltMH5jik02hVLDF,classic rock,0.666119,excluded,,genre_cap_exceeded
18,1X4o7EXEj1waNaWF,pop,0.666013,excluded,,genre_cap_exceeded
19,dQUNiihhNbCIbtOF,pop,0.665666,excluded,,genre_cap_exceeded
20,1uM2zNX1mQzPfdGC,pop,0.665018,excluded,,genre_cap_exceeded
21,mt4lcmxfRqLxWF0U,pop,0.664739,excluded,,genre_cap_exceeded
22,ry7KVHYQ10CXYDmE,classic rock,0.663317,excluded,,genre_cap_exceeded
23,dv1r49qWV1haZtYv,classic rock,0.662321,excluded,,genre_cap_exceeded
24,s0Qo4gihN9Rzx8we,classic rock,0.662321,excluded,,genre_cap_exceeded
25,0p2OMNas5oXDNC6b,pop,0.661804,excluded,,genre_cap_exceeded
26,I2K0KDtgE2eZhPRw,pop,0.660023,excluded,,genre_cap_exceeded
27,zoLWuPgEIOCbNHt7,pop,0.658703,excluded,,genre_cap_exceeded
28,aRYwPcx71m3D1LAx,pop,0.658285,excluded,,genre_cap_exceeded
29,yE5furqfLpGTlvKj,pop,0.654689,excluded,,genre_cap_exceeded
30,dPlgVQdg1QmUhgh2,pop,0.652187,excluded,,genre_cap_exceeded
31,2PEzaCUrxiYw8GPM,pop,0.652034,excluded,,genre_cap_exceeded
32,c5qNyFeeXepXU6Mx,pop,0.65149,excluded,,genre_cap_exceeded
33,LkZWwOEg3ZVpQSt9,pop,0.651408,excluded,,genre_cap_exceeded
34,rV4epaQxXmuc92jD,pop,0.651382,excluded,,genre_cap_exceeded
35,IQnPmWIoIdxVwe8m,pop,0.650685,excluded,,genre_cap_exceeded
36,JH56KcmZczKnwbGN,pop,0.646333,excluded,,genre_cap_exceeded
37,65Mp5rxG0Bjd0Fpr,classic rock,0.646296,excluded,,genre_cap_exceeded
38,3T4Lqe9Flc1bhF3O,pop,0.64421,excluded,,genre_cap_exceeded
39,iy3UkkYzq0FvShwB,pop,0.643979,excluded,,genre_cap_exceeded
40,Xh9f0R2Q7wJMaxhy,classic rock,0.643853,excluded,,genre_cap_exceeded
41,ODcj49nwgvXhA46v,pop,0.643011,excluded,,genre_cap_exceeded
42,Kj5SnfDEQl2M7Xm9,classic rock,0.640813,excluded,,genre_cap_exceeded
43,7Pg5wxB8YYtxIiT7,pop,0.640684,excluded,,genre_cap_exceeded
44,BQIgXeFtTz3kN67J,pop,0.640118,excluded,,genre_cap_exceeded
45,OHL9g8xBuemsbv8L,classic rock,0.640074,excluded,,genre_cap_exceeded
46,5c9fu0pBIl9QUmed,pop,0.639561,excluded,,genre_cap_exceeded
47,alKUXvCYBFzkFXxV,pop,0.637262,excluded,,genre_cap_exceeded
48,yHKZF6ws51jUmLx8,pop,0.635809,excluded,,genre_cap_exceeded
49,Rrp5adH73yAEDPDC,pop,0.634372,excluded,,genre_cap_exceeded
50,acT44xBq4DRNCT8G,pop,0.633901,excluded,,genre_cap_exceeded
51,htmgabdgLy99IU32,classic rock,0.633506,excluded,,genre_cap_exceeded
52,HKwYqyhRjakBhbwb,pop,0.633429,excluded,,genre_cap_exceeded
53,h2e5nNsGSAuOyTfw,pop,0.633298,excluded,,genre_cap_exceeded
54,uiKPMS3jXFnOpKZd,pop,0.632635,excluded,,genre_cap_exceeded
55,A8Q9gX4RokaFDMOP,classic rock,0.629595,excluded,,genre_cap_exceeded
56,AiOYuf4Xb1nPpqTu,pop,0.628423,excluded,,genre_cap_exceeded
57,ru7tTgHQ3Pn5sFku,classic rock,0.627543,excluded,,genre_cap_exceeded
58,7GMSGEpv9bSNugvX,classic rock,0.626957,excluded,,genre_cap_exceeded
59,0dUzaNgp1pENO3CP,pop,0.626764,excluded,,genre_cap_exceeded
60,df0JOlTEeZCAVz1W,pop,0.625736,excluded,,genre_cap_exceeded
61,O7WEgilrtgqi7c65,pop,0.625655,excluded,,genre_cap_exceeded
62,7Wtv58F77XFSGy7b,classic rock,0.624986,excluded,,genre_cap_exceeded
63,pTle20sjv0uVIr2o,pop,0.624982,excluded,,genre_cap_exceeded
64,nCRwxIVfPkkOuRtw,pop,0.623625,excluded,,genre_cap_exceeded
65,r2RGegcvs7MeJpy7,pop,0.623391,excluded,,genre_cap_exceeded
66,KZR6R3ipwAKSCdA0,classic rock,0.623263,excluded,,genre_cap_exceeded
67,vkwNyvA0jKOLfSDu,pop,0.622992,excluded,,genre_cap_exceeded
68,9B6dNFjeE90pp4x6,classic rock,0.622668,excluded,,genre_cap_exceeded
69,uukcSk9CP57jHJRm,classic rock,0.622579,excluded,,genre_cap_exceeded
70,jnGV1itbgjMZorgK,classic rock,0.622387,excluded,,genre_cap_exceeded
71,HgXTG8u7e6uVIw1r,classic rock,0.622361,excluded,,genre_cap_exceeded
72,4P9s3Ny397GUNITy,classic rock,0.622247,excluded,,genre_cap_exceeded
73,zC9ANQtT16TAaER0,rock,0.621608,included,9,
74,D0AdTflgurMzFo8y,pop,0.621398,excluded,,genre_cap_exceeded
75,93RwplbF0Hv8wm0a,pop,0.62099,excluded,,genre_cap_exceeded
