id,spotify_id,artist,song,album_name,release,duration_ms,popularity,danceability,energy,key,mode,valence,tempo,tags,genres,lang,track_id
00KSCJkYb8JKa4Y3,04P3RG8NGVtxIJZuX5p8hV,Annisokay,Coma Blue,Arms,2018,203031,40.000000,0.222000,0.987000,2,1,0.116000,113.733000,"rock,german,progressive,emo","rock,emo",en,00KSCJkYb8JKa4Y3
00b6fV3nx5z2b8Ls,73o83gUyd4hdmGdYNYcTJp,Glee Cast,ABC,"Glee: The Music, Volume 7",2011,174000,41.000000,0.753000,0.948000,1,0,0.771000,99.009000,"glee,pop,cover,glee cast",pop,en,00b6fV3nx5z2b8Ls
00uLdNEc6yXbIxyW,1uYV0S12dKOPeEJaTIeLZ1,Other Lives,Dust Bowl III,Tamer Animals,2011,297267,26.000000,0.458000,0.582000,9,0,0.351000,136.007000,"indie,mellow,folk,alternative rock","folk,alternative rock",en,00uLdNEc6yXbIxyW
01EKNot8qVgZpKM7,6BWxDx3GnMZ4EpjM5Mg2RK,The All-American Rejects,I For You,Kids In The Street,2012,154973,28.000000,0.534000,0.322000,9,1,0.449000,151.816000,"rock,acoustic,just cant stand this song omg",rock,en,01EKNot8qVgZpKM7
01I5p010ajulr0O5,0R3aF3iq67sbMgqe0A4nup,Alesso,If It Wasn't For You,Forever,2015,232480,51.000000,0.520000,0.717000,9,0,0.239000,125.899000,"dance,pop,forever,bigroom",pop,en,01I5p010ajulr0O5
01Kgo55olDKOHxQz,06cCziAHtDg6pcsidZHu03,The 1975,Robbers,The 1975 (Deluxe Version),2013,254510,59.000000,0.617000,0.704000,4,1,0.358000,99.804000,"indie rock,indie,indie rock,indie,british","indie rock,indie rock",en,01Kgo55olDKOHxQz
01OcWE6ZDS0RAb4I,4B3RmT3cGvh8By3WY9pbIx,Demi Lovato,Unbroken,Unbroken,2011,221293,63.000000,0.484000,0.604000,7,1,0.181000,103.316000,"pop,dance,unbroken,demi lovato",pop,en,01OcWE6ZDS0RAb4I
01ZrNpwRWi7Ymdp5,6buXDkw3Gv4fQC1OZKUhnR,Colbie Caillat,Try,Gypsy Heart,2014,224573,56.000000,0.607000,0.367000,1,1,0.546000,139.959000,"pop,acoustic,female vocalists,pop,female vocalists,acoustic","pop,pop",en,01ZrNpwRWi7Ymdp5
01roaWOWaMzXjMOV,1Xf8aZynibVam74RQ2JMGW,Olly Murs,Busy,You Know I Know (Deluxe),2018,180253,32.000000,0.505000,0.858000,4,1,0.777000,185.024000,"pop,british,male vocalists,olly murs,olly murs-busy",pop,en,01roaWOWaMzXjMOV
02H3FqI0CSBlYFo7,5nLlyjxJDgLNsAZVYHVxuT,Him,Buried Alive by Love,Love Metal (Deluxe Re-Mastered),2014,301265,29.000000,0.358000,0.981000,4,0,0.319000,93.338000,"love metal,rock,finnish,gothic,him",rock,en,02H3FqI0CSBlYFo7
02JeIZCvClyeiCA2,4LWGeRNoDjfAUshTHshrOQ,Estrons,Body,"You Say I'm Too Much, I Say You're Not Enough",2018,176590,26.000000,0.534000,0.697000,6,1,0.557000,148.921000,"indie,uk,garage rock,alternative rock,indie rock,united kingdom","garage rock,alternative rock,indie rock",en,02JeIZCvClyeiCA2
02kJNQnTgvS2rS7d,1auCcfIF4U3Zd5dyJASvoI,Ninet Tayeb,Self Destructive Mind,Self Destructive Mind,2018,227211,24.000000,0.592000,0.348000,9,0,0.061400,109.964000,"israeli,rock,female vocalists,alternative rock","rock,alternative rock",en,02kJNQnTgvS2rS7d
0396S8l04hSNqgvk,0mOKvnM3wPrcWS3f0uuy7i,Demi Lovato,Two Pieces,Demi,2013,265333,42.000000,0.355000,0.652000,7,0,0.257000,169.935000,"pop,this song should be a single,cry,masterpiece",pop,en,0396S8l04hSNqgvk
03LtQbTmxkIPDSau,6T2GmySGe8Ph4xByulFHFA,Kylie Minogue,Lost Without You,Golden,2018,244507,31.000000,0.388000,0.790000,6,0,0.381000,93.745000,"pop,love,female vocalists,love at first listen",pop,en,03LtQbTmxkIPDSau
03QgQw5LI8x5RTQK,684nFcq9jOLIcCxovCtveu,Run the Jewels,Let's Go (The Royal We),Let's Go (The Royal We),2018,217853,52.000000,0.715000,0.641000,11,1,0.283000,127.943000,"hip-hop,rap,underground hip-hop,hip hop","rap,hip hop",en,03QgQw5LI8x5RTQK
04FGELz6IwgzTFKA,1omCB9Mch8tYugUptnJ0vw,Gavin James,Always,Only Ticket Home,2018,247843,51.000000,0.381000,0.481000,4,1,0.162000,123.090000,"irish,pop,soundtrack,2018 single,singer-songwriter,indie,irish","pop,soundtrack,singer-songwriter",en,04FGELz6IwgzTFKA
04K5rnl1mJjTaio1,26XUAwGZqQEyy8Ubhtj4kq,will.i.am,Feelin' Myself,#willpower,2013,253547,60.000000,0.859000,0.533000,6,0,0.514000,96.453000,"pop,hip-hop,disco,r&amp;b","pop,disco",en,04K5rnl1mJjTaio1
04Q618WBtwDztix8,6KnHHPxqhPPs0p1e70jq20,Mapei,Don't Wait - Acoustic,Don't Wait,2014,243334,24.000000,0.502000,0.271000,2,1,0.337000,179.480000,"swedish,rap,hip-hop,hip hop,indie,female vocalists","rap,hip hop",en,04Q618WBtwDztix8
04hRFEZYqKydzBBi,6vkJawzbg9mKiWOvd9ukft,Laura Marling,Blackberry Stone,I Speak Because I Can,2011,208600,26.000000,0.260000,0.195000,11,0,0.332000,191.305000,"folk,acoustic,female vocalists,singer-songwriter,british","folk,singer-songwriter",en,04hRFEZYqKydzBBi
0506rdPHUIeypgCP,0rRFBnK5uLjh0COVFlkHq7,Ralph,Bedroom Eyes,A Good Girl,2018,172147,26.000000,0.805000,0.655000,9,1,0.549000,119.988000,"2018 releases,synthpop,canada,pop,canada,synthpop,pop","synthpop,pop,synthpop,pop",en,0506rdPHUIeypgCP
05EPdUWvKgjEsb7G,7eYJp78OJD8RwXQDEJkB5l,Father John Misty,The Palace,God's Favorite Customer,2018,249347,38.000000,0.435000,0.105000,2,1,0.098100,105.229000,"2018,folk,indie",folk,en,05EPdUWvKgjEsb7G
05TEjmk7zERb9ifk,5p95apZ9BeFgcO9a2RERvs,Tenacious D,POST-APOCALYPTO THEME,Post-Apocalypto,2018,37773,41.000000,0.460000,0.997000,0,1,0.144000,147.997000,"rock,comedy,2018,hard rock,alternative rock,alternative","rock,comedy,hard rock,alternative rock",en,05TEjmk7zERb9ifk
05TdCap8Gk4jFhSQ,6go4VH47IaXtYlTGHizjhm,Kimbra,Limbo,Vows (Deluxe Version),2011,187613,20.000000,0.675000,0.588000,0,1,0.530000,165.020000,"alternative,indie,indie pop,rock","indie pop,rock",en,05TdCap8Gk4jFhSQ
05eO5MtW4pezH5XU,7id4jwYsYzXSwPbUJ5mCoW,2:54,Creeping,2: 54,2012,293973,7.000000,0.493000,0.653000,2,1,0.154000,115.968000,"shoegaze,indie,indie rock,post-punk,british,post-punk revival","shoegaze,indie rock,post-punk",en,05eO5MtW4pezH5XU
05m8Scx2aFwkq6mV,5Q7zuH8VNu7aLappSusPu6,Imagine Dragons,Burn Out,Origins (Deluxe),2018,273880,62.000000,0.588000,0.494000,10,0,0.291000,135.004000,"indie,indie rock,alternative,rock,indie pop,indie,indie rock,alternative","indie rock,rock,indie pop,indie rock",en,05m8Scx2aFwkq6mV
05ogun9U0TYSNQDO,36TLULPgT9cQ2Cu0UCBh8Y,Ice Cube,One For The Money,Everythangs Corrupt,2018,141053,43.000000,0.553000,0.966000,11,1,0.649000,177.745000,"rap,hip hop,2018","rap,hip hop",en,05ogun9U0TYSNQDO
069ypVgJl2FDc1F1,5m2xn5tIDC796JK1j8lLjl,Austin Mahone,Shadow,The Secret,2014,228449,48.000000,0.587000,0.367000,11,0,0.370000,76.946000,"pop,male vocalists,american,austin mahone",pop,en,069ypVgJl2FDc1F1
071kpG8MS2veLYAu,6c9xVWbPeVPgrmWTYYeMTr,I Prevail,Alone,Lifelines,2016,221000,57.000000,0.531000,0.756000,6,0,0.299000,118.954000,"post-hardcore,metal,rock,hardcore","post-hardcore,metal,rock,hardcore",en,071kpG8MS2veLYAu
0732MPqq4gzelgm0,7sH2BA5CKOrjXnspmIDn3j,a-ha,Did Anyone Approach You,Time And Again: The Ultimate a-ha,2016,291160,15.000000,0.360000,0.720000,10,1,0.382000,202.096000,"pop,pop rock,synth pop,rock,norwegian,skandinavian music","pop,pop rock,rock",en,0732MPqq4gzelgm0
079yVaWfDrL7ulec,0vsuDbZZ7llAd299f0xxc3,Kings of Leon,Comeback Story,Mechanical Bull (Expanded Version),2013,239053,53.000000,0.464000,0.738000,9,1,0.369000,119.764000,"rock,southern rock,indie rock","rock,southern rock,indie rock",en,079yVaWfDrL7ulec
07vFe4qlKfcEAW44,5tS85cbJlmBBDAT7sF2fNY,Richard Ashcroft,Streets of Amsterdam,Natural Rebel (Deluxe),2018,320067,31.000000,0.561000,0.655000,9,0,0.534000,84.900000,"britpop,british,indie,singer-songwriter,rock,best of 2018","britpop,singer-songwriter,rock",en,07vFe4qlKfcEAW44
086rZE7CKmYfYCGg,58SJDAwnIKG6kcItgL2NRp,Mac DeMarco,One More Tear to Cry,Rock and Roll Night Club,2012,244564,33.000000,0.396000,0.789000,0,1,0.389000,117.952000,"indie,alternative,indie rock,stoner rock","indie rock,stoner rock",en,086rZE7CKmYfYCGg
089LVMgimaHdtHoB,2Ryzxo7d6yO1glZTBAu4uN,Kylie Minogue,Feels So Good,Kiss Me Once (Special Edition),2014,217677,23.000000,0.650000,0.721000,6,1,0.355000,118.033000,"dance,pop,female vocalists,ambient,dancemania,outer space","pop,ambient",en,089LVMgimaHdtHoB
08IqqLAe7gGB9bDJ,0wH7iJqYQnmUU09YGcQPHo,Halsey,Not Afraid Anymore,Fifty Shades Darker (Original Motion Picture Soundtrack),2017,226787,56.000000,0.552000,0.742000,5,0,0.430000,131.994000,"pop,sexy,indie pop,american,female vocalists,dark pop","pop,indie pop",en,08IqqLAe7gGB9bDJ
08QtcDK0rtDFogFP,0bjTW3zBohWdYy2z1Sf5hJ,Lamb,Heaven,Tender Warriors Club,2016,407493,36.000000,0.492000,0.157000,2,0,0.131000,124.113000,"lush,trip-hop,chillout,electronic",electronic,en,08QtcDK0rtDFogFP
08dzAKoaqjhyOunF,6vECYJHxYmm3Ydt3fF01pE,Milky Chance,Sadnecessary,Sadnecessary,2014,313684,69.000000,0.887000,0.584000,11,1,0.677000,114.016000,"schoene musik,awesome,folk,alternative,indie,indie rock,reggae","folk,indie rock,reggae",en,08dzAKoaqjhyOunF
08swBeDr2z5RedVT,4SfbnJaGD3Zb0VhhXQGAUI,Chlöe Howl,Disappointed,Disappointed,2014,187947,19.000000,0.625000,0.831000,1,1,0.621000,128.018000,"british,favorites 2014,pop,indie",pop,en,08swBeDr2z5RedVT
096D4MtepS0WeEkI,6fi8m0iBPSrTPHle0CEJev,Angus & Julia Stone,Passionfruit - triple j Like A Version,Passionfruit (triple j Like A Version),2018,268975,40.000000,0.498000,0.420000,8,0,0.410000,110.250000,"folk,indie,acoustic,australian,singer-songwriter","folk,singer-songwriter",en,096D4MtepS0WeEkI
09AOCIB5yktoz8B5,773xZHHSHJvC1z3AAtWgH6,Twenty One Pilots,Ode to Sleep,Vessel,2013,308388,63.000000,0.446000,0.760000,7,1,0.512000,150.033000,"indie pop,amazing,indie",indie pop,en,09AOCIB5yktoz8B5
09g8LBVpv3igNHfX,5d0wQ1Ii9GkcKPLFIVM5sl,Sun Kil Moon,Pancho Villa,Ghosts of the Great Highway,2018,312667,24.000000,0.564000,0.471000,10,1,0.394000,110.540000,"folk,indie,beautiful,singer-songwriter","folk,singer-songwriter",en,09g8LBVpv3igNHfX
0AAp799NQ2h8PwTA,2ZIIjYTulrL4gbVYb0ZWY8,Hooverphonic,I Like the Way I Dance,The Best of Hooverphonic,2016,182907,26.000000,0.622000,0.815000,4,1,0.160000,128.051000,"pop,chamber pop,belgian,2016 single","pop,chamber pop",en,0AAp799NQ2h8PwTA
0AIAF3GNPCTTkYxt,24p3WB5UUbtnybQqS9JPrz,Sam Bluer,Body High,Body High,2018,210089,27.000000,0.565000,0.814000,1,1,0.510000,109.945000,"pop,dance,edm,under 100 listeners","pop,edm",en,0AIAF3GNPCTTkYxt
0AV021POHUFH20jt,4sOFRu2UsAlYnFZOw06glP,Prince,The Love We Make,Anthology: 1995-2010,2018,279240,27.000000,0.560000,0.616000,0,1,0.187000,112.065000,"ballad,rock,soul,90s","rock,soul",en,0AV021POHUFH20jt
0AW4tvOr8GNsJOWT,7xIWodZRRhxnciARkqgNOr,The Frights,Makeout Point,Fur Sure - EP,2013,214256,40.000000,0.288000,0.509000,11,1,0.406000,169.428000,"a new feel,summer in la,surf punk,indie,garage rock",garage rock,en,0AW4tvOr8GNsJOWT
0AgwluN9W0lyHWSX,1UebLMXVLAaAYoFXxegCIP,Mariah Carey,The Star,The Star,2017,241280,26.000000,0.574000,0.536000,11,1,0.158000,118.199000,"christmas,american,christmas songs,movie song,pop,rnb,mariah carey",pop,en,0AgwluN9W0lyHWSX
0AnOojGcrMBtFxQi,7gIYjJU2XSN4uj0ByHffKL,Avril Lavigne,Black Star,Goodbye Lullaby (Expanded Edition),2011,94080,39.000000,0.538000,0.330000,0,1,0.201000,127.894000,"pop,rock,pop rock,piano,ballad,female vocalists","pop,rock,pop rock",en,0AnOojGcrMBtFxQi
0At7AvzV5kHCJvIj,5ErIZyx2fs5DL5h32n88bz,Tegan and Sara,Someday,I'll Be Back Someday,2019,192720,53.000000,0.620000,0.867000,4,1,0.706000,134.932000,"rock,awesome,indie,indie rock,lovely,canadian","rock,indie rock",en,0At7AvzV5kHCJvIj
0AwfifWK4bGQ9BHN,3wuiE55ue858A0xVWkQUmd,Azealia Banks,Yung Rapunxel,Broke with Expensive Taste,2014,240170,37.000000,0.662000,0.807000,11,0,0.187000,132.960000,"rap,wat watafak,crazy,hip hop","rap,hip hop",en,0AwfifWK4bGQ9BHN
0B17OyBaAAQHiZPf,27qK80LMURSWeYNbNG0YWO,Zayn,If I Got You,Icarus Falls,2018,199907,50.000000,0.547000,0.540000,2,1,0.199000,169.487000,"pop,best,male vocalists,love at first listen",pop,en,0B17OyBaAAQHiZPf
0BU53pWjGL5lJHnv,6wyCtgpZHOIFR14gvNSybn,Cyndi Lauper,Misty Blue,Detour,2016,199360,18.000000,0.258000,0.301000,6,1,0.324000,186.807000,"pop,80s,country,female vocalists,new wave,rock","pop,country,new wave,rock",en,0BU53pWjGL5lJHnv
0Ci7sMniNrpfG4wq,04BSvYghzdxjSJNpee36er,Paramore,Monster,Monster,2011,200147,55.000000,0.413000,0.969000,4,0,0.374000,164.999000,"rock,alternative,pop punk,paramore,punk,alternative rock","rock,pop punk,punk,alternative rock",en,0Ci7sMniNrpfG4wq
0CkkjxzAsaEnCq6E,7dZ1Odmx9jWIweQSatnRqo,Lady Gaga,Joanne,Joanne (Deluxe),2016,205280,76.000000,0.665000,0.424000,0,1,0.134000,129.911000,"folk,country,pop,masterpiece,joanne","folk,country,pop",en,0CkkjxzAsaEnCq6E
0DK73MrYbI4Igj7z,1Vrh64g6r5setmQMMmKGOH,Kate Nash,3AM,Girl Talk,2013,211480,14.000000,0.584000,0.733000,0,1,0.708000,121.948000,"indie,punk,british,excuse me while i cry and eat ice cream and cry some more",punk,en,0DK73MrYbI4Igj7z
0DNKXcAGmMYmJdjP,6IDDwI0YOCAUDhMZltQekS,The Fray,Love Don't Die,Helios,2014,183093,52.000000,0.632000,0.805000,11,0,0.275000,115.489000,"rock,pop","rock,pop",en,0DNKXcAGmMYmJdjP
0Dd5RDHMpW8UPNy1,2qYAUa2MoVYT7fxRAGeZAq,Myles Kennedy,Year of the Tiger,Year Of The Tiger,2018,220790,26.000000,0.470000,0.934000,9,0,0.432000,83.524000,"blues,rock,acoustic,americana","blues,rock",en,0Dd5RDHMpW8UPNy1
0Df8PLjiYYu00yeu,1CKhx6sSkUxzomXnYZqSMh,BROCKHAMPTON,TOKYO,SATURATION II,2017,192126,57.000000,0.632000,0.625000,2,1,0.535000,139.981000,"2017,hip-hop,rap,hip hop","rap,hip hop",en,0Df8PLjiYYu00yeu
0DgZlQ8A5OuusSC0,5uTjNzGKCQ50synrf9dWmT,Little Dragon,Ritual Union,Ritual Union,2011,210267,54.000000,0.700000,0.738000,1,1,0.796000,144.035000,"female vocalists,electronic,swedish,indie pop","electronic,indie pop",en,0DgZlQ8A5OuusSC0
0EL4m7yviajIov3C,7cyF2c8DcHS7beIm4ulVpY,Kevin Garrett,Pulling Me Under,False Hope,2017,265027,40.000000,0.672000,0.379000,9,0,0.344000,89.995000,"electronic,experimental,lo-fi","electronic,experimental,lo-fi",en,0EL4m7yviajIov3C
0ELB6IeNBK2Z2qc2,52dlnJj2OE27ZvfpyvXD3t,Troye Sivan,Gasoline,TRXYE,2014,205769,47.000000,0.579000,0.606000,5,0,0.235000,160.046000,"pop,downtempo,ballad,slow,best of troye sivan,soft pop","pop,downtempo",en,0ELB6IeNBK2Z2qc2
0Ee0tcGxp52slvH3,6jTHhUWgx3GmEqnoidt2Qr,Greyson Chance,Take A Look At Me Now,Hold On ‘Til The Night,2011,216227,30.000000,0.481000,0.784000,4,1,0.347000,155.801000,"pop,summer,pop rock","pop,pop rock",en,0Ee0tcGxp52slvH3
0Ev84ceMs40159oJ,6NGvyhGjKSKkyN3yc4YNhD,Arctic Monkeys,Piledriver Waltz,Suck It and See,2011,203880,46.000000,0.443000,0.865000,4,1,0.474000,110.008000,"indie rock,rock,british,alternative rock,indie,indie rock,indie,british","indie rock,rock,alternative rock,indie rock",en,0Ev84ceMs40159oJ
0FLJ1PhVH75V57fV,52TdcRjq2Kba6d0u2wxceH,Highly Suspect,23,Mister Asylum,2015,250520,39.000000,0.543000,0.930000,9,0,0.235000,110.918000,"rock,alternative rock,alternative,blues rock,hard rock","rock,alternative rock,hard rock",en,0FLJ1PhVH75V57fV
0FUVOmkmLDVyLs4U,36soOFwoJaCtj18iFCmUNc,Yung Lean,Hunting My Own Skin,Stranger,2017,182380,37.000000,0.632000,0.675000,9,1,0.570000,159.901000,"hip-hop,rap,sad,emo,played,hip-hop,sad,cloud rap","rap,emo",en,0FUVOmkmLDVyLs4U
0Fj6m7LC9RJPbEVA,6Dex7CHFKlFVvyGuut7SOb,Chromatics,I Can't Keep Running,Cherry (Deluxe),2017,273783,28.000000,0.401000,0.597000,7,0,0.101000,108.281000,"electronic,synthpop,post-punk,indie,experimental,italians do it better","electronic,synthpop,post-punk,experimental",en,0Fj6m7LC9RJPbEVA
0FrSIyLbqMyWdRxT,5F51taSDqgSZhhEEBZAsQT,Alice Merton,Lash Out,No Roots EP,2018,194520,41.000000,0.744000,0.770000,9,0,0.901000,128.005000,"pop,german,indie pop,handclaps,2018 single,pop,indie,indie pop","pop,indie pop,pop,indie pop",en,0FrSIyLbqMyWdRxT
0G3vOJJKJ3AKTawB,16Bf9uR4PI2dCoXDIjs0cP,Red Hot Chili Peppers,Monarchy of Roses,I'm with You,2011,251800,48.000000,0.467000,0.980000,4,0,0.222000,123.089000,"rock,alternative rock,funk rock,alternative,red hot chili peppers","rock,alternative rock,funk rock",en,0G3vOJJKJ3AKTawB
0GIVzSxKobe3OuKt,60fTZEE47o9w5n6weinwWD,Björk,Mouth Mantra,Vulnicura,2015,369524,17.000000,0.340000,0.555000,5,0,0.134000,76.572000,"electronic,avantgarde pop,experimental,clinically romantic","electronic,experimental",en,0GIVzSxKobe3OuKt
0GOUjjayzUo2a0Jt,39eSTaMkLR7vPsLPuGPVUu,Dr. Dog,Virginia Please,Critical Equation,2018,243315,36.000000,0.565000,0.541000,9,1,0.791000,122.648000,"indie,indie rock,lo-fi,indie pop,alternative","indie rock,lo-fi,indie pop",en,0GOUjjayzUo2a0Jt
0GSZdlfEQcmt0S8t,3TKBJZ7GVDnZpW2hyldB16,Aerosmith,Girls of Summer,The Essential Aerosmith,2011,193160,44.000000,0.536000,0.839000,7,1,0.645000,119.972000,"rock,hard rock,classic rock,aerosmith","rock,hard rock,classic rock",en,0GSZdlfEQcmt0S8t
0Ge3CvYq3qyaw2lw,0wJYRiAdoyP3yMqLpsTaK8,Mutemath,Monument,Vitals,2015,213827,34.000000,0.567000,0.892000,1,1,0.658000,138.979000,"alternative,rock,indie,indie rock,music,experimental","rock,indie rock,experimental",en,0Ge3CvYq3qyaw2lw
0GiJDgr0yn2ctll9,189UhbQqja35DebsP8SjYy,Passenger,If You Go,Young as the Morning Old as the Sea (Deluxe Version),2016,224867,27.000000,0.355000,0.649000,9,1,0.499000,102.712000,"folk,alternative metal,melodic death metal,nu metal,metal","folk,alternative metal,melodic death metal,nu metal,metal",en,0GiJDgr0yn2ctll9
0HA0ogRFA0jHan9J,7oGZAicScQt96OAW4AruYy,Jason Derülo,Want to Want Me,Everything Is 4,2015,207719,73.000000,0.775000,0.680000,0,0,0.656000,114.025000,"pop,american,r&amp;b",pop,en,0HA0ogRFA0jHan9J
