rank,track_id,lead_genre,matched_genres,matched_tags,final_score,danceability_similarity,danceability_contribution,energy_similarity,energy_contribution,valence_similarity,valence_contribution,tempo_similarity,tempo_contribution,duration_ms_similarity,duration_ms_contribution,key_similarity,key_contribution,mode_similarity,mode_contribution,lead_genre_similarity,lead_genre_contribution,genre_overlap_similarity,genre_overlap_contribution,tag_overlap_similarity,tag_overlap_contribution
1,uzzXWHcGTzC3ipD4,pop,pop|rock|electronic,pop|rock|indie|electronic|alternative,0.692344,0.70504,0.028202,0.786353,0.023591,0.67492,0.020248,0.0,0.0,0.378118,0.007562,0.691285,0.013826,0.0,0.0,1.0,0.29,0.566806,0.136033,0.596144,0.172882
2,V1h2Q8uHtnIqbahp,pop,pop|rock|classic rock,pop|80s|rock|classic rock,0.68239,0.748293,0.029932,0.0,0.0,0.0,0.0,0.632584,0.018978,0.0,0.0,0.0,0.0,0.26491,0.002649,1.0,0.29,0.665752,0.15978,0.624314,0.181051
3,ODcj49nwgvXhA46v,pop,pop|alternative rock|electronic|rock,pop|electronic|alternative|rock,0.677133,0.801627,0.032065,0.83302,0.024991,0.0,0.0,0.750616,0.022518,0.084148,0.001683,0.0,0.0,0.26491,0.002649,1.0,0.29,0.606968,0.145672,0.543294,0.157555
4,Keuox6QeZE3Su469,pop,pop|classic rock|rock,pop|classic rock|rock,0.668097,0.17496,0.006998,0.58698,0.017609,0.87492,0.026248,0.0,0.0,0.222985,0.00446,0.0,0.0,0.26491,0.002649,1.0,0.29,0.665752,0.15978,0.552941,0.160353
5,r2RGegcvs7MeJpy7,pop,pop|classic rock|singer-songwriter|rock,pop|classic rock|singer-songwriter|rock,0.667996,0.0,0.0,0.086353,0.002591,0.0,0.0,0.685118,0.020554,0.048285,0.000966,0.0,0.0,0.26491,0.002649,1.0,0.29,0.730432,0.175304,0.606661,0.175932
6,0KrfpITRYCMTHZno,pop,pop|rock|singer-songwriter|alternative rock,pop|rock|singer-songwriter|alternative,0.661839,0.80504,0.032202,0.0,0.0,0.908253,0.027248,0.382851,0.011486,0.0,0.0,0.0,0.0,0.26491,0.002649,1.0,0.29,0.596623,0.14319,0.534702,0.155064
7,rX7qhjhfQlLsJC4M,pop,pop|rock|electronic,pop|rock|dance|electronic,0.661598,0.581627,0.023265,0.346353,0.010391,0.96508,0.028952,0.611482,0.018344,0.0,0.0,0.0,0.0,0.26491,0.002649,1.0,0.29,0.566806,0.136033,0.524014,0.151964
8,tfwno3DpGAPEk9b9,pop,pop|rock,80s|pop|rock,0.65124,0.958373,0.038335,0.740313,0.022209,0.748253,0.022448,0.614051,0.018422,0.0,0.0,0.0,0.0,0.26491,0.002649,1.0,0.29,0.491782,0.118028,0.479824,0.139149
9,NygzjG4eKOyPE0MK,pop,pop|electronic|rock,pop|electronic|rock,0.650159,0.0,0.0,0.893647,0.026809,0.908253,0.027248,0.917184,0.027516,0.301618,0.006032,0.0,0.0,0.0,0.0,1.0,0.29,0.566806,0.136033,0.470763,0.136521
10,FCcGTwPlHQIeZOva,pop,pop|rock|classic rock,pop|80s|rock|classic rock,0.649223,0.0,0.0,0.179687,0.005391,0.34508,0.010352,0.0,0.0,0.0,0.0,0.0,0.0,0.26491,0.002649,1.0,0.29,0.665752,0.15978,0.624314,0.181051
11,sWsei8U1DXTgn4sG,pop,pop|rock|singer-songwriter|alternative rock,pop|rock|singer-songwriter|alternative,0.64807,0.801627,0.032065,0.0,0.0,0.488253,0.014648,0.122851,0.003686,0.338382,0.006768,0.0,0.0,0.26491,0.002649,1.0,0.29,0.596623,0.14319,0.534702,0.155064
12,2v2ytPyHK08Jk3EQ,pop,pop|rock|electronic,pop|rock|electronic|alternative,0.642726,0.97496,0.038998,0.12698,0.003809,0.421587,0.012648,0.0,0.0,0.051718,0.001034,0.0,0.0,0.26491,0.002649,1.0,0.29,0.566806,0.136033,0.543294,0.157555
13,h4FVkBtXFDQSrlbX,pop,pop|alternative rock|rock,pop|indie|alternative|rock,0.641654,0.781627,0.031265,0.0,0.0,0.621587,0.018648,0.0,0.0,0.139452,0.002789,0.691285,0.013826,0.26491,0.002649,1.0,0.29,0.531943,0.127666,0.533832,0.154811
14,LOOLjgYbn5mW2r35,pop,pop|rock|singer-songwriter,pop|rock|singer-songwriter|alternative,0.641142,0.458373,0.018335,0.626353,0.018791,0.758413,0.022752,0.0,0.0,0.0,0.0,0.0,0.0,0.26491,0.002649,1.0,0.29,0.556461,0.133551,0.534702,0.155064
