score_rank,track_id,lead_genre,final_score,decision,playlist_position,exclusion_reason
1,uzzXWHcGTzC3ipD4,pop,0.692344,included,1,
2,V1h2Q8uHtnIqbahp,pop,0.68239,included,2,
3,ODcj49nwgvXhA46v,pop,0.677133,excluded,,consecutive_genre_run
4,Keuox6QeZE3Su469,pop,0.668097,excluded,,consecutive_genre_run
5,r2RGegcvs7MeJpy7,pop,0.667996,excluded,,consecutive_genre_run
6,0KrfpITRYCMTHZno,pop,0.661839,excluded,,consecutive_genre_run
7,rX7qhjhfQlLsJC4M,pop,0.661598,excluded,,consecutive_genre_run
8,tfwno3DpGAPEk9b9,pop,0.65124,excluded,,consecutive_genre_run
9,NygzjG4eKOyPE0MK,pop,0.650159,excluded,,consecutive_genre_run
10,FCcGTwPlHQIeZOva,pop,0.649223,excluded,,consecutive_genre_run
11,sWsei8U1DXTgn4sG,pop,0.64807,excluded,,consecutive_genre_run
12,2v2ytPyHK08Jk3EQ,pop,0.642726,excluded,,consecutive_genre_run
13,h4FVkBtXFDQSrlbX,pop,0.641654,excluded,,consecutive_genre_run
14,LOOLjgYbn5mW2r35,pop,0.641142,excluded,,consecutive_genre_run
15,pj4i2c5OmthxRh77,pop,0.63772,excluded,,consecutive_genre_run
16,dQUNiihhNbCIbtOF,pop,0.637554,excluded,,consecutive_genre_run
17,zvzgAqkoF29HxtvO,pop,0.636917,excluded,,consecutive_genre_run
18,PZVW1IbNypbxdfwM,pop,0.63674,excluded,,consecutive_genre_run
19,7Pg5wxB8YYtxIiT7,pop,0.635905,excluded,,consecutive_genre_run
20,IRdXoGT7rx5IWzVd,pop,0.634828,excluded,,consecutive_genre_run
21,0mdmLBCg5qRqO9kw,pop,0.634763,excluded,,consecutive_genre_run
22,0ULNOWrSXcsIofDc,pop,0.634533,excluded,,consecutive_genre_run
23,o74kx8C6hUnQtGEK,pop,0.633897,excluded,,consecutive_genre_run
24,8r0CP0DgHx376urL,pop,0.633208,excluded,,consecutive_genre_run
25,tkkrehVtWSlMS6RW,pop,0.632733,excluded,,consecutive_genre_run
26,HwuXXKHV7OHfYX1k,pop,0.631635,excluded,,consecutive_genre_run
27,7CzWEPXag7nOVCEQ,pop,0.630386,excluded,,consecutive_genre_run
28,tHye6jQNg1419tmI,pop,0.630255,excluded,,consecutive_genre_run
29,takVho6da4eCNC83,pop,0.629423,excluded,,consecutive_genre_run
30,4ZxlIxhHhrpWJcXt,pop,0.628243,excluded,,consecutive_genre_run
31,tRJ6mTLznKfzHygw,pop,0.628239,excluded,,consecutive_genre_run
32,tFF7SJ3fkX4xJj8n,pop,0.628025,excluded,,consecutive_genre_run
33,IILILeV8MAOTGm3R,pop,0.62769,excluded,,consecutive_genre_run
34,MoDvlVJDFVouf7OI,pop,0.625319,excluded,,consecutive_genre_run
35,5ElsQrERvWhY32iG,pop,0.624994,excluded,,consecutive_genre_run
36,JgUNLzprRvaD9D9V,pop,0.624735,excluded,,consecutive_genre_run
37,Bj2puKI4mBrtarKZ,pop,0.624244,excluded,,consecutive_genre_run
38,kDMYFkunXnqmbzz2,pop,0.621331,excluded,,consecutive_genre_run
39,SfpTRUz3LCr1Hiaq,pop,0.620646,excluded,,consecutive_genre_run
40,dPlgVQdg1QmUhgh2,pop,0.619743,excluded,,consecutive_genre_run
41,LkZWwOEg3ZVpQSt9,pop,0.617594,excluded,,consecutive_genre_run
42,LqeJ6YtImxR8UnlT,pop,0.617132,excluded,,consecutive_genre_run
43,f7nMTiV0NHDaPOIK,pop,0.617065,excluded,,consecutive_genre_run
44,fraglE0va6B3zUwB,pop,0.617065,excluded,,consecutive_genre_run
45,p3GD7pKlqqgeWUAg,pop,0.6153,excluded,,consecutive_genre_run
46,3T4Lqe9Flc1bhF3O,pop,0.614594,excluded,,consecutive_genre_run
47,HWeetbahKp7mKtR9,pop,0.613455,excluded,,consecutive_genre_run
48,k1IhoAdzhz0wJzRG,pop,0.613295,excluded,,consecutive_genre_run
49,2PW5Sut3iCaRpdkS,pop,0.612646,excluded,,consecutive_genre_run
50,SJW6LiBxAzzOnyKU,pop,0.612569,excluded,,consecutive_genre_run
51,Ves2wtCuRbL694O9,pop,0.612077,excluded,,consecutive_genre_run
52,rmGqmQob6mDJdFn1,pop,0.611885,excluded,,consecutive_genre_run
53,c0OG4pL6JghFcpTA,pop,0.611342,excluded,,consecutive_genre_run
54,NYzsGpc8XvkJvfCO,pop,0.61068,excluded,,consecutive_genre_run
55,oXS2cewKOlDfmKZH,pop,0.61008,excluded,,consecutive_genre_run
56,y2h5htbWsRjalTzm,pop,0.609858,excluded,,consecutive_genre_run
57,JRc9hFrPHBOuhEE4,pop,0.607979,excluded,,consecutive_genre_run
58,YVAVSjJFA5nr2Bm4,pop,0.606991,excluded,,consecutive_genre_run
59,GVSGYwW9eqRvRot4,pop,0.606984,excluded,,consecutive_genre_run
60,p42N3DPYrMzuDy67,pop,0.606721,excluded,,consecutive_genre_run
61,qiW5mU03bj7e4qXJ,pop,0.605591,excluded,,consecutive_genre_run
62,qHbErUpyWON7cYOR,pop,0.60551,excluded,,consecutive_genre_run
