score_rank,track_id,lead_genre,final_score,decision,playlist_position,exclusion_reason
1,phL12CBijBqwQ9qB,pop,0.741029,included,1,
2,2rf5nW2Fb8gMnz9l,pop,0.734811,included,2,
3,CZOYJJKuyuUosACw,classic rock,0.732481,included,3,
4,SlF31W7VgEooOonD,pop,0.717484,included,4,
5,9jb6ZoImYLfUL8hu,pop,0.715673,included,5,
6,3ltMH5jik02hVLDF,classic rock,0.715194,included,6,
7,zyxOCKcXX1RmWpm0,pop,0.713988,excluded,,genre_cap_exceeded
8,Ja6sG7NsgUKEI63U,pop,0.712434,excluded,,genre_cap_exceeded
9,CavT1tWCp1sJDnbQ,pop,0.71161,excluded,,genre_cap_exceeded
10,lGnkOkQSUQO175Qg,pop,0.709225,excluded,,genre_cap_exceeded
11,ZBzCrWWH35yTPv8P,pop,0.705528,excluded,,genre_cap_exceeded
12,qWKJFJO5nFfEQuZM,pop,0.705302,excluded,,genre_cap_exceeded
13,Unm2k636mJk61Zcx,pop,0.704957,excluded,,genre_cap_exceeded
14,smJCxhAszKPO80Bi,pop,0.704697,excluded,,genre_cap_exceeded
15,SVB49vvsyAQChbrb,pop,0.70332,excluded,,genre_cap_exceeded
16,6k1oC4EwLjQjUFz7,pop,0.702075,excluded,,genre_cap_exceeded
17,1FEjhaXK2amCXXzT,pop,0.701215,excluded,,genre_cap_exceeded
18,2ulpfcMJfaKiFqZr,pop,0.701194,excluded,,genre_cap_exceeded
19,CaR8UnowNJUR5Dib,pop,0.700592,excluded,,genre_cap_exceeded
20,ALtYCqP0WNXBuQGi,pop,0.700386,excluded,,genre_cap_exceeded
21,NQbNKyYkv5MxNeQy,pop,0.69929,excluded,,genre_cap_exceeded
22,ODcj49nwgvXhA46v,pop,0.699113,excluded,,genre_cap_exceeded
23,lOFidX8Jxs0ViNRG,pop,0.698832,excluded,,genre_cap_exceeded
24,vCVgdkzSvubDpTLS,pop,0.698692,excluded,,genre_cap_exceeded
25,7dYk0TCGZqev3LJD,pop,0.69731,excluded,,genre_cap_exceeded
26,XsWkrl7dkqytg10B,classic rock,0.695281,included,7,
27,V1h2Q8uHtnIqbahp,pop,0.694288,excluded,,genre_cap_exceeded
28,7fLQBYLIBDBiCENj,pop,0.694031,excluded,,genre_cap_exceeded
29,7VDI0wKUupDGhZHo,classic rock,0.694018,excluded,,consecutive_genre_run
30,yEz9rqTTulkiDDm7,classic rock,0.69266,excluded,,consecutive_genre_run
31,ERa4IzQnBH8gAkXL,classic rock,0.692416,excluded,,consecutive_genre_run
32,SjizDRrg3ZWU97wK,pop,0.691469,excluded,,genre_cap_exceeded
33,8fDlJsjie4DoFMV0,pop,0.690389,excluded,,genre_cap_exceeded
34,xx7AjP300BpGG3CX,classic rock,0.689138,excluded,,consecutive_genre_run
35,YtpPCENWGLtSD3Oc,classic rock,0.689092,excluded,,consecutive_genre_run
