score_rank,track_id,lead_genre,final_score,decision,playlist_position,exclusion_reason
1,phL12CBijBqwQ9qB,pop,0.775981,included,1,
2,2rf5nW2Fb8gMnz9l,pop,0.751801,included,2,
3,CavT1tWCp1sJDnbQ,pop,0.737783,excluded,,consecutive_genre_run
4,7VDI0wKUupDGhZHo,classic rock,0.734833,included,3,
5,CZOYJJKuyuUosACw,classic rock,0.733342,included,4,
6,qWKJFJO5nFfEQuZM,pop,0.723674,included,5,
7,SlF31W7VgEooOonD,pop,0.720986,included,6,
8,rX7qhjhfQlLsJC4M,pop,0.714353,excluded,,genre_cap_exceeded
9,5c9fu0pBIl9QUmed,pop,0.711232,excluded,,genre_cap_exceeded
10,Keuox6QeZE3Su469,pop,0.7102,excluded,,genre_cap_exceeded
11,3ltMH5jik02hVLDF,classic rock,0.707912,included,7,
12,0KrfpITRYCMTHZno,pop,0.706754,excluded,,genre_cap_exceeded
13,PZVW1IbNypbxdfwM,pop,0.701362,excluded,,genre_cap_exceeded
14,vAULotbx5RBKgmA0,classic rock,0.700851,included,8,
15,oeKwh2lrTJigBR9I,pop,0.699624,excluded,,genre_cap_exceeded
16,4MsjH1TyTwZuZuOK,classic rock,0.6973,excluded,,genre_cap_exceeded
17,VPoN4aAgiWcagYy3,classic rock,0.6973,excluded,,genre_cap_exceeded
18,NygzjG4eKOyPE0MK,pop,0.696319,excluded,,genre_cap_exceeded
19,ohx8jv81KisDt8d0,pop,0.694896,excluded,,genre_cap_exceeded
20,IVDSXkSWMOTFJDte,classic rock,0.693382,excluded,,genre_cap_exceeded
21,JjRXUBWaA0I7JZ4t,pop,0.691071,excluded,,genre_cap_exceeded
22,ihPmCWpnMSun0Smp,classic rock,0.689611,excluded,,genre_cap_exceeded
23,9t5V6KNdF2HTdY2v,pop,0.688092,excluded,,genre_cap_exceeded
24,uzzXWHcGTzC3ipD4,pop,0.686653,excluded,,genre_cap_exceeded
25,vUHDxEdaTTeT94e1,classic rock,0.685423,excluded,,genre_cap_exceeded
26,1GngSVshm9HPaMVa,classic rock,0.684636,excluded,,genre_cap_exceeded
27,05kPnJrEqt4aSFwt,pop,0.682967,excluded,,genre_cap_exceeded
28,WFSJ2w6bs3g8X9Vz,classic rock,0.682889,excluded,,genre_cap_exceeded
29,kSDPUwWDCOkb8wOX,pop,0.682688,excluded,,genre_cap_exceeded
30,5IKM3soDe7kBhm4n,pop,0.682418,excluded,,genre_cap_exceeded
31,B5N9Vxq8JsmiX6Gn,classic rock,0.682204,excluded,,genre_cap_exceeded
32,zyzILCQvVeUFIINi,pop,0.681815,excluded,,genre_cap_exceeded
33,P8FUnTbhyI18KU3M,pop,0.680883,excluded,,genre_cap_exceeded
34,ecu5hWLfBTsu5fIt,classic rock,0.680661,excluded,,genre_cap_exceeded
35,mqLs8Z7IOzeqhnZ3,pop,0.680097,excluded,,genre_cap_exceeded
36,kDIheYzp2bFdKzZx,classic rock,0.679848,excluded,,genre_cap_exceeded
37,p24zC9IIlDXj6DN0,pop,0.678652,excluded,,genre_cap_exceeded
38,EYfH7hlkwLa5ZYav,pop,0.678563,excluded,,genre_cap_exceeded
39,SjizDRrg3ZWU97wK,pop,0.678409,excluded,,genre_cap_exceeded
40,D8u1nCspnPIixiZa,classic rock,0.677693,excluded,,genre_cap_exceeded
41,SfpTRUz3LCr1Hiaq,pop,0.676725,excluded,,genre_cap_exceeded
42,iUcyvVWtHhpX0kyd,rock,0.676414,included,9,
43,h39L9fjzfyCQHw5h,classic rock,0.67634,excluded,,genre_cap_exceeded
44,p3GD7pKlqqgeWUAg,pop,0.676031,excluded,,genre_cap_exceeded
45,I2s6dN6WZVhQ9cSy,pop,0.6751,excluded,,genre_cap_exceeded
46,0KmsAtX56jWKceiy,pop,0.673037,excluded,,genre_cap_exceeded
47,tfwno3DpGAPEk9b9,pop,0.672845,excluded,,genre_cap_exceeded
48,TP9nKzg6RJ48oYlZ,pop,0.672654,excluded,,genre_cap_exceeded
49,6JvsoRF2a3K3nK1t,pop,0.671663,excluded,,genre_cap_exceeded
50,vCMtou9JWlsx5c6B,rock,0.671271,included,10,
51,CkNeHYFBJMqQkGm6,pop,0.671069,excluded,,length_cap_reached
52,3T4Lqe9Flc1bhF3O,pop,0.671026,excluded,,length_cap_reached
53,DpKUvb15CWL7SKqn,classic rock,0.671014,excluded,,length_cap_reached
54,0ULNOWrSXcsIofDc,pop,0.670718,excluded,,length_cap_reached
55,f0WAGPqj2WksdyBE,pop,0.670499,excluded,,length_cap_reached
56,pj4i2c5OmthxRh77,pop,0.670025,excluded,,length_cap_reached
57,ghjUEz5JNVbVTC89,rock,0.669711,excluded,,length_cap_reached
58,oXS2cewKOlDfmKZH,pop,0.669173,excluded,,length_cap_reached
59,MKV08gvgtZ0DroRG,pop,0.668525,excluded,,length_cap_reached
60,TwM4lpYdQEiDGoNl,pop,0.667189,excluded,,length_cap_reached
61,LOOLjgYbn5mW2r35,pop,0.666679,excluded,,length_cap_reached
62,hSqEJfpbdJM6nhi0,classic rock,0.665974,excluded,,length_cap_reached
63,kcQ9fuxMxtBSpG3q,classic rock,0.665974,excluded,,length_cap_reached
64,w8dxIt6aQtLnXvTh,pop,0.665519,excluded,,length_cap_reached
65,oJ2IfPXmKULUzEPw,classic rock,0.664755,excluded,,length_cap_reached
66,yE5furqfLpGTlvKj,pop,0.664186,excluded,,length_cap_reached
67,kDMYFkunXnqmbzz2,pop,0.663938,excluded,,length_cap_reached
68,VuxuIYhqE7UwGGPF,rock,0.663701,excluded,,length_cap_reached
69,rwEYIRiTqyrusWd0,pop,0.663625,excluded,,length_cap_reached
